"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",52.89,40,66.525
2,75,60,67.5,"N",258.63,230.95,282
3,60,45,52.5,"N",373.11,346.325,396.525
4,45,30,37.5,"N",323.42,296,349.05
5,30,15,22.5,"N",184.89,157.9,208.05
6,15,0,7.5,"N",83.72,67.475,98.525
7,0,-15,-7.5,"S",79.96,63.475,96
8,-15,-30,-22.5,"S",92.46,77,110.05
9,-30,-45,-37.5,"S",51.05,36.9,64.1
10,-45,-60,-52.5,"S",48.93,36.475,62.575
11,-60,-75,-67.5,"S",68.05,53.475,85.05
12,-75,-90,-82.5,"S",43.7,31.475,59.05
