"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",230.19,202.95,257.625
2,75,60,67.5,"N",194.3,173.475,215.525
3,60,45,52.5,"N",163.23,145.475,186
4,45,30,37.5,"N",199.34,175.95,224.525
5,30,15,22.5,"N",197.84,167.475,227.15
6,15,0,7.5,"N",159.72,141.475,177.525
7,0,-15,-7.5,"S",107.9,93,126.05
8,-15,-30,-22.5,"S",88.08,72.475,102.575
9,-30,-45,-37.5,"S",112.35,91.95,129.525
10,-45,-60,-52.5,"S",140.3,121,161
11,-60,-75,-67.5,"S",164.32,143,185.05
12,-75,-90,-82.5,"S",91.57,75,108.1
