"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",251.29,225.325,276.525
2,75,60,67.5,"N",280.81,256.95,302.525
3,60,45,52.5,"N",205.14,183,226
4,45,30,37.5,"N",183.88,161.95,205.05
5,30,15,22.5,"N",179.48,157,202
6,15,0,7.5,"N",126.14,108,144.525
7,0,-15,-7.5,"S",76.65,61,90.525
8,-15,-30,-22.5,"S",91.15,78,107.525
9,-30,-45,-37.5,"S",122.33,106.475,139.525
10,-45,-60,-52.5,"S",131.64,112.475,149.525
11,-60,-75,-67.5,"S",127.18,107.475,147
12,-75,-90,-82.5,"S",79.81,66.475,97.05
