"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",275.83,245.9,306.575
2,75,60,67.5,"N",276.05,247.475,303
3,60,45,52.5,"N",235.46,213.475,255.525
4,45,30,37.5,"N",212.23,187.475,232
5,30,15,22.5,"N",162.67,140.475,190.05
6,15,0,7.5,"N",115.54,97.475,140
7,0,-15,-7.5,"S",71.23,55,88.05
8,-15,-30,-22.5,"S",81.45,67.475,95.525
9,-30,-45,-37.5,"S",100.98,82.95,117.05
10,-45,-60,-52.5,"S",96.56,79,119.525
11,-60,-75,-67.5,"S",126.17,112,148.05
12,-75,-90,-82.5,"S",86.27,68.425,103
