"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",246.81,223,275.05
2,75,60,67.5,"N",184.99,163,208.1
3,60,45,52.5,"N",175.75,151.275,199.05
4,45,30,37.5,"N",200.96,177,226
5,30,15,22.5,"N",188.24,164.375,210
6,15,0,7.5,"N",135.17,117.95,156
7,0,-15,-7.5,"S",66.43,53,80
8,-15,-30,-22.5,"S",56.78,42.475,71.525
9,-30,-45,-37.5,"S",89.29,72.425,111.05
10,-45,-60,-52.5,"S",107.02,87,125.05
11,-60,-75,-67.5,"S",133.59,112.475,153.05
12,-75,-90,-82.5,"S",66.56,49.9,82
