"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",164.12,142.475,186.575
2,75,60,67.5,"N",190.99,170.425,215.525
3,60,45,52.5,"N",156.6,133.475,177.05
4,45,30,37.5,"N",145.68,125.425,169.525
5,30,15,22.5,"N",151.07,131,172.575
6,15,0,7.5,"N",162.1,145.475,182
7,0,-15,-7.5,"S",137.9,120.475,158
8,-15,-30,-22.5,"S",109.13,92.9,129.525
9,-30,-45,-37.5,"S",92.63,77.475,110
10,-45,-60,-52.5,"S",46.84,35.475,61.575
11,-60,-75,-67.5,"S",153.11,124.75,173.05
12,-75,-90,-82.5,"S",124.6,105.475,144.575
