"name","mean_richness","CI.Lower","CI.Upper","max_age","mid_age","min_age","duration","abbr","color"
"piacenzian",257.85,231.475,284.525,3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
"zanclean",292.86,266.425,319.525,5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
"messinian",157.81,137,177,7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
"tortonian",220.7,199,247.675,11.62,9.433,7.246,4.374,"Trt","#FFFF66"
"serravallian",241.57,217.95,269.525,13.82,12.72,11.62,2.2,"Srr","#FFFF59"
"langhian",170.52,148.475,194.05,15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
"burdigalian",155.86,135,176.525,20.44,18.205,15.97,4.47,"Brd","#FFFF41"
"aquitanian",99.89,82.475,117.05,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"chattian",155.46,134.475,174.525,28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
"rupelian",165.51,145,185.525,33.9,31,28.1,5.8,"Rp","#FED99A"
"priabonian",190.48,168.425,214.05,38,35.95,33.9,4.1,"Prb","#FDCDA1"
"bartonian",127.05,106.9,145,41.3,39.65,38,3.3,"Brt","#FDC091"
"lutetian",109.8,87.475,132.575,47.8,44.55,41.3,6.5,"Lt","#FCB482"
"ypresian",108.41,93.425,128,56,51.9,47.8,8.2,"Y","#FCA773"
"thanetian",75.56,58,91.05,59.2,57.6,56,3.2,"Th","#FDBF6F"
"selandian",30.54,21.95,41,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"danian",121.1,101.425,141,66,63.8,61.6,4.4,"Dn","#FDB462"
"maastrichtian",214.98,192.475,237,72.1,69.05,66,6.1,"Mst","#F2FA8C"
"campanian",154.18,131.95,176,83.6,77.85,72.1,11.5,"Cm","#E6F47F"
"santonian",116.85,98,133.575,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"coniacian",105.28,86.475,126.525,89.8,88.05,86.3,3.5,"Cnc","#CCE968"
"turonian",161.19,140.475,186.525,93.9,91.85,89.8,4.1,"Trnn","#BFE35D"
"cenomanian",197.51,174,218.05,100.5,97.2,93.9,6.6,"Cnm","#B3DE53"
"albian",216.96,188.475,245,113,106.75,100.5,12.5,"Alb","#CCEA97"
"aptian",135.66,115.375,157.05,125,119,113,12,"Ap","#BFE48A"
"barremian",63.83,47.95,82.525,129.4,127.2,125,4.4,"Brrm","#B3DF7F"
"hauterivian",74.34,59.95,90.525,132.9,131.15,129.4,3.5,"Htr","#A6D975"
"valanginian",75.18,62.475,91.525,139.8,136.35,132.9,6.9,"Vl","#99D36A"
"berriasian",154.31,137,173.675,145,142.4,139.8,5.2,"Brrs","#8CCD60"
"tithonian",170.29,147.375,192.05,152.1,148.55,145,7.1,"Tt","#D9F1F7"
"kimmeridgian",98.3,78.95,114.05,157.3,154.7,152.1,5.2,"Km","#CCECF4"
"oxfordian",89.43,71.475,105.05,163.5,160.4,157.3,6.2,"Ox","#BFE7F1"
"callovian",120.84,97.9,140,166.1,164.8,163.5,2.6,"Cll","#BFE7E5"
"bathonian",116.96,101,134,168.3,167.2,166.1,2.2,"Bt","#B3E2E3"
"bajocian",109.1,89.9,130.525,170.3,169.3,168.3,2,"Bj","#A6DDE0"
"aalenian",73.45,60,91.525,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"toarcian",178.06,153.9,199.525,182.7,178.4,174.1,8.6,"Trc","#99CEE3"
"pliensbachian",227.25,205,250,190.8,186.75,182.7,8.1,"Pl","#80C5DD"
"sinemurian",93.21,77.475,111,199.3,195.05,190.8,8.5,"Snm","#67BCD8"
"hettangian",76.26,62,89.575,201.3,200.3,199.3,2,"Htt","#4EB3D3"
"rhaetian",101.45,85.95,118,208.5,204.9,201.3,7.2,"Rht","#E3B9DB"
"norian",124.92,102,142.575,228,218.25,208.5,19.5,"N","#D6AAD3"
"carnian",98.59,81.475,112.525,237,232.5,228,9,"Cr","#C99BCB"
"ladinian",95.53,79.9,113.05,242,239.5,237,5,"Ldn","#C983BF"
"anisian",78.75,61,93,247.2,244.6,242,5.2,"An","#BC75B7"
"olenekian",30.05,20.475,40,251.2,249.2,247.2,4,"Ol","#B051A5"
"induan",76.85,62.95,94.525,252.17,251.685,251.2,0.97,"I","#A4469F"
"changhsingian",19.61,12,27,254.17,253.17,252.17,2,"Chn","#FCC0B2"
"wuchiapingian",82.15,68,99.575,259.9,257.035,254.17,5.73,"Wc","#FCB4A2"
"capitanian",76.66,60,93,265.1,262.5,259.9,5.2,"Cp","#FB9A85"
"wordian",99.33,85,113.525,268.8,266.95,265.1,3.7,"Wr","#FB8D76"
"roadian",107.94,89,126.525,272.3,270.55,268.8,3.5,"Rd","#FB8069"
"kungurian",107.62,92.475,126.05,279.3,275.8,272.3,7,"Kn","#E38776"
"artinskian",149.07,124.475,168.05,290.1,284.7,279.3,10.8,"Art","#E37B68"
"sakmarian",134.99,115,151.05,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"asselian",84.82,69,103.525,298.9,297.2,295.5,3.4,"As","#E36350"
