"name","mean_richness","CI.Lower","CI.Upper","max_age","mid_age","min_age","duration","abbr","color"
"piacenzian",112.82,94.425,133.05,3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
"zanclean",120.39,102.475,136,5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
"messinian",66.44,50.95,82.05,7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
"tortonian",99.95,81.475,120.05,11.62,9.433,7.246,4.374,"Trt","#FFFF66"
"serravallian",85.1,72.475,101.525,13.82,12.72,11.62,2.2,"Srr","#FFFF59"
"langhian",73.64,57.475,90.05,15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
"burdigalian",107.4,91.95,120,20.44,18.205,15.97,4.47,"Brd","#FFFF41"
"aquitanian",65.79,53.95,80.525,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"chattian",81.89,65.475,99.05,28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
"rupelian",132.95,112.9,156.05,33.9,31,28.1,5.8,"Rp","#FED99A"
"priabonian",135.36,118.475,153,38,35.95,33.9,4.1,"Prb","#FDCDA1"
"bartonian",84.85,66.425,104.575,41.3,39.65,38,3.3,"Brt","#FDC091"
"lutetian",87.67,71.375,101,47.8,44.55,41.3,6.5,"Lt","#FCB482"
"ypresian",93.68,79.95,108,56,51.9,47.8,8.2,"Y","#FCA773"
"thanetian",48.69,35.475,64.575,59.2,57.6,56,3.2,"Th","#FDBF6F"
"selandian",24.65,16,34.525,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"danian",75.97,58.9,98.525,66,63.8,61.6,4.4,"Dn","#FDB462"
"maastrichtian",183.39,162,210,72.1,69.05,66,6.1,"Mst","#F2FA8C"
"campanian",102.91,86.475,126.525,83.6,77.85,72.1,11.5,"Cm","#E6F47F"
"santonian",71.89,58.95,88.525,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"coniacian",64.15,52,78.525,89.8,88.05,86.3,3.5,"Cnc","#CCE968"
"turonian",84.76,69.475,99,93.9,91.85,89.8,4.1,"Trnn","#BFE35D"
"cenomanian",124.74,103.475,145.525,100.5,97.2,93.9,6.6,"Cnm","#B3DE53"
"albian",149.63,129,174.05,113,106.75,100.5,12.5,"Alb","#CCEA97"
"aptian",107.62,89.475,125.525,125,119,113,12,"Ap","#BFE48A"
"barremian",73.63,61.475,87.05,129.4,127.2,125,4.4,"Brrm","#B3DF7F"
"hauterivian",57.83,46.475,71,132.9,131.15,129.4,3.5,"Htr","#A6D975"
"valanginian",75.19,61,95.525,139.8,136.35,132.9,6.9,"Vl","#99D36A"
"berriasian",101.88,83.475,117.525,145,142.4,139.8,5.2,"Brrs","#8CCD60"
"tithonian",126.12,106.475,150.575,152.1,148.55,145,7.1,"Tt","#D9F1F7"
"kimmeridgian",95.89,79.475,111.525,157.3,154.7,152.1,5.2,"Km","#CCECF4"
"oxfordian",90.77,72.475,105.525,163.5,160.4,157.3,6.2,"Ox","#BFE7F1"
"callovian",98.19,84,118,166.1,164.8,163.5,2.6,"Cll","#BFE7E5"
"bathonian",97.65,84,118.525,168.3,167.2,166.1,2.2,"Bt","#B3E2E3"
"bajocian",85.92,70.95,103,170.3,169.3,168.3,2,"Bj","#A6DDE0"
"aalenian",64.29,49.475,80.1499999999999,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"toarcian",121.87,99.95,142.05,182.7,178.4,174.1,8.6,"Trc","#99CEE3"
"pliensbachian",177.54,159.475,198,190.8,186.75,182.7,8.1,"Pl","#80C5DD"
"sinemurian",117.66,103.475,140.525,199.3,195.05,190.8,8.5,"Snm","#67BCD8"
"hettangian",76.7,62.475,93.575,201.3,200.3,199.3,2,"Htt","#4EB3D3"
"rhaetian",130.74,107.95,153,208.5,204.9,201.3,7.2,"Rht","#E3B9DB"
"norian",203.31,179,228.525,228,218.25,208.5,19.5,"N","#D6AAD3"
"carnian",177.48,153.425,202.575,237,232.5,228,9,"Cr","#C99BCB"
"ladinian",151.12,128.475,176,242,239.5,237,5,"Ldn","#C983BF"
"anisian",174.75,155.475,197.725,247.2,244.6,242,5.2,"An","#BC75B7"
"olenekian",107.21,90.475,124,251.2,249.2,247.2,4,"Ol","#B051A5"
"induan",132.53,106.475,158.1,252.17,251.685,251.2,0.97,"I","#A4469F"
"changhsingian",120.5,101.375,139,254.17,253.17,252.17,2,"Chn","#FCC0B2"
"wuchiapingian",159.53,135.95,180,259.9,257.035,254.17,5.73,"Wc","#FCB4A2"
"capitanian",142.58,122,165.1,265.1,262.5,259.9,5.2,"Cp","#FB9A85"
"wordian",191.38,167,217.525,268.8,266.95,265.1,3.7,"Wr","#FB8D76"
"roadian",206.76,180.95,229.525,272.3,270.55,268.8,3.5,"Rd","#FB8069"
"kungurian",149.44,128.425,171.525,279.3,275.8,272.3,7,"Kn","#E38776"
"artinskian",138.14,114.475,157.575,290.1,284.7,279.3,10.8,"Art","#E37B68"
"sakmarian",136.72,115.425,156.05,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"asselian",119.79,99.95,137.525,298.9,297.2,295.5,3.4,"As","#E36350"
