"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color","type"
"piacenzian",4,45,30,37.5,"N",465.96,437.475,492,0.236442703391164,3.6,3.094,2.588,1.012,"Pc","#FFFFBF","simulated"
"piacenzian",4,45,30,37.5,"N",100.96,83,117.525,0.595493688805002,3.6,3.094,2.588,1.012,"Pc","#FFFFBF","sampled"
"piacenzian",4,45,30,37.5,"N",37.32776,35.074975,38.944375,0.408205097697336,3.6,3.094,2.588,1.012,"Pc","#FFFFBF","rarefied"
"zanclean",4,45,30,37.5,"N",445.03,411,472.05,0.227041063602924,5.333,4.4665,3.6,1.733,"Z","#FFFFB3","simulated"
"zanclean",4,45,30,37.5,"N",106.36,87.95,126.525,0.615402418561592,5.333,4.4665,3.6,1.733,"Z","#FFFFB3","sampled"
"zanclean",4,45,30,37.5,"N",37.23744,34.983975,39.150675,0.392315192776016,5.333,4.4665,3.6,1.733,"Z","#FFFFB3","rarefied"
"messinian",3,60,45,52.5,"N",449.87,422.95,481.05,0.228106825407288,7.246,6.2895,5.333,1.913,"Mss","#FFFF73","simulated"
"messinian",4,45,30,37.5,"N",61.82,48,77,0.736741747109999,7.246,6.2895,5.333,1.913,"Mss","#FFFF73","sampled"
"messinian",4,45,30,37.5,"N",31.78893,28.349675,34.8338,0.590903936865022,7.246,6.2895,5.333,1.913,"Mss","#FFFF73","rarefied"
"tortonian",4,45,30,37.5,"N",448.99,413.65,480,0.227391973745518,11.62,9.433,7.246,4.374,"Trt","#FFFF66","simulated"
"tortonian",4,45,30,37.5,"N",113.16,93.375,132.625,0.705090659854196,11.62,9.433,7.246,4.374,"Trt","#FFFF66","sampled"
"tortonian",4,45,30,37.5,"N",37.64135,35.705125,39.2921,0.485016066547384,11.62,9.433,7.246,4.374,"Trt","#FFFF66","rarefied"
"serravallian",4,45,30,37.5,"N",483.33,450.425,512.525,0.242955091536056,13.82,12.72,11.62,2.2,"Srr","#FFFF59","simulated"
"serravallian",4,45,30,37.5,"N",136.5,118,156.05,0.657197881559942,13.82,12.72,11.62,2.2,"Srr","#FFFF59","sampled"
"serravallian",4,45,30,37.5,"N",38.97143,37.026025,40.5563,0.443800386207186,13.82,12.72,11.62,2.2,"Srr","#FFFF59","rarefied"
"langhian",4,45,30,37.5,"N",486.19,458.8,517.575,0.245296536414319,15.97,14.895,13.82,2.15,"Ln","#FFFF4D","simulated"
"langhian",4,45,30,37.5,"N",86.78,70,99.575,0.740127931769723,15.97,14.895,13.82,2.15,"Ln","#FFFF4D","sampled"
"langhian",4,45,30,37.5,"N",35.43339,33.2957,37.22435,0.546570593798382,15.97,14.895,13.82,2.15,"Ln","#FFFF4D","rarefied"
"burdigalian",4,45,30,37.5,"N",454.85,424.475,491,0.229543688242478,20.44,18.205,15.97,4.47,"Brd","#FFFF41","simulated"
"burdigalian",4,45,30,37.5,"N",80.74,62.85,99,0.706386701662292,20.44,18.205,15.97,4.47,"Brd","#FFFF41","sampled"
"burdigalian",4,45,30,37.5,"N",34.29531,31.5487,37.066425,0.514977302612463,20.44,18.205,15.97,4.47,"Brd","#FFFF41","rarefied"
"aquitanian",4,45,30,37.5,"N",423.96,399,447.525,0.213871695143545,23.03,21.735,20.44,2.59,"Aq","#FFFF33","simulated"
