"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color","type"
"piacenzian",2,75,60,67.5,"N",219.19,192.85,242.525,0.11627438186631,3.6,3.094,2.588,1.012,"Pc","#FFFFBF","simulated"
"piacenzian",4,45,30,37.5,"N",18.22,10.475,27,0.387000849617672,3.6,3.094,2.588,1.012,"Pc","#FFFFBF","sampled"
"piacenzian",4,45,30,37.5,"N",16.56096,10.387325,21.835325,0.366702995320379,3.6,3.094,2.588,1.012,"Pc","#FFFFBF","rarefied"
"zanclean",2,75,60,67.5,"N",223.76,200.9,247.1,0.118800106185293,5.333,4.4665,3.6,1.733,"Z","#FFFFB3","simulated"
"zanclean",4,45,30,37.5,"N",16.61,11,23.525,0.363377816670313,5.333,4.4665,3.6,1.733,"Z","#FFFFB3","sampled"
"zanclean",4,45,30,37.5,"N",15.3822,10.746375,20.180625,0.34623407252814,5.333,4.4665,3.6,1.733,"Z","#FFFFB3","rarefied"
"messinian",2,75,60,67.5,"N",262.37,233.95,285.05,0.137967481384881,7.246,6.2895,5.333,1.913,"Mss","#FFFF73","simulated"
"messinian",4,45,30,37.5,"N",16.6,10,25,0.579002441576561,7.246,6.2895,5.333,1.913,"Mss","#FFFF73","sampled"
"messinian",4,45,30,37.5,"N",15.2004,9.901325,20.7526,0.557432153674133,7.246,6.2895,5.333,1.913,"Mss","#FFFF73","rarefied"
"tortonian",2,75,60,67.5,"N",230.36,202.425,255,0.120628803033001,11.62,9.433,7.246,4.374,"Trt","#FFFF66","simulated"
"tortonian",4,45,30,37.5,"N",25.17,17,35.525,0.512210012210012,11.62,9.433,7.246,4.374,"Trt","#FFFF66","sampled"
"tortonian",4,45,30,37.5,"N",20.82581,15.6775,25.7782,0.465517399391241,11.62,9.433,7.246,4.374,"Trt","#FFFF66","rarefied"
"serravallian",2,75,60,67.5,"N",233.95,211.475,260.525,0.122289710832793,13.82,12.72,11.62,2.2,"Srr","#FFFF59","simulated"
"serravallian",4,45,30,37.5,"N",23.27,14.475,34,0.524808299503834,13.82,12.72,11.62,2.2,"Srr","#FFFF59","sampled"
"serravallian",4,45,30,37.5,"N",19.88248,14.059325,25.52915,0.486191249844722,13.82,12.72,11.62,2.2,"Srr","#FFFF59","rarefied"
"langhian",2,75,60,67.5,"N",227.66,198.95,253.05,0.118858300398352,15.97,14.895,13.82,2.15,"Ln","#FFFF4D","simulated"
"langhian",4,45,30,37.5,"N",18.38,10.475,28,0.590616966580977,15.97,14.895,13.82,2.15,"Ln","#FFFF4D","sampled"
"langhian",4,45,30,37.5,"N",16.72864,10.31225,22.89145,0.567688339894122,15.97,14.895,13.82,2.15,"Ln","#FFFF4D","rarefied"
"burdigalian",2,75,60,67.5,"N",227.66,198.475,250,0.118803717638955,20.44,18.205,15.97,4.47,"Brd","#FFFF41","simulated"
"burdigalian",4,45,30,37.5,"N",21.35,12,30,0.430790960451977,20.44,18.205,15.97,4.47,"Brd","#FFFF41","sampled"
"burdigalian",4,45,30,37.5,"N",18.66078,11.689575,24.06775,0.399154751347251,20.44,18.205,15.97,4.47,"Brd","#FFFF41","rarefied"
"aquitanian",2,75,60,67.5,"N",218.82,192.85,243.05,0.113873262524654,23.03,21.735,20.44,2.59,"Aq","#FFFF33","simulated"
"aquitanian",4,45,30,37.5,"N",10.48,5,17.525,0.365284071104915,23.03,21.735,20.44,2.59,"Aq","#FFFF33","sampled"
"aquitanian",4,45,30,37.5,"N",10.23734,5,16.168675,0.359981082017191,23.03,21.735,20.44,2.59,"Aq","#FFFF33","rarefied"
"chattian",4,45,30,37.5,"N",215.75,187,237.525,0.112866521932463,28.1,25.565,23.03,5.07,"Cht","#FEE6AA","simulated"
"chattian",4,45,30,37.5,"N",14.1,8,21,0.377207062600321,28.1,25.565,23.03,5.07,"Cht","#FEE6AA","sampled"
"chattian",4,45,30,37.5,"N",13.48452,7.973,19.0245,0.368000676806945,28.1,25.565,23.03,5.07,"Cht","#FEE6AA","rarefied"
"rupelian",4,45,30,37.5,"N",221.04,199.95,244.1,0.116105852566998,33.9,31,28.1,5.8,"Rp","#FED99A","simulated"
"rupelian",4,45,30,37.5,"N",23.17,15,32.575,0.347636909227307,33.9,31,28.1,5.8,"Rp","#FED99A","sampled"
"rupelian",4,45,30,37.5,"N",19.96901,14.34855,25.3246,0.327256526772452,33.9,31,28.1,5.8,"Rp","#FED99A","rarefied"
"priabonian",3,60,45,52.5,"N",235.5,210.475,259.575,0.123323610580171,38,35.95,33.9,4.1,"Prb","#FDCDA1","simulated"
"priabonian",4,45,30,37.5,"N",23.49,14.475,31.525,0.306898353801934,38,35.95,33.9,4.1,"Prb","#FDCDA1","sampled"
"priabonian",4,45,30,37.5,"N",19.86713,13.777775,24.01475,0.282527816016109,38,35.95,33.9,4.1,"Prb","#FDCDA1","rarefied"
"bartonian",2,75,60,67.5,"N",255.67,228.95,280.525,0.135217897186376,41.3,39.65,38,3.3,"Brt","#FDC091","simulated"
"bartonian",4,45,30,37.5,"N",12.73,6,21,0.268112889637742,41.3,39.65,38,3.3,"Brt","#FDC091","sampled"
"bartonian",4,45,30,37.5,"N",12.27606,5.998,19.150225,0.264081309799034,41.3,39.65,38,3.3,"Brt","#FDC091","rarefied"
"lutetian",1,90,75,82.5,"N",245.17,219.475,269.525,0.131090127470271,47.8,44.55,41.3,6.5,"Lt","#FCB482","simulated"
