"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color","type"
"piacenzian",6,15,0,7.5,"N",548.33,513.9,577.575,0.276597676565393,3.6,3.094,2.588,1.012,"Pc","#FFFFBF","simulated"
"piacenzian",7,0,-15,-7.5,"S",25.88,17,35.525,0.322975165356296,3.6,3.094,2.588,1.012,"Pc","#FFFFBF","sampled"
"piacenzian",7,0,-15,-7.5,"S",21.33681,15.552175,26.32145,0.298629263101204,3.6,3.094,2.588,1.012,"Pc","#FFFFBF","rarefied"
"zanclean",6,15,0,7.5,"N",540.47,512.95,568.525,0.273109477248036,5.333,4.4665,3.6,1.733,"Z","#FFFFB3","simulated"
"zanclean",6,15,0,7.5,"N",19.46,12,27.525,0.298328989728652,5.333,4.4665,3.6,1.733,"Z","#FFFFB3","sampled"
"zanclean",6,15,0,7.5,"N",16.68783,11.44445,21.476425,0.275774011075361,5.333,4.4665,3.6,1.733,"Z","#FFFFB3","rarefied"
"messinian",6,15,0,7.5,"N",548.4,518.475,575.525,0.277489639678387,7.246,6.2895,5.333,1.913,"Mss","#FFFF73","simulated"
"messinian",4,45,30,37.5,"N",10.93,6,18.525,0.316811594202899,7.246,6.2895,5.333,1.913,"Mss","#FFFF73","sampled"
"messinian",4,45,30,37.5,"N",10.57884,5.9849,17.109625,0.311237371880003,7.246,6.2895,5.333,1.913,"Mss","#FFFF73","rarefied"
"tortonian",6,15,0,7.5,"N",521.84,496.475,549.525,0.263155506023671,11.62,9.433,7.246,4.374,"Trt","#FFFF66","simulated"
"tortonian",4,45,30,37.5,"N",20.56,13.475,28,0.354543886877048,11.62,9.433,7.246,4.374,"Trt","#FFFF66","sampled"
"tortonian",4,45,30,37.5,"N",17.41385,12.47915,22.142825,0.319444689034958,11.62,9.433,7.246,4.374,"Trt","#FFFF66","rarefied"
"serravallian",6,15,0,7.5,"N",513.39,485.425,542.575,0.258608704412654,13.82,12.72,11.62,2.2,"Srr","#FFFF59","simulated"
"serravallian",6,15,0,7.5,"N",20.05,13,28.525,0.326016260162602,13.82,12.72,11.62,2.2,"Srr","#FFFF59","sampled"
"serravallian",6,15,0,7.5,"N",17.60638,12.666725,22.60195,0.315170234079467,13.82,12.72,11.62,2.2,"Srr","#FFFF59","rarefied"
"langhian",6,15,0,7.5,"N",491.53,461.425,521,0.246835029854419,15.97,14.895,13.82,2.15,"Ln","#FFFF4D","simulated"
"langhian",4,45,30,37.5,"N",14.84,9.475,21,0.451887941534714,15.97,14.895,13.82,2.15,"Ln","#FFFF4D","sampled"
"langhian",4,45,30,37.5,"N",13.65873,9.27635,18.066675,0.432625326518376,15.97,14.895,13.82,2.15,"Ln","#FFFF4D","rarefied"
"burdigalian",6,15,0,7.5,"N",512.1,480.95,548,0.256550273032413,20.44,18.205,15.97,4.47,"Brd","#FFFF41","simulated"
