"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.14,0,1
2,75,60,67.5,"N",0.69,0,2
3,60,45,52.5,"N",11.06073,6.4101,17.104675
4,45,30,37.5,"N",28.25592,24.89425,31.622225
5,30,15,22.5,"N",29.26164,24.706275,33.448875
6,15,0,7.5,"N",27.05401,23.048225,30.459875
7,0,-15,-7.5,"S",12.01965,6.469775,17.603625
8,-15,-30,-22.5,"S",NA,NA,NA
9,-30,-45,-37.5,"S",1.3,0,3.52499999999999
10,-45,-60,-52.5,"S",0.17,0,1
11,-60,-75,-67.5,"S",0.29,0,1.52499999999999
12,-75,-90,-82.5,"S",NA,NA,NA
