"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",NA,NA,NA
3,60,45,52.5,"N",0.84,0,2.52499999999999
4,45,30,37.5,"N",16.72383,10.324475,21.5847
5,30,15,22.5,"N",28.17944,25.253575,31.3428
6,15,0,7.5,"N",7.60753,3,12.33315
7,0,-15,-7.5,"S",27.11227,23.119575,31.6568
8,-15,-30,-22.5,"S",8.62524,4,13.486825
9,-30,-45,-37.5,"S",NA,NA,NA
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",0.03,0,0.524999999999991
