"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",0.14,0,1
3,60,45,52.5,"N",0.4,0,2
4,45,30,37.5,"N",18.45415,13.50485,23.318125
5,30,15,22.5,"N",17.06088,12.807375,21.58695
6,15,0,7.5,"N",25.7518,21.4216,28.84805
7,0,-15,-7.5,"S",21.62827,17.05205,25.49205
8,-15,-30,-22.5,"S",9.08039,4.474525,15.65195
9,-30,-45,-37.5,"S",8.53364,3,14.13125
10,-45,-60,-52.5,"S",3.71828,0,7.50509999999999
11,-60,-75,-67.5,"S",0.26,0,2
12,-75,-90,-82.5,"S",NA,NA,NA
