"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.06,0,1
2,75,60,67.5,"N",0.23,0,1.52499999999999
3,60,45,52.5,"N",1.21,0,4
4,45,30,37.5,"N",5.27434,2,8.969125
5,30,15,22.5,"N",17.43222,11.243025,23.169775
6,15,0,7.5,"N",25.5218,21.644725,29.376775
7,0,-15,-7.5,"S",29.87533,26.1396,33.38115
8,-15,-30,-22.5,"S",16.47253,9.425925,22.89645
9,-30,-45,-37.5,"S",2.86988,0,6.52237499999999
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",0.01,0,0
12,-75,-90,-82.5,"S",NA,NA,NA
