"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",NA,NA,NA
3,60,45,52.5,"N",NA,NA,NA
4,45,30,37.5,"N",22.63776,17.8434,26.0396
5,30,15,22.5,"N",16.2672,11.1971,20.89515
6,15,0,7.5,"N",25.35949,21.217475,28.6191
7,0,-15,-7.5,"S",29.52879,26.256925,32.233075
8,-15,-30,-22.5,"S",2.70992,0,5.998525
9,-30,-45,-37.5,"S",20.12634,14.199775,24.98125
10,-45,-60,-52.5,"S",0.44,0,2
11,-60,-75,-67.5,"S",0.21,0,1
12,-75,-90,-82.5,"S",NA,NA,NA
