"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.01,0,0
2,75,60,67.5,"N",0.08,0,1
3,60,45,52.5,"N",11.0894,5.46075,16.41975
4,45,30,37.5,"N",33.5119,30.55125,36.02325
5,30,15,22.5,"N",35.8356,33.77375,37.83075
6,15,0,7.5,"N",31.9407,28.71025,35.0515
7,0,-15,-7.5,"S",25.2012,20.658,29.852
8,-15,-30,-22.5,"S",23.0965,18.34625,27.42575
9,-30,-45,-37.5,"S",8.6583,4,14.38675
10,-45,-60,-52.5,"S",0.65,0,2.52499999999999
11,-60,-75,-67.5,"S",0.15,0,1
12,-75,-90,-82.5,"S",NA,NA,NA
