"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",0.53,0,2.52499999999999
3,60,45,52.5,"N",8.9428,3,12.64525
4,45,30,37.5,"N",24.6445,20.52875,28.3915
5,30,15,22.5,"N",36.171,33.7595,38.202
6,15,0,7.5,"N",36.475,33.856,38.90575
7,0,-15,-7.5,"S",25.2711,20.21925,29.53775
8,-15,-30,-22.5,"S",24.9432,19.76575,29.722
9,-30,-45,-37.5,"S",3.7718,1,7.96
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",0.09,0,1
12,-75,-90,-82.5,"S",NA,NA,NA
