"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.09,0,1
2,75,60,67.5,"N",0.33,0,1.52499999999999
3,60,45,52.5,"N",8.4412,3.99475,13.80475
4,45,30,37.5,"N",22.3031,18.722,27.18775
5,30,15,22.5,"N",20.9418,15.08225,25.5535
6,15,0,7.5,"N",38.8022,37.326,40.58775
7,0,-15,-7.5,"S",29.7374,25.963,32.7005
8,-15,-30,-22.5,"S",30.6131,26.45325,33.91675
9,-30,-45,-37.5,"S",9.0043,4,13.501
10,-45,-60,-52.5,"S",1.84,0,4
11,-60,-75,-67.5,"S",0.23,0,1
12,-75,-90,-82.5,"S",NA,NA,NA
