"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",NA,NA,NA
3,60,45,52.5,"N",8.68132,4.419175,12.982725
4,45,30,37.5,"N",21.97029,17.6213,26.566225
5,30,15,22.5,"N",9.25008,4,14.350675
6,15,0,7.5,"N",24.81285,18.827,29.643425
7,0,-15,-7.5,"S",15.3185,8.9739,20.22795
8,-15,-30,-22.5,"S",2.28986,0,5
9,-30,-45,-37.5,"S",5.5389,1.475,9.90815
10,-45,-60,-52.5,"S",2.25987,0,5.52184999999999
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",NA,NA,NA
