"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",0.01,0,0
3,60,45,52.5,"N",4.2454,0.475,8.967225
4,45,30,37.5,"N",16.77818,10.830225,21.696175
5,30,15,22.5,"N",23.88169,18.191475,28.0043
6,15,0,7.5,"N",6.85395,3,11.398525
7,0,-15,-7.5,"S",5.93224,2,10.42195
8,-15,-30,-22.5,"S",6.58362,2,12.75645
9,-30,-45,-37.5,"S",2.17976,0,5.52499999999999
10,-45,-60,-52.5,"S",0.3,0,2
11,-60,-75,-67.5,"S",0.02,0,0
12,-75,-90,-82.5,"S",0.02,0,0
