"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.01,0,0
2,75,60,67.5,"N",0.4,0,1.52499999999999
3,60,45,52.5,"N",3.73878,1,6.994525
4,45,30,37.5,"N",26.45633,21.786325,29.924025
5,30,15,22.5,"N",29.75312,26.387025,33.33535
6,15,0,7.5,"N",26.33548,21.8933,29.866025
7,0,-15,-7.5,"S",5.79034,2,10.446125
8,-15,-30,-22.5,"S",8.07769,3,13.164575
9,-30,-45,-37.5,"S",2.72982,0,6.52194999999999
10,-45,-60,-52.5,"S",0.26,0,1
11,-60,-75,-67.5,"S",0.12,0,1
12,-75,-90,-82.5,"S",NA,NA,NA
