"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",NA,NA,NA
3,60,45,52.5,"N",NA,NA,NA
4,45,30,37.5,"N",15.65705,9.918125,20.557675
5,30,15,22.5,"N",17.98878,12.5251,22.91965
6,15,0,7.5,"N",29.15501,25.9155,32.271075
7,0,-15,-7.5,"S",34.8699,31.99495,37.501575
8,-15,-30,-22.5,"S",21.97155,16.53985,27.795575
9,-30,-45,-37.5,"S",16.51203,10.374875,22.068425
10,-45,-60,-52.5,"S",0.62,0,2
11,-60,-75,-67.5,"S",0.35,0,2
12,-75,-90,-82.5,"S",0.03,0,0.524999999999991
