"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.01,0,0
2,75,60,67.5,"N",NA,NA,NA
3,60,45,52.5,"N",3.03853,0,6.988575
4,45,30,37.5,"N",8.59212,4.461225,13.57325
5,30,15,22.5,"N",25.9562,22.2142,29.575775
6,15,0,7.5,"N",14.77211,7.965425,21.2267
7,0,-15,-7.5,"S",23.04061,17.943275,28.278575
8,-15,-30,-22.5,"S",23.61884,19.6635,27.296225
9,-30,-45,-37.5,"S",2.20997,0,5
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",0.24,0,1
12,-75,-90,-82.5,"S",NA,NA,NA
