"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",NA,NA,NA
3,60,45,52.5,"N",2.16981,0,4.999525
4,45,30,37.5,"N",25.76904,22.275425,28.432825
5,30,15,22.5,"N",29.3624,25.22625,33.433625
6,15,0,7.5,"N",27.41541,23.7957,30.87945
7,0,-15,-7.5,"S",23.64672,17.197825,28.228475
8,-15,-30,-22.5,"S",2.21999,0,5
9,-30,-45,-37.5,"S",10.16141,5.468225,14.596775
10,-45,-60,-52.5,"S",1.48,0,4
11,-60,-75,-67.5,"S",0.05,0,1
12,-75,-90,-82.5,"S",NA,NA,NA
