"id","x","y","rep","collections"
4,20.5,35.5,1,4
4,20.5,28.5,1,1
35,31.5,34.5,1,1
35,38.5,18.5,1,1
36,-43.5,31.5,1,3
84,-43.5,31.5,1,3
98,9.5,25.5,1,1
104,20.5,28.5,1,1
107,20.5,35.5,1,4
107,31.5,34.5,1,1
127,20.5,35.5,1,4
153,-21.5,-39.5,1,5
158,38.5,18.5,1,1
158,34.5,23.5,1,1
168,34.5,23.5,1,1
203,30.5,40.5,1,1
280,20.5,29.5,1,3
287,34.5,23.5,1,1
296,29.5,39.5,1,1
296,36.5,25.5,1,9
300,36.5,25.5,1,9
359,29.5,39.5,1,1
372,20.5,29.5,1,3
372,20.5,35.5,1,4
372,20.5,36.5,1,24
381,20.5,28.5,1,1
389,9.5,25.5,1,1
406,34.5,23.5,1,1
408,-44.5,29.5,1,2
433,36.5,25.5,1,9
463,36.5,25.5,1,9
469,20.5,28.5,1,1
475,25.5,32.5,1,1
475,21.5,37.5,1,4
504,25.5,32.5,1,1
517,25.5,32.5,1,1
530,38.5,18.5,1,1
560,36.5,25.5,1,9
560,38.5,18.5,1,1
573,18.5,24.5,1,1
578,-46.5,41.5,1,1
580,36.5,25.5,1,9
597,-46.5,41.5,1,1
597,-41.5,59.5,1,12
599,9.5,25.5,1,1
603,27.5,35.5,1,2
613,-44.5,29.5,1,2
620,21.5,39.5,1,3
623,21.5,39.5,1,3
623,20.5,35.5,1,4
623,21.5,37.5,1,4
623,29.5,39.5,1,1
626,20.5,28.5,1,1
632,25.5,32.5,1,1
636,38.5,18.5,1,1
657,9.5,25.5,1,1
684,18.5,24.5,1,1
685,36.5,25.5,1,9
685,34.5,23.5,1,1
702,38.5,18.5,1,1
707,18.5,24.5,1,1
743,38.5,18.5,1,1
770,34.5,23.5,1,1
777,20.5,29.5,1,3
787,18.5,24.5,1,1
825,-43.5,31.5,1,3
849,-43.5,31.5,1,3
877,-44.5,29.5,1,2
895,20.5,28.5,1,1
913,9.5,25.5,1,1
922,36.5,25.5,1,9
922,34.5,23.5,1,1
922,38.5,18.5,1,1
936,-44.5,29.5,1,2
958,27.5,31.5,1,2
985,18.5,24.5,1,1
986,20.5,28.5,1,1
997,27.5,35.5,1,2
13,20.5,28.5,2,1
99,38.5,18.5,2,1
106,38.5,18.5,2,1
125,-43.5,31.5,2,3
144,20.5,29.5,2,3
179,34.5,23.5,2,1
229,9.5,25.5,2,1
248,20.5,28.5,2,1
248,20.5,29.5,2,3
251,21.5,37.5,2,4
