"id","x","y","rep","collections"
2,-44.5,7.5,1,2
15,41.5,10.5,1,7
19,32.5,22.5,1,2
22,10.5,0.5,1,2
29,41.5,12.5,1,2
33,23.5,21.5,1,1
42,23.5,22.5,1,2
42,19.5,35.5,1,1
52,24.5,21.5,1,1
58,1.5,-3.5,1,8
58,-1.5,-3.5,1,1
64,-54.5,38.5,1,1
64,-59.5,39.5,1,1
64,-54.5,43.5,1,2
64,-49.5,34.5,1,1
71,1.5,-3.5,1,8
82,32.5,22.5,1,2
86,-63.5,35.5,1,1
86,-65.5,36.5,1,1
90,24.5,21.5,1,1
92,54.5,45.5,1,1
98,32.5,46.5,1,1
98,30.5,47.5,1,1
118,-1.5,-3.5,1,1
118,0.5,-4.5,1,1
122,40.5,12.5,1,21
124,77.5,29.5,1,2
137,23.5,24.5,1,1
142,26.5,44.5,1,3
163,-51.5,35.5,1,5
163,-48.5,35.5,1,4
164,-31.5,11.5,1,1
168,9.5,-0.5,1,1
168,12.5,-0.5,1,1
174,19.5,39.5,1,3
174,23.5,45.5,1,7
185,12.5,36.5,1,1
194,25.5,40.5,1,2
194,20.5,37.5,1,3
194,25.5,39.5,1,2
194,40.5,31.5,1,2
195,41.5,11.5,1,1
195,41.5,10.5,1,7
200,51.5,38.5,1,2
204,65.5,34.5,1,3
204,52.5,38.5,1,1
207,68.5,38.5,1,2
208,40.5,12.5,1,21
208,42.5,17.5,1,6
209,-48.5,35.5,1,4
217,1.5,-3.5,1,8
217,0.5,-3.5,1,7
217,0.5,-4.5,1,1
227,-52.5,35.5,1,1
227,-53.5,35.5,1,5
227,-48.5,35.5,1,4
228,21.5,49.5,1,3
228,21.5,46.5,1,8
228,21.5,44.5,1,2
228,24.5,47.5,1,1
228,20.5,47.5,1,1
228,22.5,48.5,1,1
228,22.5,44.5,1,1
228,22.5,47.5,1,1
236,36.5,11.5,1,1
236,41.5,12.5,1,2
241,-58.5,38.5,1,2
241,-56.5,33.5,1,15
249,-31.5,11.5,1,1
250,29.5,43.5,1,1
250,60.5,36.5,1,2
250,51.5,38.5,1,2
255,65.5,34.5,1,3
255,68.5,21.5,1,2
256,-32.5,12.5,1,4
256,0.5,-4.5,1,1
264,10.5,0.5,1,2
274,8.5,27.5,1,1
278,42.5,17.5,1,6
282,1.5,-3.5,1,8
282,12.5,-0.5,1,1
283,36.5,11.5,1,1
290,24.5,45.5,1,7
290,22.5,47.5,1,1
290,20.5,47.5,1,1
290,24.5,44.5,1,1
315,54.5,-30.5,1,1
316,54.5,-30.5,1,1
317,-50.5,33.5,1,5
317,-50.5,35.5,1,4
320,21.5,34.5,1,1
328,51.5,38.5,1,2
329,-52.5,23.5,1,5
331,41.5,12.5,1,2
331,41.5,10.5,1,7
331,42.5,17.5,1,6
331,40.5,12.5,1,21
331,41.5,11.5,1,1
331,39.5,11.5,1,1
343,10.5,0.5,1,2
343,12.5,-0.5,1,1
347,41.5,11.5,1,1
353,-52.5,23.5,1,5
359,30.5,-42.5,1,1
359,13.5,-42.5,1,4
359,31.5,-40.5,1,1
360,23.5,22.5,1,2
360,19.5,37.5,1,2
369,26.5,39.5,1,8
369,36.5,47.5,1,8
371,-63.5,35.5,1,1
374,23.5,24.5,1,1
377,28.5,39.5,1,4
377,40.5,31.5,1,2
379,79.5,35.5,1,1
380,41.5,11.5,1,1
380,39.5,11.5,1,1
380,41.5,10.5,1,7
381,41.5,10.5,1,7
388,-32.5,12.5,1,4
388,-54.5,40.5,1,2
390,24.5,43.5,1,2
390,24.5,47.5,1,1
408,-44.5,7.5,1,2
423,-44.5,7.5,1,2
424,-58.5,38.5,1,2
440,12.5,-0.5,1,1
442,10.5,0.5,1,2
449,0.5,-4.5,1,1
449,0.5,-3.5,1,7
451,-52.5,64.5,1,4
451,-58.5,38.5,1,2
451,-50.5,43.5,1,21
455,54.5,-30.5,1,1
467,10.5,0.5,1,2
469,-44.5,7.5,1,2
470,-44.5,7.5,1,2
473,42.5,17.5,1,6
473,40.5,12.5,1,21
474,25.5,40.5,1,2
478,1.5,27.5,1,1
483,-56.5,33.5,1,15
492,77.5,29.5,1,2
506,27.5,39.5,1,1
515,42.5,17.5,1,6
528,41.5,11.5,1,1
529,0.5,-4.5,1,1
530,-1.5,-3.5,1,1
530,0.5,-4.5,1,1
533,-1.5,-3.5,1,1
533,0.5,-4.5,1,1
546,23.5,21.5,1,1
551,-1.5,-3.5,1,1
555,41.5,10.5,1,7
555,41.5,12.5,1,2
558,19.5,37.5,1,2
560,24.5,44.5,1,1
560,20.5,37.5,1,3
563,32.5,22.5,1,2
565,40.5,12.5,1,21
569,-44.5,7.5,1,2
580,37.5,-47.5,1,3
580,30.5,-42.5,1,1
607,-51.5,23.5,1,2
608,79.5,35.5,1,1
626,1.5,-3.5,1,8
626,12.5,-0.5,1,1
627,-52.5,23.5,1,5
638,69.5,33.5,1,1
641,77.5,29.5,1,2
643,68.5,21.5,1,2
645,39.5,11.5,1,1
645,8.5,27.5,1,1
647,0.5,-4.5,1,1
647,12.5,-0.5,1,1
648,-32.5,12.5,1,4
651,41.5,10.5,1,7
666,19.5,38.5,1,3
666,25.5,39.5,1,2
668,40.5,31.5,1,2
670,22.5,48.5,1,1
672,-56.5,33.5,1,15
673,1.5,-3.5,1,8
673,-1.5,-3.5,1,1
677,20.5,33.5,1,1
677,19.5,38.5,1,3
678,41.5,10.5,1,7
679,41.5,10.5,1,7
684,8.5,27.5,1,1
688,-31.5,11.5,1,1
688,-32.5,12.5,1,4
689,0.5,-3.5,1,7
689,10.5,0.5,1,2
689,-1.5,-3.5,1,1
694,68.5,21.5,1,2
694,65.5,34.5,1,3
701,1.5,-3.5,1,8
706,21.5,34.5,1,1
706,19.5,35.5,1,1
707,1.5,27.5,1,1
711,41.5,12.5,1,2
716,23.5,22.5,1,2
716,24.5,21.5,1,1
716,23.5,24.5,1,1
722,41.5,12.5,1,2
726,12.5,36.5,1,1
748,-62.5,36.5,1,2
748,-52.5,36.5,1,3
748,-65.5,36.5,1,1
748,-53.5,36.5,1,2
751,65.5,34.5,1,3
751,60.5,36.5,1,2
756,24.5,21.5,1,1
756,41.5,12.5,1,2
758,-52.5,23.5,1,5
769,-29.5,-44.5,1,1
771,77.5,29.5,1,2
772,40.5,31.5,1,2
773,12.5,-0.5,1,1
773,9.5,-0.5,1,1
774,23.5,24.5,1,1
774,24.5,21.5,1,1
777,41.5,12.5,1,2
782,65.5,34.5,1,3
788,-53.5,35.5,1,5
791,28.5,40.5,1,11
791,28.5,43.5,1,1
791,27.5,39.5,1,1
791,25.5,40.5,1,2
793,72.5,33.5,1,1
793,65.5,34.5,1,3
801,25.5,44.5,1,5
801,18.5,38.5,1,1
801,21.5,34.5,1,1
801,30.5,42.5,1,3
802,24.5,21.5,1,1
805,41.5,12.5,1,2
806,-65.5,36.5,1,1
811,-44.5,7.5,1,2
812,42.5,17.5,1,6
812,41.5,11.5,1,1
814,41.5,10.5,1,7
814,41.5,11.5,1,1
814,36.5,11.5,1,1
818,8.5,27.5,1,1
819,41.5,10.5,1,7
819,40.5,12.5,1,21
830,1.5,-3.5,1,8
830,-1.5,-3.5,1,1
830,0.5,-3.5,1,7
830,0.5,-4.5,1,1
869,60.5,36.5,1,2
