"id","x","y","rep","collections"
6,39.5,6.5,1,1
6,39.5,-3.5,1,12
42,109.5,19.5,1,1
42,107.5,21.5,1,4
48,137.5,5.5,1,4
50,27.5,25.5,1,2
57,26.5,28.5,1,2
57,27.5,25.5,1,2
57,27.5,27.5,1,33
57,44.5,24.5,1,7
57,26.5,26.5,1,1
57,27.5,28.5,1,1
57,48.5,28.5,1,1
57,28.5,26.5,1,8
61,109.5,19.5,1,1
66,109.5,-12.5,1,2
66,109.5,-11.5,1,14
66,109.5,-10.5,1,3
66,108.5,-9.5,1,66
66,109.5,-14.5,1,2
66,108.5,-12.5,1,5
66,107.5,-9.5,1,1
69,107.5,-11.5,1,3
82,108.5,21.5,1,4
109,108.5,-10.5,1,84
118,111.5,-6.5,1,1
131,28.5,26.5,1,8
131,30.5,26.5,1,8
134,34.5,30.5,1,17
139,65.5,5.5,1,1
152,65.5,5.5,1,1
157,22.5,9.5,1,1
190,106.5,-12.5,1,2
190,103.5,-15.5,1,2
190,106.5,-6.5,1,3
190,108.5,-9.5,1,66
190,110.5,-4.5,1,1
190,109.5,-10.5,1,3
197,110.5,-7.5,1,1
200,38.5,12.5,1,1
200,26.5,26.5,1,1
200,27.5,25.5,1,2
200,38.5,11.5,1,369
201,38.5,-3.5,1,3
207,40.5,10.5,1,18
207,39.5,10.5,1,2
208,91.5,-11.5,1,55
210,115.5,-6.5,1,1
221,111.5,-6.5,1,1
221,107.5,-11.5,1,3
223,38.5,-3.5,1,3
246,70.5,-22.5,1,2
258,31.5,26.5,1,4
258,27.5,26.5,1,4
258,28.5,27.5,1,12
281,32.5,3.5,1,10
285,36.5,31.5,1,6
296,112.5,-4.5,1,1
296,111.5,-6.5,1,1
297,112.5,-4.5,1,1
297,115.5,-6.5,1,1
299,111.5,-6.5,1,1
304,53.5,-19.5,1,2
309,31.5,30.5,1,2
309,26.5,30.5,1,7
316,34.5,15.5,1,141
325,22.5,9.5,1,1
330,28.5,28.5,1,2
330,28.5,27.5,1,12
330,27.5,26.5,1,4
330,27.5,27.5,1,33
330,28.5,26.5,1,8
