"id","x","y","rep","collections"
8,26.5,20.5,1,1
11,39.5,25.5,1,1
12,23.5,30.5,1,2
16,-31.5,8.5,1,1
16,-39.5,19.5,1,1
36,-39.5,18.5,1,1
40,-31.5,8.5,1,1
53,66.5,31.5,1,5
78,-47.5,35.5,1,1
91,65.5,32.5,1,1
91,66.5,31.5,1,5
91,65.5,31.5,1,5
99,59.5,33.5,1,3
101,-47.5,29.5,1,1
103,72.5,30.5,1,1
104,34.5,22.5,1,2
104,24.5,17.5,1,1
108,-39.5,19.5,1,1
109,-47.5,29.5,1,1
109,-47.5,30.5,1,1
114,-28.5,-34.5,1,1
124,35.5,8.5,1,2
126,62.5,31.5,1,1
126,65.5,32.5,1,1
141,7.5,-7.5,1,1
149,-53.5,33.5,1,2
150,5.5,-8.5,1,1
151,23.5,16.5,1,1
171,36.5,5.5,1,5
175,34.5,18.5,1,1
186,62.5,32.5,1,2
198,-38.5,36.5,1,1
198,-44.5,32.5,1,1
198,-40.5,35.5,1,1
201,-46.5,22.5,1,10
208,66.5,31.5,1,5
208,65.5,32.5,1,1
230,-39.5,19.5,1,1
236,59.5,33.5,1,3
236,64.5,32.5,1,2
236,66.5,31.5,1,5
236,61.5,31.5,1,2
249,36.5,5.5,1,5
258,-47.5,30.5,1,1
265,36.5,5.5,1,5
267,36.5,5.5,1,5
270,61.5,31.5,1,2
270,59.5,33.5,1,3
270,64.5,32.5,1,2
270,60.5,33.5,1,1
274,-40.5,35.5,1,1
286,71.5,29.5,1,1
286,69.5,34.5,1,6
286,72.5,29.5,1,1
288,3.5,-8.5,1,1
310,72.5,38.5,1,1
339,60.5,33.5,1,1
361,35.5,8.5,1,2
373,43.5,7.5,1,1
382,26.5,20.5,1,1
383,3.5,-8.5,1,1
408,54.5,33.5,1,2
408,64.5,32.5,1,2
419,65.5,43.5,1,1
421,33.5,16.5,1,1
430,34.5,18.5,1,1
443,24.5,17.5,1,1
444,59.5,32.5,1,1
445,24.5,17.5,1,1
445,23.5,16.5,1,1
457,-17.5,13.5,1,6
462,-17.5,13.5,1,6
499,36.5,19.5,1,1
500,24.5,17.5,1,1
507,3.5,-8.5,1,1
521,69.5,34.5,1,6
525,34.5,18.5,1,1
528,23.5,16.5,1,1
531,34.5,18.5,1,1
548,-39.5,18.5,1,1
553,34.5,36.5,1,1
553,31.5,36.5,1,9
553,31.5,35.5,1,3
554,-47.5,30.5,1,1
560,61.5,31.5,1,2
560,69.5,34.5,1,6
560,54.5,33.5,1,2
562,43.5,7.5,1,1
573,21.5,29.5,1,1
574,26.5,20.5,1,1
580,33.5,36.5,1,10
588,24.5,17.5,1,1
601,36.5,5.5,1,5
601,34.5,22.5,1,2
602,-51.5,36.5,1,4
603,24.5,17.5,1,1
614,34.5,23.5,1,1
615,39.5,25.5,1,1
623,43.5,7.5,1,1
641,36.5,5.5,1,5
655,71.5,29.5,1,1
673,34.5,23.5,1,1
673,34.5,21.5,1,2
682,-40.5,35.5,1,1
689,36.5,5.5,1,5
691,34.5,21.5,1,2
691,26.5,20.5,1,1
691,33.5,16.5,1,1
703,23.5,16.5,1,1
708,64.5,32.5,1,2
708,62.5,31.5,1,1
708,59.5,33.5,1,3
711,-47.5,30.5,1,1
720,-31.5,8.5,1,1
723,-47.5,30.5,1,1
725,60.5,33.5,1,1
734,69.5,34.5,1,6
734,71.5,29.5,1,1
749,61.5,31.5,1,2
749,59.5,33.5,1,3
760,23.5,30.5,1,2
777,35.5,8.5,1,2
780,26.5,20.5,1,1
792,34.5,22.5,1,2
792,41.5,22.5,1,1
821,-53.5,33.5,1,2
823,-39.5,19.5,1,1
832,-46.5,22.5,1,10
844,25.5,41.5,1,17
844,33.5,36.5,1,10
860,23.5,16.5,1,1
860,24.5,17.5,1,1
875,-46.5,22.5,1,10
899,-47.5,29.5,1,1
912,-46.5,22.5,1,10
914,21.5,29.5,1,1
923,41.5,22.5,1,1
940,26.5,20.5,1,1
948,65.5,32.5,1,1
954,30.5,34.5,1,1
954,31.5,36.5,1,9
954,29.5,34.5,1,3
960,31.5,35.5,1,3
963,25.5,41.5,1,17
963,24.5,40.5,1,25
967,36.5,5.5,1,5
974,35.5,8.5,1,2
980,34.5,18.5,1,1
981,5.5,-9.5,1,3
988,43.5,7.5,1,1
1000,72.5,29.5,1,1
28,-43.5,21.5,2,7
31,34.5,21.5,2,2
31,36.5,5.5,2,5
31,33.5,16.5,2,1
40,-46.5,22.5,2,10
41,66.5,31.5,2,5
41,71.5,29.5,2,1
41,72.5,29.5,2,1
49,34.5,18.5,2,1
49,33.5,16.5,2,1
51,4.5,-9.5,2,2
55,34.5,18.5,2,1
55,34.5,21.5,2,2
59,72.5,30.5,2,1
62,43.5,7.5,2,1
69,-44.5,32.5,2,1
74,30.5,33.5,2,1
74,34.5,22.5,2,2
107,30.5,33.5,2,1
108,59.5,32.5,2,1
108,61.5,31.5,2,2
108,59.5,33.5,2,3
108,65.5,43.5,2,1
133,25.5,19.5,2,1
136,36.5,5.5,2,5
162,-39.5,19.5,2,1
168,-47.5,30.5,2,1
172,25.5,29.5,2,3
172,23.5,30.5,2,2
214,25.5,19.5,2,1
214,23.5,16.5,2,1
218,29.5,34.5,2,3
220,43.5,7.5,2,1
230,33.5,16.5,2,1
254,71.5,29.5,2,1
258,34.5,22.5,2,2
258,26.5,20.5,2,1
260,41.5,25.5,2,1
274,72.5,29.5,2,1
296,43.5,7.5,2,1
302,-39.5,35.5,2,2
313,23.5,30.5,2,2
313,26.5,41.5,2,24
319,26.5,20.5,2,1
321,33.5,36.5,2,10
322,66.5,31.5,2,5
338,33.5,16.5,2,1
339,69.5,34.5,2,6
345,25.5,41.5,2,17
345,30.5,39.5,2,1
348,30.5,33.5,2,1
348,34.5,21.5,2,2
350,25.5,29.5,2,3
350,24.5,17.5,2,1
355,64.5,32.5,2,2
355,61.5,31.5,2,2
356,133.5,-62.5,2,1
363,24.5,17.5,2,1
363,23.5,16.5,2,1
369,-43.5,21.5,2,7
369,-46.5,22.5,2,10
379,33.5,16.5,2,1
379,36.5,19.5,2,1
385,35.5,8.5,2,2
393,23.5,16.5,2,1
393,24.5,17.5,2,1
413,-51.5,36.5,2,4
419,43.5,7.5,2,1
