"id","x","y","rep","collections"
3,36.5,31.5,1,2
3,44.5,25.5,1,8
3,31.5,35.5,1,1
3,38.5,23.5,1,2
21,72.5,-38.5,1,1
23,125.5,-11.5,1,1
23,126.5,-11.5,1,5
31,32.5,31.5,1,8
42,-46.5,-27.5,1,1
51,-40.5,8.5,1,6
51,-38.5,0.5,1,2
62,-37.5,11.5,1,53
62,-35.5,1.5,1,13
62,-38.5,8.5,1,11
74,-46.5,-27.5,1,1
77,32.5,31.5,1,8
77,35.5,33.5,1,3
79,38.5,27.5,1,2
80,-38.5,0.5,1,2
82,-40.5,8.5,1,6
82,-36.5,10.5,1,5
82,-37.5,11.5,1,53
82,-39.5,9.5,1,2
82,-38.5,8.5,1,11
82,-36.5,11.5,1,25
84,128.5,-10.5,1,1
84,126.5,-11.5,1,5
97,-35.5,1.5,1,13
98,43.5,24.5,1,2
98,41.5,26.5,1,2
98,43.5,26.5,1,9
98,38.5,23.5,1,2
98,43.5,25.5,1,5
98,44.5,26.5,1,1
98,42.5,25.5,1,4
98,42.5,27.5,1,6
98,42.5,26.5,1,11
98,41.5,27.5,1,16
98,38.5,27.5,1,2
108,65.5,-37.5,1,3
116,-23.5,37.5,1,2
121,67.5,-37.5,1,2
129,77.5,-51.5,1,2
131,136.5,12.5,1,18
134,72.5,-38.5,1,1
142,-38.5,8.5,1,11
142,-39.5,8.5,1,2
142,-36.5,11.5,1,25
151,32.5,32.5,1,3
151,33.5,34.5,1,3
151,31.5,31.5,1,14
151,32.5,33.5,1,4
151,36.5,29.5,1,1
151,35.5,33.5,1,3
170,91.5,-40.5,1,1
170,90.5,-40.5,1,7
175,-40.5,22.5,1,5
189,38.5,23.5,1,2
193,128.5,-10.5,1,1
199,55.5,-42.5,1,7
203,90.5,-40.5,1,7
204,-40.5,8.5,1,6
205,36.5,31.5,1,2
205,5.5,33.5,1,1
205,36.5,29.5,1,1
214,-40.5,8.5,1,6
218,0.5,31.5,1,12
218,1.5,31.5,1,14
221,125.5,-11.5,1,1
224,137.5,13.5,1,2
232,4.5,33.5,1,1
234,72.5,-37.5,1,1
240,126.5,-11.5,1,5
240,125.5,-11.5,1,1
241,137.5,13.5,1,2
245,1.5,31.5,1,14
247,-45.5,-30.5,1,19
248,125.5,-11.5,1,1
248,128.5,-10.5,1,1
255,38.5,23.5,1,2
256,-39.5,8.5,1,2
256,-35.5,1.5,1,13
256,-37.5,10.5,1,39
269,128.5,-10.5,1,1
271,126.5,-11.5,1,5
276,106.5,-37.5,1,3
278,84.5,-37.5,1,1
