"id","x","y","rep","collections"
30,31.5,33.5,1,2
30,30.5,34.5,1,1
43,41.5,25.5,1,1
43,40.5,24.5,1,1
44,-47.5,-27.5,1,1
44,-46.5,-30.5,1,32
50,-36.5,11.5,1,10
57,52.5,-30.5,1,1
58,-37.5,11.5,1,1
59,-37.5,11.5,1,1
59,-37.5,10.5,1,9
59,-36.5,11.5,1,10
63,134.5,-10.5,1,6
67,31.5,31.5,1,2
67,31.5,33.5,1,2
67,37.5,29.5,1,3
67,34.5,32.5,1,2
73,-36.5,11.5,1,10
73,-37.5,10.5,1,9
73,-39.5,8.5,1,12
75,139.5,-22.5,1,2
77,-40.5,8.5,1,3
90,-36.5,0.5,1,4
99,30.5,34.5,1,1
99,30.5,30.5,1,9
99,29.5,30.5,1,1
99,30.5,31.5,1,3
125,-39.5,8.5,1,12
132,132.5,-11.5,1,2
132,132.5,-12.5,1,8
136,40.5,24.5,1,1
137,137.5,16.5,1,1
150,34.5,32.5,1,2
158,-36.5,11.5,1,10
168,38.5,11.5,1,1
168,37.5,12.5,1,47
189,133.5,-10.5,1,1
189,134.5,-10.5,1,6
196,51.5,-24.5,1,3
197,-36.5,12.5,1,1
197,-36.5,0.5,1,4
200,124.5,23.5,1,1
201,47.5,21.5,1,15
208,43.5,23.5,1,1
209,134.5,-10.5,1,6
219,134.5,1.5,1,3
225,41.5,25.5,1,1
225,40.5,24.5,1,1
230,138.5,-22.5,1,1
241,-1.5,31.5,1,5
241,36.5,29.5,1,2
241,46.5,22.5,1,3
241,38.5,29.5,1,2
276,-49.5,-25.5,1,1
279,43.5,25.5,1,4
279,43.5,23.5,1,1
279,30.5,29.5,1,1
284,-39.5,8.5,1,12
286,34.5,28.5,1,2
286,40.5,24.5,1,1
307,43.5,23.5,1,1
307,44.5,23.5,1,5
313,135.5,0.5,1,1
320,-47.5,-28.5,1,1
331,134.5,1.5,1,3
334,132.5,-11.5,1,2
334,133.5,-10.5,1,1
334,134.5,-10.5,1,6
334,131.5,-12.5,1,2
334,132.5,-13.5,1,1
334,132.5,-12.5,1,8
337,124.5,23.5,1,1
340,-36.5,0.5,1,4
345,50.5,-24.5,1,6
345,51.5,-24.5,1,3
350,-42.5,-7.5,1,1
351,-40.5,7.5,1,11
357,133.5,-10.5,1,1
359,105.5,-42.5,1,2
364,39.5,12.5,1,1
364,40.5,27.5,1,15
364,30.5,29.5,1,1
364,41.5,20.5,1,1
376,34.5,23.5,1,1
383,-33.5,-0.5,1,1
414,38.5,29.5,1,2
414,41.5,25.5,1,1
414,37.5,29.5,1,3
415,6.5,33.5,1,1
415,14.5,32.5,1,7
415,3.5,32.5,1,1
415,13.5,33.5,1,13
420,6.5,33.5,1,1
421,-27.5,-0.5,1,9
423,34.5,23.5,1,1
436,139.5,-22.5,1,2
442,37.5,29.5,1,3
448,8.5,59.5,1,9
448,6.5,63.5,1,2
460,6.5,32.5,1,1
460,6.5,33.5,1,1
462,134.5,-1.5,1,1
462,135.5,0.5,1,1
464,6.5,33.5,1,1
464,3.5,31.5,1,7
464,3.5,32.5,1,1
468,43.5,23.5,1,1
471,51.5,-24.5,1,3
472,40.5,27.5,1,15
489,-37.5,11.5,1,1
489,-36.5,11.5,1,10
489,-39.5,8.5,1,12
490,139.5,-22.5,1,2
490,136.5,-21.5,1,9
515,133.5,12.5,1,13
515,134.5,-10.5,1,6
523,139.5,-22.5,1,2
524,41.5,20.5,1,1
524,43.5,23.5,1,1
524,40.5,24.5,1,1
542,-47.5,-28.5,1,1
565,122.5,18.5,1,1
583,30.5,34.5,1,1
589,34.5,23.5,1,1
589,37.5,29.5,1,3
589,37.5,30.5,1,1
590,-33.5,-0.5,1,1
590,-36.5,0.5,1,4
591,-39.5,8.5,1,12
591,-40.5,8.5,1,3
614,138.5,-22.5,1,1
618,-47.5,-28.5,1,1
635,135.5,0.5,1,1
648,-47.5,-28.5,1,1
652,36.5,29.5,1,2
652,31.5,33.5,1,2
653,29.5,30.5,1,1
685,-36.5,-0.5,1,4
693,41.5,25.5,1,1
693,40.5,27.5,1,15
693,43.5,23.5,1,1
699,51.5,-24.5,1,3
708,-39.5,8.5,1,12
713,132.5,-12.5,1,8
713,131.5,-12.5,1,2
713,133.5,-11.5,1,13
713,132.5,-11.5,1,2
713,132.5,-13.5,1,1
728,-45.5,28.5,1,2
730,52.5,-30.5,1,1
743,134.5,-3.5,1,1
769,-42.5,-7.5,1,1
774,31.5,31.5,1,2
775,-37.5,11.5,1,1
789,124.5,23.5,1,1
789,123.5,11.5,1,1
792,34.5,28.5,1,2
793,-47.5,-28.5,1,1
798,-36.5,-0.5,1,4
800,32.5,33.5,1,1
800,31.5,31.5,1,2
800,31.5,33.5,1,2
800,30.5,31.5,1,3
810,137.5,13.5,1,1
826,-36.5,12.5,1,1
829,31.5,31.5,1,2
831,138.5,-22.5,1,1
832,-26.5,2.5,1,1
845,131.5,-12.5,1,2
850,135.5,0.5,1,1
852,20.5,28.5,1,3
852,30.5,34.5,1,1
852,13.5,33.5,1,13
857,40.5,24.5,1,1
857,46.5,22.5,1,3
857,47.5,21.5,1,15
860,34.5,28.5,1,2
865,-42.5,-7.5,1,1
880,43.5,23.5,1,1
880,37.5,30.5,1,1
880,41.5,25.5,1,1
903,25.5,-21.5,1,1
931,47.5,21.5,1,15
946,-48.5,-26.5,1,17
953,40.5,27.5,1,15
953,38.5,12.5,1,34
953,37.5,12.5,1,47
953,34.5,28.5,1,2
953,34.5,23.5,1,1
953,40.5,13.5,1,24
965,138.5,-22.5,1,1
981,-1.5,31.5,1,5
986,34.5,23.5,1,1
1000,43.5,23.5,1,1
4,13.5,32.5,2,1
4,33.5,30.5,2,1
10,-48.5,-26.5,2,17
10,-47.5,-27.5,2,1
11,-37.5,11.5,2,1
11,-40.5,7.5,2,11
16,-39.5,8.5,2,12
16,-36.5,12.5,2,1
18,135.5,0.5,2,1
21,40.5,24.5,2,1
23,6.5,33.5,2,1
26,-40.5,8.5,2,3
26,-39.5,8.5,2,12
40,14.5,32.5,2,7
40,31.5,33.5,2,2
41,-23.5,37.5,2,1
51,43.5,23.5,2,1
60,123.5,11.5,2,1
62,34.5,-24.5,2,19
67,14.5,32.5,2,7
69,-40.5,8.5,2,3
69,-37.5,11.5,2,1
71,-49.5,-25.5,2,1
88,34.5,32.5,2,2
88,34.5,28.5,2,2
88,30.5,30.5,2,9
88,30.5,29.5,2,1
88,29.5,30.5,2,1
92,40.5,24.5,2,1
95,6.5,33.5,2,1
113,39.5,12.5,2,1
113,43.5,23.5,2,1
126,122.5,18.5,2,1
128,-40.5,8.5,2,3
133,33.5,30.5,2,1
133,39.5,27.5,2,1
133,30.5,30.5,2,9
140,138.5,-22.5,2,1
154,33.5,30.5,2,1
154,33.5,33.5,2,1
154,31.5,31.5,2,2
171,-49.5,-25.5,2,1
181,34.5,28.5,2,2
185,30.5,29.5,2,1
209,117.5,-38.5,2,11
226,131.5,-12.5,2,2
226,139.5,-22.5,2,2
228,-37.5,10.5,2,9
228,-36.5,12.5,2,1
232,132.5,-13.5,2,1
233,48.5,-28.5,2,12
248,132.5,-13.5,2,1
249,52.5,-30.5,2,1
249,48.5,-28.5,2,12
254,134.5,-3.5,2,1
258,33.5,30.5,2,1
258,34.5,34.5,2,2
258,34.5,23.5,2,1
262,132.5,-11.5,2,2
262,132.5,-13.5,2,1
264,-47.5,-28.5,2,1
264,-47.5,-27.5,2,1
284,31.5,31.5,2,2
284,33.5,30.5,2,1
290,33.5,30.5,2,1
290,35.5,30.5,2,2
291,134.5,-1.5,2,1
313,30.5,31.5,2,3
325,46.5,22.5,2,3
327,36.5,29.5,2,2
330,-40.5,8.5,2,3
330,-37.5,10.5,2,9
349,-40.5,7.5,2,11
360,41.5,25.5,2,1
360,40.5,27.5,2,15
374,131.5,-12.5,2,2
374,132.5,-11.5,2,2
374,132.5,-12.5,2,8
374,134.5,-10.5,2,6
374,133.5,-11.5,2,13
374,133.5,-10.5,2,1
397,37.5,29.5,2,3
398,31.5,31.5,2,2
398,30.5,34.5,2,1
426,-37.5,10.5,2,9
426,-37.5,11.5,2,1
426,-36.5,11.5,2,10
432,25.5,-21.5,2,1
438,-33.5,-0.5,2,1
445,39.5,27.5,2,1
457,34.5,23.5,2,1
462,-32.5,-3.5,2,1
471,-49.5,-25.5,2,1
