"id","x","y","rep","collections"
2,8.5,22.5,1,4
11,26.5,29.5,1,13
29,8.5,23.5,1,3
29,7.5,23.5,1,1
29,8.5,22.5,1,4
45,7.5,23.5,1,1
46,40.5,20.5,1,1
46,40.5,5.5,1,19
46,51.5,34.5,1,1
66,54.5,-10.5,1,3
70,40.5,18.5,1,2
85,-42.5,36.5,1,1
90,-44.5,32.5,1,10
90,-40.5,35.5,1,7
112,37.5,37.5,1,1
112,37.5,38.5,1,1
133,55.5,-10.5,1,2
146,-42.5,36.5,1,1
149,32.5,15.5,1,1
151,54.5,-10.5,1,3
157,40.5,18.5,1,2
163,11.5,22.5,1,1
166,32.5,12.5,1,2
166,40.5,5.5,1,19
168,29.5,32.5,1,4
168,20.5,28.5,1,1
171,28.5,33.5,1,1
171,36.5,35.5,1,4
177,-42.5,36.5,1,1
185,39.5,20.5,1,4
185,36.5,24.5,1,4
191,-37.5,29.5,1,20
191,-37.5,30.5,1,9
214,32.5,15.5,1,1
222,54.5,-11.5,1,1
229,24.5,20.5,1,1
240,54.5,-11.5,1,1
242,26.5,31.5,1,1
248,-42.5,36.5,1,1
263,21.5,36.5,1,2
285,20.5,28.5,1,1
285,7.5,23.5,1,1
288,-36.5,40.5,1,1
296,-23.5,-25.5,1,1
303,32.5,15.5,1,1
305,28.5,32.5,1,7
313,31.5,35.5,1,2
313,35.5,38.5,1,1
324,40.5,14.5,1,1
328,8.5,22.5,1,4
328,7.5,23.5,1,1
338,27.5,30.5,1,9
338,27.5,31.5,1,4
352,12.5,22.5,1,2
352,8.5,23.5,1,3
352,24.5,20.5,1,1
359,36.5,24.5,1,4
367,85.5,37.5,1,1
373,29.5,33.5,1,3
373,26.5,30.5,1,5
376,27.5,33.5,1,1
377,55.5,-10.5,1,2
382,26.5,29.5,1,13
382,27.5,31.5,1,4
394,-37.5,29.5,1,20
394,-34.5,34.5,1,2
394,-37.5,32.5,1,2
398,54.5,-10.5,1,3
398,55.5,-10.5,1,2
413,39.5,14.5,1,5
415,26.5,31.5,1,1
425,70.5,35.5,1,1
432,75.5,26.5,1,1
440,40.5,20.5,1,1
440,40.5,5.5,1,19
440,40.5,14.5,1,1
450,24.5,20.5,1,1
452,20.5,28.5,1,1
460,-42.5,36.5,1,1
460,-42.5,37.5,1,2
460,-42.5,38.5,1,4
462,20.5,35.5,1,11
462,21.5,36.5,1,2
