"id","x","y","rep","collections"
9,30.5,31.5,1,11
9,30.5,34.5,1,4
9,27.5,34.5,1,1
9,33.5,28.5,1,2
24,-37.5,12.5,1,1
25,40.5,0.5,1,1
26,30.5,39.5,1,2
35,-33.5,-36.5,1,10
44,30.5,34.5,1,4
45,31.5,18.5,1,1
49,-37.5,9.5,1,4
52,30.5,34.5,1,4
52,31.5,18.5,1,1
55,58.5,34.5,1,1
55,64.5,33.5,1,4
61,15.5,26.5,1,158
63,30.5,20.5,1,13
63,21.5,28.5,1,4
63,18.5,24.5,1,5
69,24.5,39.5,1,2
69,27.5,31.5,1,3
71,43.5,30.5,1,1
71,43.5,32.5,1,1
74,30.5,20.5,1,13
75,-45.5,19.5,1,5
81,36.5,1.5,1,2
81,40.5,0.5,1,1
81,42.5,2.5,1,6
84,-37.5,7.5,1,9
84,-37.5,9.5,1,4
93,-37.5,12.5,1,1
95,36.5,1.5,1,2
98,-2.5,21.5,1,2
99,52.5,33.5,1,6
108,30.5,4.5,1,1
110,-37.5,12.5,1,1
127,37.5,3.5,1,3
136,64.5,33.5,1,4
136,62.5,30.5,1,1
138,36.5,29.5,1,5
144,30.5,20.5,1,13
146,36.5,29.5,1,5
149,23.5,27.5,1,5
149,30.5,4.5,1,1
154,71.5,31.5,1,1
156,33.5,28.5,1,2
166,-37.5,9.5,1,4
172,-2.5,21.5,1,2
174,42.5,2.5,1,6
175,52.5,33.5,1,6
178,21.5,28.5,1,4
193,37.5,3.5,1,3
198,-20.5,11.5,1,2
202,65.5,33.5,1,2
211,-34.5,13.5,1,2
218,21.5,28.5,1,4
218,23.5,27.5,1,5
238,42.5,2.5,1,6
240,-45.5,19.5,1,5
248,24.5,39.5,1,2
250,43.5,30.5,1,1
258,36.5,29.5,1,5
258,33.5,28.5,1,2
260,36.5,1.5,1,2
263,19.5,26.5,1,6
263,21.5,28.5,1,4
270,30.5,31.5,1,11
282,-2.5,21.5,1,2
283,-37.5,9.5,1,4
294,46.5,30.5,1,2
294,30.5,34.5,1,4
294,33.5,28.5,1,2
294,52.5,33.5,1,6
302,33.5,28.5,1,2
302,29.5,30.5,1,9
312,21.5,28.5,1,4
312,42.5,2.5,1,6
313,36.5,1.5,1,2
313,37.5,3.5,1,3
316,43.5,32.5,1,1
318,43.5,30.5,1,1
318,41.5,30.5,1,1
324,36.5,1.5,1,2
342,31.5,18.5,1,1
344,33.5,28.5,1,2
344,30.5,31.5,1,11
352,-37.5,12.5,1,1
352,-34.5,13.5,1,2
352,-37.5,9.5,1,4
356,-33.5,-36.5,1,10
371,73.5,32.5,1,4
373,41.5,30.5,1,1
385,31.5,18.5,1,1
396,-34.5,13.5,1,2
396,-37.5,7.5,1,9
398,30.5,4.5,1,1
398,36.5,1.5,1,2
399,30.5,4.5,1,1
399,31.5,18.5,1,1
399,30.5,34.5,1,4
399,30.5,31.5,1,11
399,19.5,26.5,1,6
406,-34.5,13.5,1,2
407,23.5,27.5,1,5
433,36.5,1.5,1,2
433,40.5,0.5,1,1
433,37.5,3.5,1,3
444,-33.5,-38.5,1,3
444,-33.5,-36.5,1,10
462,-37.5,7.5,1,9
462,-37.5,9.5,1,4
464,41.5,30.5,1,1
464,46.5,30.5,1,2
471,18.5,24.5,1,5
473,30.5,31.5,1,11
483,30.5,20.5,1,13
483,31.5,18.5,1,1
488,36.5,1.5,1,2
490,41.5,30.5,1,1
490,27.5,34.5,1,1
495,30.5,20.5,1,13
497,71.5,31.5,1,1
498,62.5,45.5,1,5
508,29.5,30.5,1,9
510,30.5,20.5,1,13
511,31.5,-49.5,1,2
514,-37.5,7.5,1,9
514,-34.5,13.5,1,2
515,61.5,33.5,1,1
529,-37.5,9.5,1,4
533,31.5,18.5,1,1
535,43.5,30.5,1,1
536,-37.5,9.5,1,4
541,-34.5,13.5,1,2
544,-37.5,12.5,1,1
547,29.5,30.5,1,9
548,31.5,18.5,1,1
548,23.5,27.5,1,5
548,30.5,20.5,1,13
556,39.5,37.5,1,4
560,30.5,34.5,1,4
560,27.5,31.5,1,3
567,23.5,27.5,1,5
567,27.5,31.5,1,3
574,43.5,32.5,1,1
575,58.5,34.5,1,1
578,71.5,31.5,1,1
578,73.5,32.5,1,4
584,-37.5,9.5,1,4
585,-20.5,11.5,1,2
591,-2.5,21.5,1,2
601,37.5,3.5,1,3
601,40.5,0.5,1,1
617,-34.5,13.5,1,2
620,-2.5,21.5,1,2
621,30.5,20.5,1,13
633,27.5,34.5,1,1
640,52.5,33.5,1,6
641,37.5,3.5,1,3
642,65.5,33.5,1,2
651,30.5,20.5,1,13
660,3.5,23.5,1,26
661,-45.5,29.5,1,1
670,43.5,32.5,1,1
670,46.5,30.5,1,2
672,-37.5,7.5,1,9
672,-37.5,9.5,1,4
673,30.5,34.5,1,4
691,18.5,24.5,1,5
694,73.5,28.5,1,1
697,-20.5,11.5,1,2
701,65.5,33.5,1,2
701,64.5,33.5,1,4
706,36.5,29.5,1,5
710,37.5,3.5,1,3
712,-45.5,19.5,1,5
713,-20.5,11.5,1,2
718,43.5,32.5,1,1
719,30.5,39.5,1,2
723,42.5,2.5,1,6
723,40.5,0.5,1,1
724,-37.5,7.5,1,9
731,18.5,24.5,1,5
731,15.5,26.5,1,158
731,3.5,23.5,1,26
732,31.5,18.5,1,1
732,23.5,27.5,1,5
741,-37.5,7.5,1,9
742,36.5,1.5,1,2
745,64.5,33.5,1,4
745,61.5,33.5,1,1
745,65.5,33.5,1,2
748,3.5,23.5,1,26
803,-45.5,29.5,1,1
808,30.5,20.5,1,13
815,27.5,31.5,1,3
817,37.5,3.5,1,3
821,71.5,31.5,1,1
821,73.5,32.5,1,4
821,62.5,30.5,1,1
821,65.5,33.5,1,2
826,65.5,33.5,1,2
826,64.5,33.5,1,4
844,40.5,0.5,1,1
850,21.5,28.5,1,4
853,29.5,30.5,1,9
861,39.5,37.5,1,4
861,42.5,37.5,1,2
865,-37.5,9.5,1,4
865,-37.5,12.5,1,1
874,71.5,31.5,1,1
879,-45.5,19.5,1,5
882,58.5,34.5,1,1
883,-37.5,7.5,1,9
885,11.5,31.5,1,11
895,30.5,39.5,1,2
908,-45.5,29.5,1,1
913,31.5,18.5,1,1
921,42.5,2.5,1,6
921,40.5,0.5,1,1
928,71.5,31.5,1,1
929,73.5,28.5,1,1
934,24.5,39.5,1,2
943,46.5,30.5,1,2
954,40.5,0.5,1,1
970,-37.5,12.5,1,1
978,73.5,28.5,1,1
978,73.5,32.5,1,4
979,3.5,23.5,1,26
982,-45.5,19.5,1,5
984,73.5,32.5,1,4
991,19.5,26.5,1,6
991,21.5,28.5,1,4
994,-37.5,12.5,1,1
994,-37.5,9.5,1,4
4,42.5,2.5,2,6
7,43.5,32.5,2,1
9,73.5,32.5,2,4
10,3.5,23.5,2,26
10,12.5,28.5,2,12
12,29.5,30.5,2,9
12,23.5,27.5,2,5
12,30.5,20.5,2,13
14,-20.5,11.5,2,2
20,3.5,23.5,2,26
20,-2.5,21.5,2,2
29,36.5,29.5,2,5
29,36.5,1.5,2,2
30,-37.5,12.5,2,1
31,11.5,31.5,2,11
34,31.5,18.5,2,1
39,73.5,32.5,2,4
44,31.5,-49.5,2,2
48,36.5,1.5,2,2
50,27.5,31.5,2,3
55,-20.5,11.5,2,2
55,-37.5,12.5,2,1
67,-37.5,9.5,2,4
67,-37.5,7.5,2,9
74,-37.5,9.5,2,4
74,-37.5,12.5,2,1
77,-20.5,11.5,2,2
80,52.5,33.5,2,6
97,43.5,32.5,2,1
102,65.5,33.5,2,2
106,27.5,34.5,2,1
106,29.5,30.5,2,9
111,-37.5,9.5,2,4
115,36.5,1.5,2,2
115,37.5,3.5,2,3
117,36.5,1.5,2,2
117,37.5,3.5,2,3
122,-34.5,13.5,2,2
126,71.5,31.5,2,1
136,19.5,26.5,2,6
143,31.5,18.5,2,1
151,30.5,20.5,2,13
151,-2.5,21.5,2,2
157,31.5,18.5,2,1
170,42.5,2.5,2,6
184,52.5,33.5,2,6
190,30.5,34.5,2,4
198,-33.5,-38.5,2,3
200,29.5,30.5,2,9
206,39.5,37.5,2,4
215,-20.5,11.5,2,2
215,-37.5,12.5,2,1
219,71.5,31.5,2,1
221,42.5,2.5,2,6
230,31.5,18.5,2,1
232,23.5,27.5,2,5
233,24.5,39.5,2,2
233,33.5,28.5,2,2
242,42.5,2.5,2,6
243,11.5,31.5,2,11
246,-37.5,12.5,2,1
246,-34.5,13.5,2,2
252,42.5,2.5,2,6
252,40.5,0.5,2,1
262,64.5,33.5,2,4
262,71.5,31.5,2,1
