"id","x","y","rep","collections"
26,-69.5,30.5,1,26
34,-73.5,31.5,1,35
68,60.5,15.5,1,1
68,63.5,14.5,1,1
68,64.5,17.5,1,37
84,66.5,26.5,1,2
86,44.5,5.5,1,1
117,-69.5,30.5,1,26
122,61.5,19.5,1,1
138,44.5,5.5,1,1
149,-73.5,28.5,1,13
149,-77.5,28.5,1,14
157,-77.5,28.5,1,14
193,-64.5,4.5,1,1
199,-39.5,-28.5,1,1
255,64.5,17.5,1,37
255,66.5,26.5,1,2
301,44.5,5.5,1,1
302,-65.5,38.5,1,3
317,61.5,19.5,1,1
318,97.5,-42.5,1,3
322,14.5,24.5,1,2
326,-1.5,37.5,1,3
346,-1.5,47.5,1,30
361,61.5,19.5,1,1
383,-81.5,12.5,1,1
388,28.5,24.5,1,5
396,44.5,5.5,1,1
430,64.5,17.5,1,37
470,5.5,42.5,1,2
471,24.5,24.5,1,24
483,44.5,5.5,1,1
498,13.5,39.5,1,5
522,58.5,10.5,1,1
532,-18.5,21.5,1,2
545,63.5,14.5,1,1
554,60.5,15.5,1,1
612,61.5,19.5,1,1
615,7.5,29.5,1,2
659,58.5,10.5,1,1
678,46.5,45.5,1,5
710,28.5,24.5,1,5
714,63.5,14.5,1,1
723,61.5,19.5,1,1
755,64.5,17.5,1,37
764,28.5,44.5,1,1
789,58.5,10.5,1,1
794,-73.5,28.5,1,13
802,44.5,5.5,1,1
805,61.5,19.5,1,1
818,-73.5,31.5,1,35
843,58.5,10.5,1,1
845,24.5,24.5,1,24
874,66.5,26.5,1,2
882,-81.5,12.5,1,1
889,-73.5,26.5,1,2
906,60.5,15.5,1,1
923,60.5,15.5,1,1
923,58.5,10.5,1,1
957,46.5,45.5,1,5
961,47.5,43.5,1,2
961,46.5,45.5,1,5
32,-8.5,47.5,2,2
38,14.5,24.5,2,2
66,-64.5,4.5,2,1
66,-56.5,6.5,2,1
79,60.5,15.5,2,1
91,10.5,40.5,2,9
112,44.5,5.5,2,1
115,66.5,26.5,2,2
156,63.5,14.5,2,1
159,-66.5,-19.5,2,3
168,27.5,49.5,2,2
168,28.5,44.5,2,1
197,-18.5,21.5,2,2
199,44.5,5.5,2,1
257,61.5,19.5,2,1
257,60.5,15.5,2,1
262,60.5,15.5,2,1
264,5.5,42.5,2,2
343,47.5,43.5,2,2
351,-77.5,28.5,2,14
397,64.5,17.5,2,37
402,61.5,19.5,2,1
407,24.5,24.5,2,24
419,63.5,14.5,2,1
459,28.5,24.5,2,5
556,-88.5,27.5,2,6
560,-81.5,12.5,2,1
600,15.5,44.5,2,33
627,61.5,19.5,2,1
658,58.5,41.5,2,1
658,47.5,43.5,2,2
663,-64.5,4.5,2,1
696,60.5,15.5,2,1
723,28.5,24.5,2,5
727,-18.5,21.5,2,2
737,60.5,15.5,2,1
743,-18.5,21.5,2,2
810,-56.5,6.5,2,1
833,58.5,41.5,2,1
854,58.5,10.5,2,1
889,-73.5,31.5,2,35
893,-39.5,-28.5,2,1
936,13.5,39.5,2,5
949,44.5,5.5,2,1
981,-8.5,47.5,2,2
18,-18.5,21.5,3,2
23,64.5,17.5,3,37
23,63.5,14.5,3,1
23,61.5,19.5,3,1
26,-56.5,6.5,3,1
42,-84.5,29.5,3,2
47,-84.5,29.5,3,2
49,27.5,49.5,3,2
63,44.5,5.5,3,1
73,58.5,10.5,3,1
75,-66.5,-19.5,3,3
81,60.5,15.5,3,1
96,-64.5,4.5,3,1
121,-64.5,4.5,3,1
133,-81.5,12.5,3,1
154,28.5,24.5,3,5
156,24.5,24.5,3,24
156,14.5,24.5,3,2
171,24.5,24.5,3,24
196,13.5,39.5,3,5
212,64.5,17.5,3,37
245,28.5,24.5,3,5
260,-81.5,12.5,3,1
264,-18.5,21.5,3,2
315,-81.5,12.5,3,1
343,64.5,17.5,3,37
346,14.5,24.5,3,2
354,28.5,44.5,3,1
366,44.5,5.5,3,1
382,-77.5,28.5,3,14
387,-81.5,12.5,3,1
403,-69.5,35.5,3,1
426,66.5,26.5,3,2
441,-39.5,-28.5,3,1
458,61.5,19.5,3,1
465,-169.5,-52.5,3,1
468,14.5,24.5,3,2
474,58.5,41.5,3,1
482,-81.5,12.5,3,1
514,63.5,14.5,3,1
526,-64.5,4.5,3,1
535,28.5,24.5,3,5
535,24.5,24.5,3,24
549,-56.5,6.5,3,1
573,13.5,39.5,3,5
573,10.5,40.5,3,9
580,58.5,41.5,3,1
583,-73.5,26.5,3,2
618,28.5,44.5,3,1
630,60.5,15.5,3,1
641,5.5,42.5,3,2
641,28.5,44.5,3,1
648,-18.5,21.5,3,2
660,63.5,14.5,3,1
713,66.5,26.5,3,2
719,7.5,29.5,3,2
729,-73.5,26.5,3,2
750,64.5,17.5,3,37
762,58.5,10.5,3,1
766,60.5,15.5,3,1
766,66.5,26.5,3,2
768,-69.5,30.5,3,26
774,28.5,24.5,3,5
786,63.5,14.5,3,1
805,61.5,19.5,3,1
805,64.5,17.5,3,37
808,44.5,5.5,3,1
809,28.5,44.5,3,1
818,-88.5,27.5,3,6
842,61.5,19.5,3,1
888,105.5,-53.5,3,1
888,105.5,-55.5,3,2
896,-73.5,26.5,3,2
901,-65.5,38.5,3,3
917,-73.5,26.5,3,2
917,-73.5,28.5,3,13
918,7.5,29.5,3,2
921,35.5,45.5,3,2
922,60.5,15.5,3,1
922,63.5,14.5,3,1
925,-56.5,6.5,3,1
936,140.5,48.5,3,4
939,44.5,5.5,3,1
974,24.5,24.5,3,24
975,-56.5,6.5,3,1
11,13.5,39.5,4,5
54,-56.5,6.5,4,1
63,66.5,26.5,4,2
86,44.5,5.5,4,1
104,47.5,43.5,4,2
114,-73.5,31.5,4,35
149,10.5,40.5,4,9
164,-77.5,28.5,4,14
164,-84.5,29.5,4,2
207,58.5,10.5,4,1
216,66.5,26.5,4,2
216,60.5,15.5,4,1
221,-1.5,37.5,4,3
279,14.5,24.5,4,2
286,44.5,5.5,4,1
306,44.5,5.5,4,1
338,-64.5,4.5,4,1
344,60.5,15.5,4,1
364,24.5,24.5,4,24
395,60.5,15.5,4,1
409,60.5,15.5,4,1
417,44.5,5.5,4,1
418,-69.5,30.5,4,26
418,-65.5,38.5,4,3
418,-69.5,35.5,4,1
421,-66.5,-19.5,4,3
424,-56.5,6.5,4,1
427,-64.5,4.5,4,1
440,64.5,17.5,4,37
441,-88.5,27.5,4,6
442,15.5,44.5,4,33
452,-84.5,29.5,4,2
459,-73.5,26.5,4,2
471,14.5,24.5,4,2
480,61.5,19.5,4,1
508,97.5,-42.5,4,3
510,14.5,24.5,4,2
517,110.5,-55.5,4,1
544,61.5,19.5,4,1
569,60.5,15.5,4,1
611,64.5,17.5,4,37
621,-77.5,28.5,4,14
651,60.5,15.5,4,1
685,-18.5,21.5,4,2
687,-73.5,26.5,4,2
694,-64.5,4.5,4,1
704,14.5,24.5,4,2
706,7.5,29.5,4,2
719,44.5,5.5,4,1
745,-56.5,6.5,4,1
745,-64.5,4.5,4,1
765,61.5,19.5,4,1
768,61.5,19.5,4,1
782,60.5,15.5,4,1
816,60.5,15.5,4,1
816,61.5,19.5,4,1
846,58.5,41.5,4,1
850,64.5,17.5,4,37
850,63.5,14.5,4,1
854,15.5,44.5,4,33
863,5.5,42.5,4,2
871,-66.5,-19.5,4,3
885,-113.5,41.5,4,1
888,66.5,26.5,4,2
893,60.5,15.5,4,1
905,63.5,14.5,4,1
920,24.5,24.5,4,24
949,7.5,29.5,4,2
972,63.5,14.5,4,1
972,64.5,17.5,4,37
975,61.5,19.5,4,1
56,-8.5,47.5,5,2
117,140.5,48.5,5,4
135,-73.5,26.5,5,2
138,61.5,19.5,5,1
139,-64.5,4.5,5,1
155,58.5,10.5,5,1
155,60.5,15.5,5,1
178,-1.5,37.5,5,3
191,66.5,26.5,5,2
193,-1.5,37.5,5,3
201,-64.5,4.5,5,1
206,24.5,24.5,5,24
208,58.5,10.5,5,1
211,28.5,44.5,5,1
265,28.5,44.5,5,1
271,44.5,5.5,5,1
276,60.5,15.5,5,1
299,-77.5,28.5,5,14
324,105.5,-53.5,5,1
343,58.5,10.5,5,1
358,-69.5,30.5,5,26
368,-64.5,4.5,5,1
377,-64.5,4.5,5,1
397,-77.5,28.5,5,14
484,-65.5,38.5,5,3
499,-56.5,6.5,5,1
507,105.5,-55.5,5,2
507,110.5,-55.5,5,1
508,44.5,5.5,5,1
513,66.5,26.5,5,2
523,58.5,10.5,5,1
554,63.5,14.5,5,1
562,14.5,24.5,5,2
568,-73.5,28.5,5,13
576,58.5,10.5,5,1
576,60.5,15.5,5,1
577,60.5,15.5,5,1
603,64.5,17.5,5,37
629,58.5,10.5,5,1
650,24.5,24.5,5,24
650,28.5,24.5,5,5
657,28.5,24.5,5,5
