"id","x","y","rep","collections"
2,44.5,40.5,1,1
3,47.5,30.5,1,1
3,51.5,30.5,1,1
9,-40.5,7.5,1,1
12,34.5,33.5,1,1
12,19.5,33.5,1,1
13,16.5,34.5,1,1
32,13.5,17.5,1,10
35,13.5,17.5,1,10
35,14.5,17.5,1,7
39,17.5,35.5,1,18
39,15.5,33.5,1,3
57,60.5,33.5,1,1
61,46.5,30.5,1,15
62,53.5,41.5,1,3
66,-42.5,14.5,1,1
104,-42.5,14.5,1,1
112,53.5,41.5,1,3
112,54.5,41.5,1,6
113,17.5,34.5,1,1
130,17.5,33.5,1,1
143,5.5,17.5,1,6
146,45.5,-11.5,1,1
178,-44.5,16.5,1,7
180,-40.5,7.5,1,1
192,32.5,33.5,1,6
193,46.5,30.5,1,15
193,45.5,31.5,1,2
193,45.5,30.5,1,36
193,47.5,30.5,1,1
196,-52.5,42.5,1,15
199,32.5,33.5,1,6
209,21.5,26.5,1,1
209,22.5,27.5,1,14
217,45.5,-38.5,1,1
219,51.5,30.5,1,1
234,37.5,0.5,1,1
236,5.5,17.5,1,6
247,142.5,53.5,1,1
252,-56.5,32.5,1,1
261,37.5,0.5,1,1
269,5.5,17.5,1,6
298,18.5,35.5,1,1
298,21.5,27.5,1,7
298,18.5,33.5,1,2
298,19.5,33.5,1,1
298,22.5,27.5,1,14
318,37.5,0.5,1,1
323,5.5,17.5,1,6
339,-42.5,14.5,1,1
344,-40.5,7.5,1,1
346,16.5,32.5,1,42
361,-44.5,16.5,1,7
367,45.5,41.5,1,3
367,52.5,42.5,1,1
369,-40.5,7.5,1,1
379,14.5,17.5,1,7
383,140.5,49.5,1,1
395,45.5,-11.5,1,1
422,16.5,34.5,1,1
429,47.5,40.5,1,5
444,18.5,48.5,1,2
444,19.5,33.5,1,1
451,46.5,31.5,1,17
469,142.5,53.5,1,1
469,142.5,52.5,1,1
480,17.5,33.5,1,1
480,16.5,34.5,1,1
480,18.5,33.5,1,2
481,45.5,-11.5,1,1
482,-40.5,7.5,1,1
487,16.5,33.5,1,69
487,16.5,34.5,1,1
491,-42.5,14.5,1,1
492,60.5,33.5,1,1
505,-55.5,37.5,1,1
508,23.5,28.5,1,3
508,14.5,17.5,1,7
510,23.5,28.5,1,3
510,22.5,27.5,1,14
510,21.5,26.5,1,1
513,34.5,33.5,1,1
516,17.5,36.5,1,1
547,15.5,21.5,1,73
558,32.5,32.5,1,1
558,34.5,33.5,1,1
558,33.5,33.5,1,10
565,17.5,36.5,1,1
565,17.5,34.5,1,1
565,17.5,35.5,1,18
569,45.5,-11.5,1,1
571,16.5,34.5,1,1
571,16.5,32.5,1,42
571,17.5,36.5,1,1
595,66.5,56.5,1,2
614,23.5,28.5,1,3
616,51.5,30.5,1,1
634,22.5,27.5,1,14
634,32.5,33.5,1,6
634,18.5,33.5,1,2
648,13.5,17.5,1,10
648,15.5,21.5,1,73
652,49.5,33.5,1,1
655,15.5,21.5,1,73
655,14.5,17.5,1,7
678,32.5,33.5,1,6
687,19.5,33.5,1,1
687,18.5,35.5,1,1
738,15.5,21.5,1,73
738,14.5,17.5,1,7
757,51.5,30.5,1,1
767,-44.5,16.5,1,7
782,-40.5,7.5,1,1
785,45.5,41.5,1,3
804,23.5,28.5,1,3
805,15.5,21.5,1,73
805,16.5,34.5,1,1
807,14.5,17.5,1,7
822,18.5,35.5,1,1
822,17.5,35.5,1,18
827,51.5,30.5,1,1
827,47.5,30.5,1,1
827,45.5,31.5,1,2
831,45.5,-11.5,1,1
841,37.5,0.5,1,1
853,31.5,33.5,1,17
853,34.5,33.5,1,1
854,-40.5,7.5,1,1
859,19.5,33.5,1,1
859,16.5,32.5,1,42
878,-42.5,14.5,1,1
880,21.5,26.5,1,1
898,32.5,33.5,1,6
898,32.5,32.5,1,1
899,15.5,21.5,1,73
900,5.5,17.5,1,6
921,59.5,-41.5,1,5
925,5.5,17.5,1,6
928,17.5,34.5,1,1
928,16.5,33.5,1,69
928,17.5,33.5,1,1
928,19.5,33.5,1,1
928,17.5,35.5,1,18
928,15.5,32.5,1,2
928,16.5,34.5,1,1
928,18.5,35.5,1,1
928,18.5,33.5,1,2
935,54.5,41.5,1,6
945,17.5,33.5,1,1
948,45.5,-11.5,1,1
984,-56.5,32.5,1,1
990,49.5,33.5,1,1
994,14.5,17.5,1,7
1000,-44.5,16.5,1,7
4,46.5,30.5,2,15
4,32.5,33.5,2,6
4,34.5,33.5,2,1
4,32.5,32.5,2,1
25,14.5,17.5,2,7
32,-42.5,14.5,2,1
33,45.5,-11.5,2,1
35,15.5,21.5,2,73
40,47.5,30.5,2,1
40,47.5,40.5,2,5
40,46.5,30.5,2,15
40,44.5,40.5,2,1
40,46.5,31.5,2,17
55,17.5,34.5,2,1
55,5.5,17.5,2,6
55,22.5,27.5,2,14
55,15.5,33.5,2,3
55,32.5,33.5,2,6
75,14.5,17.5,2,7
79,31.5,33.5,2,17
79,23.5,28.5,2,3
87,15.5,21.5,2,73
87,17.5,33.5,2,1
87,19.5,33.5,2,1
94,19.5,33.5,2,1
109,46.5,30.5,2,15
109,51.5,30.5,2,1
109,45.5,30.5,2,36
109,47.5,30.5,2,1
109,45.5,31.5,2,2
109,46.5,31.5,2,17
109,49.5,33.5,2,1
131,43.5,41.5,2,1
142,50.5,43.5,2,5
147,16.5,32.5,2,42
152,19.5,33.5,2,1
152,23.5,28.5,2,3
152,34.5,33.5,2,1
152,18.5,33.5,2,2
152,33.5,33.5,2,10
175,22.5,27.5,2,14
176,45.5,-11.5,2,1
183,15.5,33.5,2,3
183,16.5,32.5,2,42
184,-44.5,16.5,2,7
187,17.5,36.5,2,1
187,18.5,48.5,2,2
187,18.5,47.5,2,14
193,32.5,32.5,2,1
208,-40.5,7.5,2,1
211,51.5,30.5,2,1
231,-40.5,7.5,2,1
234,-42.5,14.5,2,1
242,-40.5,7.5,2,1
247,22.5,27.5,2,14
250,14.5,17.5,2,7
257,-40.5,7.5,2,1
259,-40.5,7.5,2,1
264,63.5,54.5,2,3
289,37.5,0.5,2,1
292,16.5,32.5,2,42
292,5.5,17.5,2,6
292,14.5,17.5,2,7
312,23.5,28.5,2,3
312,17.5,34.5,2,1
312,16.5,32.5,2,42
312,17.5,36.5,2,1
312,17.5,33.5,2,1
314,15.5,21.5,2,73
314,14.5,17.5,2,7
324,53.5,41.5,2,3
335,34.5,33.5,2,1
335,17.5,35.5,2,18
342,53.5,41.5,2,3
356,15.5,21.5,2,73
357,13.5,17.5,2,10
357,16.5,32.5,2,42
367,21.5,26.5,2,1
367,21.5,27.5,2,7
367,23.5,28.5,2,3
367,16.5,32.5,2,42
367,32.5,32.5,2,1
372,37.5,0.5,2,1
373,18.5,33.5,2,2
373,19.5,50.5,2,4
378,-42.5,14.5,2,1
407,47.5,40.5,2,5
407,51.5,30.5,2,1
414,-40.5,7.5,2,1
421,15.5,32.5,2,2
421,15.5,33.5,2,3
422,-51.5,43.5,2,1
427,15.5,21.5,2,73
436,-40.5,7.5,2,1
440,-44.5,16.5,2,7
444,31.5,33.5,2,17
444,33.5,33.5,2,10
444,32.5,33.5,2,6
446,46.5,30.5,2,15
446,45.5,30.5,2,36
446,45.5,41.5,2,3
446,47.5,30.5,2,1
446,46.5,31.5,2,17
446,45.5,31.5,2,2
455,-44.5,16.5,2,7
474,-42.5,14.5,2,1
496,5.5,17.5,2,6
502,16.5,32.5,2,42
502,15.5,32.5,2,2
505,45.5,-38.5,2,1
506,52.5,42.5,2,1
506,46.5,40.5,2,1
508,15.5,32.5,2,2
508,15.5,21.5,2,73
508,14.5,17.5,2,7
509,22.5,27.5,2,14
518,37.5,0.5,2,1
539,45.5,30.5,2,36
561,15.5,21.5,2,73
568,5.5,17.5,2,6
572,46.5,40.5,2,1
573,-42.5,14.5,2,1
582,37.5,0.5,2,1
588,51.5,30.5,2,1
597,51.5,30.5,2,1
598,49.5,33.5,2,1
602,45.5,41.5,2,3
614,16.5,33.5,2,69
614,34.5,33.5,2,1
614,15.5,33.5,2,3
616,13.5,17.5,2,10
625,37.5,0.5,2,1
628,46.5,40.5,2,1
660,-40.5,7.5,2,1
671,32.5,32.5,2,1
679,47.5,40.5,2,5
687,-40.5,7.5,2,1
690,14.5,17.5,2,7
690,15.5,21.5,2,73
708,45.5,41.5,2,3
708,46.5,40.5,2,1
716,-40.5,7.5,2,1
720,-42.5,14.5,2,1
723,45.5,-11.5,2,1
730,-44.5,16.5,2,7
755,21.5,26.5,2,1
755,45.5,30.5,2,36
757,5.5,17.5,2,6
769,13.5,17.5,2,10
771,-42.5,14.5,2,1
782,5.5,17.5,2,6
787,-44.5,16.5,2,7
791,17.5,36.5,2,1
791,16.5,32.5,2,42
819,47.5,40.5,2,5
819,47.5,44.5,2,1
819,46.5,40.5,2,1
831,-56.5,32.5,2,1
834,45.5,-11.5,2,1
836,15.5,21.5,2,73
838,18.5,35.5,2,1
838,16.5,33.5,2,69
838,15.5,33.5,2,3
838,17.5,33.5,2,1
842,33.5,33.5,2,10
854,45.5,31.5,2,2
854,47.5,30.5,2,1
859,21.5,26.5,2,1
869,37.5,0.5,2,1
870,15.5,33.5,2,3
870,16.5,32.5,2,42
872,37.5,0.5,2,1
881,22.5,27.5,2,14
881,15.5,21.5,2,73
889,51.5,30.5,2,1
891,21.5,27.5,2,7
891,16.5,32.5,2,42
891,34.5,33.5,2,1
894,5.5,17.5,2,6
904,51.5,30.5,2,1
926,21.5,27.5,2,7
930,45.5,-38.5,2,1
932,46.5,40.5,2,1
932,45.5,31.5,2,2
932,47.5,30.5,2,1
952,13.5,17.5,2,10
958,45.5,-11.5,2,1
965,-40.5,7.5,2,1
967,46.5,30.5,2,15
967,49.5,33.5,2,1
986,32.5,32.5,2,1
987,31.5,33.5,2,17
987,17.5,33.5,2,1
987,15.5,33.5,2,3
993,18.5,47.5,2,14
999,-42.5,14.5,2,1
999,-44.5,16.5,2,7
17,21.5,26.5,3,1
29,46.5,30.5,3,15
29,45.5,30.5,3,36
43,13.5,17.5,3,10
54,-44.5,16.5,3,7
65,37.5,0.5,3,1
82,-44.5,16.5,3,7
85,17.5,58.5,3,13
97,-42.5,14.5,3,1
97,-44.5,16.5,3,7
101,45.5,-11.5,3,1
106,52.5,42.5,3,1
106,43.5,41.5,3,1
106,50.5,43.5,3,5
107,-42.5,14.5,3,1
110,13.5,17.5,3,10
114,-44.5,16.5,3,7
135,47.5,30.5,3,1
147,17.5,33.5,3,1
147,18.5,33.5,3,2
166,45.5,31.5,3,2
173,47.5,40.5,3,5
176,14.5,17.5,3,7
176,13.5,17.5,3,10
179,-44.5,16.5,3,7
183,21.5,26.5,3,1
190,-40.5,7.5,3,1
191,-42.5,14.5,3,1
203,53.5,53.5,3,5
203,47.5,44.5,3,1
215,47.5,40.5,3,5
215,23.5,28.5,3,3
215,54.5,41.5,3,6
215,45.5,30.5,3,36
222,-44.5,16.5,3,7
234,21.5,26.5,3,1
259,43.5,41.5,3,1
259,45.5,41.5,3,3
259,46.5,40.5,3,1
263,-42.5,14.5,3,1
264,-40.5,7.5,3,1
310,17.5,35.5,3,18
310,19.5,33.5,3,1
