"id","x","y","rep","collections"
1,48.5,19.5,1,1
3,48.5,24.5,1,1
24,3.5,41.5,1,4
24,2.5,42.5,1,2
24,2.5,41.5,1,20
28,121.5,0.5,1,1
41,-177.5,-47.5,1,1
41,-178.5,-41.5,1,1
43,-64.5,9.5,1,1
55,15.5,-34.5,1,1
55,14.5,-33.5,1,1
57,-64.5,10.5,1,8
57,-64.5,9.5,1,1
60,-81.5,12.5,1,2
73,-55.5,10.5,1,1
77,121.5,-0.5,1,2
98,-64.5,9.5,1,1
99,49.5,17.5,1,10
122,118.5,2.5,1,1
149,121.5,-0.5,1,2
151,-81.5,12.5,1,2
155,-75.5,25.5,1,1
156,-0.5,37.5,1,2
165,-68.5,39.5,1,4
173,-64.5,11.5,1,1
181,48.5,24.5,1,1
183,39.5,41.5,1,1
186,130.5,34.5,1,1
188,48.5,24.5,1,1
190,48.5,19.5,1,1
191,-55.5,10.5,1,1
197,134.5,36.5,1,4
211,-81.5,12.5,1,2
212,41.5,40.5,1,1
214,39.5,41.5,1,1
219,48.5,24.5,1,1
219,48.5,19.5,1,1
219,39.5,41.5,1,1
230,50.5,23.5,1,1
230,44.5,39.5,1,1
262,118.5,2.5,1,1
262,121.5,-0.5,1,2
270,118.5,2.5,1,1
278,118.5,2.5,1,1
290,121.5,0.5,1,1
303,121.5,0.5,1,1
307,121.5,0.5,1,1
317,29.5,33.5,1,1
348,6.5,40.5,1,2
348,2.5,41.5,1,20
348,7.5,41.5,1,5
348,7.5,40.5,1,5
349,44.5,39.5,1,1
353,49.5,17.5,1,10
355,-64.5,9.5,1,1
355,-64.5,10.5,1,8
356,49.5,17.5,1,10
384,-64.5,10.5,1,8
386,121.5,-0.5,1,2
398,29.5,33.5,1,1
409,118.5,2.5,1,1
410,14.5,-33.5,1,1
414,2.5,42.5,1,2
414,10.5,41.5,1,5
414,8.5,40.5,1,3
414,6.5,40.5,1,2
414,7.5,41.5,1,5
414,9.5,43.5,1,13
421,7.5,41.5,1,5
421,7.5,40.5,1,5
427,-81.5,12.5,1,2
452,2.5,42.5,1,2
452,-0.5,37.5,1,2
452,7.5,41.5,1,5
452,-6.5,35.5,1,5
452,10.5,41.5,1,5
452,3.5,41.5,1,4
473,40.5,40.5,1,1
479,-73.5,34.5,1,1
490,118.5,2.5,1,1
505,48.5,19.5,1,1
548,-68.5,39.5,1,4
556,50.5,23.5,1,1
559,-6.5,35.5,1,5
562,10.5,43.5,1,9
564,-55.5,10.5,1,1
591,121.5,0.5,1,1
606,-64.5,10.5,1,8
606,-64.5,11.5,1,1
621,-64.5,9.5,1,1
637,-75.5,25.5,1,1
649,48.5,19.5,1,1
649,49.5,17.5,1,10
651,-70.5,-41.5,1,2
653,-55.5,10.5,1,1
663,-81.5,12.5,1,2
665,-64.5,9.5,1,1
668,118.5,2.5,1,1
673,118.5,2.5,1,1
680,-55.5,10.5,1,1
688,50.5,23.5,1,1
690,118.5,2.5,1,1
697,23.5,46.5,1,1
697,1.5,44.5,1,3
697,3.5,41.5,1,4
708,-81.5,12.5,1,2
713,-73.5,34.5,1,1
716,-81.5,12.5,1,2
729,121.5,0.5,1,1
729,121.5,-0.5,1,2
739,-64.5,9.5,1,1
764,-64.5,10.5,1,8
764,-64.5,11.5,1,1
764,-64.5,9.5,1,1
771,-64.5,9.5,1,1
793,9.5,43.5,1,13
798,-64.5,10.5,1,8
806,118.5,2.5,1,1
813,121.5,-0.5,1,2
815,20.5,43.5,1,10
815,22.5,42.5,1,2
822,121.5,0.5,1,1
828,-69.5,39.5,1,1
830,130.5,34.5,1,1
837,121.5,-0.5,1,2
839,-64.5,10.5,1,8
859,-81.5,12.5,1,2
901,-55.5,10.5,1,1
934,-73.5,34.5,1,1
944,33.5,32.5,1,3
955,-68.5,-33.5,1,2
962,3.5,41.5,1,4
962,1.5,44.5,1,3
962,2.5,42.5,1,2
971,48.5,19.5,1,1
980,-75.5,25.5,1,1
982,118.5,2.5,1,1
982,121.5,-0.5,1,2
998,50.5,23.5,1,1
20,10.5,43.5,2,9
42,-64.5,9.5,2,1
42,-64.5,10.5,2,8
42,-64.5,11.5,2,1
