"id","x","y","rep","collections"
21,27.5,24.5,1,3
26,-48.5,3.5,1,1
36,34.5,18.5,1,2
43,-63.5,60.5,1,3
46,34.5,18.5,1,2
56,38.5,29.5,1,1
105,-48.5,3.5,1,1
110,14.5,38.5,1,4
110,11.5,40.5,1,1
110,14.5,32.5,1,4
110,8.5,31.5,1,1
111,20.5,25.5,1,1
111,22.5,25.5,1,1
111,21.5,26.5,1,3
111,21.5,24.5,1,1
111,20.5,26.5,1,5
122,25.5,19.5,1,1
123,30.5,37.5,1,1
129,31.5,19.5,1,1
140,35.5,19.5,1,1
140,42.5,21.5,1,1
147,11.5,30.5,1,10
150,-66.5,35.5,1,1
150,-51.5,39.5,1,4
150,-51.5,38.5,1,2
150,-40.5,37.5,1,13
150,-48.5,35.5,1,2
155,34.5,10.5,1,1
155,37.5,9.5,1,1
155,32.5,9.5,1,1
165,21.5,26.5,1,3
170,12.5,30.5,1,1
178,7.5,44.5,1,2
184,11.5,34.5,1,1
184,11.5,30.5,1,10
190,-48.5,3.5,1,1
209,21.5,27.5,1,1
209,21.5,26.5,1,3
248,34.5,10.5,1,1
250,14.5,20.5,1,1
258,13.5,20.5,1,1
266,13.5,38.5,1,1
266,20.5,41.5,1,1
268,11.5,39.5,1,1
268,12.5,39.5,1,1
271,-69.5,48.5,1,1
282,-68.5,37.5,1,1
288,35.5,6.5,1,2
337,38.5,32.5,1,1
337,38.5,29.5,1,1
338,11.5,40.5,1,1
342,21.5,26.5,1,3
342,20.5,25.5,1,1
351,47.5,39.5,1,1
355,-62.5,23.5,1,1
356,-80.5,43.5,1,3
356,-82.5,44.5,1,1
361,8.5,31.5,1,1
361,12.5,43.5,1,1
361,13.5,37.5,1,1
361,11.5,34.5,1,1
361,13.5,38.5,1,1
399,-56.5,20.5,1,1
399,-59.5,22.5,1,1
407,129.5,43.5,1,1
407,128.5,40.5,1,2
408,-65.5,49.5,1,1
408,-67.5,34.5,1,4
408,-66.5,46.5,1,1
408,-68.5,46.5,1,1
419,16.5,19.5,1,2
433,37.5,28.5,1,1
436,16.5,39.5,1,1
442,8.5,31.5,1,1
448,-48.5,3.5,1,1
470,-48.5,3.5,1,1
472,-71.5,49.5,1,4
477,30.5,20.5,1,1
477,35.5,19.5,1,1
478,37.5,9.5,1,1
481,-34.5,40.5,1,11
508,43.5,36.5,1,1
513,8.5,-18.5,1,1
519,13.5,20.5,1,1
519,32.5,9.5,1,1
519,27.5,24.5,1,3
