"id","x","y","rep","collections"
9,71.5,-45.5,1,6
11,119.5,-7.5,1,1
41,21.5,-0.5,1,139
51,9.5,46.5,1,2
66,119.5,-9.5,1,8
81,115.5,-32.5,1,4
85,129.5,3.5,1,7
85,132.5,2.5,1,6
87,30.5,-7.5,1,3
105,119.5,-12.5,1,1
105,119.5,-13.5,1,6
105,119.5,-14.5,1,9
122,48.5,-19.5,1,2
143,21.5,-0.5,1,139
152,119.5,-12.5,1,1
160,30.5,-7.5,1,3
162,127.5,2.5,1,1
162,129.5,3.5,1,7
181,119.5,-7.5,1,1
184,119.5,-12.5,1,1
206,119.5,-14.5,1,9
222,119.5,-13.5,1,6
228,129.5,27.5,1,1
228,127.5,2.5,1,1
241,129.5,27.5,1,1
241,128.5,3.5,1,4
258,129.5,3.5,1,7
258,128.5,3.5,1,4
269,21.5,-0.5,1,139
278,135.5,4.5,1,1
299,45.5,-13.5,1,1
305,119.5,-13.5,1,6
305,119.5,-12.5,1,1
344,45.5,-13.5,1,1
358,48.5,-19.5,1,2
388,119.5,-7.5,1,1
388,119.5,-9.5,1,8
388,119.5,-14.5,1,9
395,129.5,3.5,1,7
400,136.5,4.5,1,3
408,135.5,4.5,1,1
408,136.5,4.5,1,3
427,126.5,3.5,1,9
431,129.5,3.5,1,7
435,119.5,-12.5,1,1
436,48.5,32.5,1,1
448,126.5,3.5,1,9
448,125.5,2.5,1,17
455,133.5,28.5,1,2
475,126.5,3.5,1,9
489,133.5,2.5,1,1
489,127.5,2.5,1,1
491,129.5,27.5,1,1
503,21.5,-0.5,1,139
503,30.5,-7.5,1,3
515,126.5,3.5,1,9
544,119.5,-9.5,1,8
559,125.5,2.5,1,17
570,125.5,2.5,1,17
570,136.5,4.5,1,3
627,21.5,-0.5,1,139
679,127.5,2.5,1,1
682,21.5,-0.5,1,139
697,115.5,-32.5,1,4
722,133.5,2.5,1,1
728,21.5,-0.5,1,139
755,48.5,32.5,1,1
765,21.5,-0.5,1,139
767,120.5,-14.5,1,1
774,71.5,-45.5,1,6
785,51.5,-29.5,1,1
787,132.5,2.5,1,6
797,30.5,-7.5,1,3
824,41.5,-10.5,1,1
843,126.5,3.5,1,9
843,125.5,2.5,1,17
860,119.5,-13.5,1,6
866,136.5,4.5,1,3
888,48.5,-19.5,1,2
895,50.5,32.5,1,2
916,119.5,-9.5,1,8
924,127.5,2.5,1,1
924,128.5,3.5,1,4
924,126.5,3.5,1,9
926,41.5,-10.5,1,1
961,129.5,27.5,1,1
970,120.5,-14.5,1,1
971,41.5,-10.5,1,1
75,127.5,2.5,2,1
76,128.5,3.5,2,4
76,126.5,3.5,2,9
79,136.5,4.5,2,3
111,21.5,-0.5,2,139
141,133.5,2.5,2,1
154,132.5,2.5,2,6
154,128.5,3.5,2,4
154,125.5,2.5,2,17
176,21.5,-0.5,2,139
211,119.5,-7.5,2,1
212,48.5,-19.5,2,2
214,126.5,3.5,2,9
235,133.5,2.5,2,1
247,129.5,3.5,2,7
255,21.5,-0.5,2,139
264,135.5,4.5,2,1
264,133.5,2.5,2,1
266,129.5,3.5,2,7
287,128.5,3.5,2,4
288,119.5,-12.5,2,1
304,128.5,3.5,2,4
318,115.5,-11.5,2,1
329,48.5,-19.5,2,2
336,133.5,2.5,2,1
341,119.5,-13.5,2,6
341,119.5,-9.5,2,8
347,30.5,-7.5,2,3
360,127.5,2.5,2,1
384,133.5,28.5,2,2
401,120.5,-14.5,2,1
407,132.5,2.5,2,6
407,127.5,2.5,2,1
407,128.5,3.5,2,4
407,125.5,2.5,2,17
407,133.5,2.5,2,1
407,136.5,4.5,2,3
407,126.5,3.5,2,9
466,119.5,-7.5,2,1
469,0.5,47.5,2,1
498,136.5,4.5,2,3
498,126.5,3.5,2,9
506,30.5,-7.5,2,3
507,21.5,-0.5,2,139
514,132.5,2.5,2,6
514,125.5,2.5,2,17
519,119.5,-13.5,2,6
519,115.5,-11.5,2,1
519,119.5,-12.5,2,1
532,30.5,-7.5,2,3
539,119.5,-7.5,2,1
539,119.5,-14.5,2,9
540,45.5,-13.5,2,1
552,21.5,-0.5,2,139
557,119.5,-14.5,2,9
622,128.5,3.5,2,4
624,30.5,-7.5,2,3
