"id","x","y","rep","collections"
2,38.5,2.5,1,26
2,35.5,4.5,1,1
2,38.5,0.5,1,5
11,113.5,4.5,1,1
11,109.5,7.5,1,5
11,110.5,8.5,1,1
21,-54.5,31.5,1,1
23,110.5,2.5,1,8
33,54.5,-19.5,1,1
33,54.5,-16.5,1,3
45,38.5,-0.5,1,19
45,38.5,2.5,1,26
45,38.5,-1.5,1,13
45,39.5,0.5,1,6
45,37.5,3.5,1,2
45,38.5,0.5,1,5
76,14.5,16.5,1,11
79,25.5,28.5,1,4
86,35.5,4.5,1,1
86,38.5,2.5,1,26
92,127.5,-1.5,1,1
94,127.5,-1.5,1,1
94,113.5,4.5,1,1
114,112.5,2.5,1,1
114,113.5,4.5,1,1
123,117.5,2.5,1,1
123,117.5,1.5,1,2
139,111.5,2.5,1,3
147,14.5,16.5,1,11
152,111.5,1.5,1,6
152,117.5,2.5,1,1
161,51.5,32.5,1,1
166,39.5,0.5,1,6
167,51.5,32.5,1,1
192,111.5,1.5,1,6
209,35.5,4.5,1,1
221,-7.5,52.5,1,1
222,35.5,4.5,1,1
222,37.5,3.5,1,2
229,41.5,29.5,1,2
244,109.5,7.5,1,5
245,54.5,-16.5,1,3
258,111.5,1.5,1,6
258,110.5,2.5,1,8
259,38.5,0.5,1,5
259,39.5,0.5,1,6
259,37.5,3.5,1,2
259,35.5,4.5,1,1
259,38.5,2.5,1,26
268,109.5,7.5,1,5
268,117.5,2.5,1,1
268,110.5,8.5,1,1
270,113.5,4.5,1,1
270,112.5,2.5,1,1
270,111.5,2.5,1,3
271,112.5,2.5,1,1
279,111.5,2.5,1,3
279,110.5,2.5,1,8
279,117.5,2.5,1,1
279,109.5,7.5,1,5
295,52.5,-14.5,1,1
303,-40.5,50.5,1,2
312,38.5,0.5,1,5
312,38.5,2.5,1,26
348,109.5,7.5,1,5
363,26.5,30.5,1,1
363,26.5,28.5,1,3
366,117.5,2.5,1,1
372,52.5,31.5,1,1
377,14.5,16.5,1,11
387,37.5,3.5,1,2
387,38.5,-1.5,1,13
388,84.5,42.5,1,1
389,38.5,0.5,1,5
389,37.5,3.5,1,2
390,25.5,29.5,1,1
402,-3.5,54.5,1,4
409,54.5,-19.5,1,1
410,113.5,4.5,1,1
417,-54.5,31.5,1,1
429,38.5,3.5,1,2
429,39.5,0.5,1,6
450,38.5,-1.5,1,13
453,52.5,-14.5,1,1
454,37.5,3.5,1,2
454,35.5,4.5,1,1
454,39.5,0.5,1,6
454,38.5,0.5,1,5
463,38.5,-1.5,1,13
465,111.5,2.5,1,3
465,111.5,1.5,1,6
465,113.5,4.5,1,1
474,127.5,-1.5,1,1
481,-33.5,55.5,1,1
489,-36.5,40.5,1,7
490,25.5,28.5,1,4
490,28.5,28.5,1,1
492,52.5,-14.5,1,1
492,54.5,-16.5,1,3
507,38.5,-1.5,1,13
507,38.5,-0.5,1,19
512,109.5,7.5,1,5
512,111.5,2.5,1,3
512,110.5,8.5,1,1
512,110.5,2.5,1,8
512,112.5,2.5,1,1
512,113.5,4.5,1,1
512,111.5,1.5,1,6
522,38.5,-0.5,1,19
522,37.5,3.5,1,2
526,117.5,2.5,1,1
538,38.5,-1.5,1,13
542,39.5,0.5,1,6
568,113.5,4.5,1,1
605,117.5,1.5,1,2
605,127.5,-1.5,1,1
607,38.5,0.5,1,5
612,54.5,-16.5,1,3
621,52.5,-14.5,1,1
621,38.5,2.5,1,26
622,113.5,4.5,1,1
632,14.5,16.5,1,11
641,14.5,16.5,1,11
653,41.5,29.5,1,2
659,14.5,16.5,1,11
669,26.5,29.5,1,8
694,52.5,-14.5,1,1
713,38.5,0.5,1,5
713,38.5,-1.5,1,13
713,39.5,0.5,1,6
713,38.5,2.5,1,26
713,37.5,3.5,1,2
718,14.5,16.5,1,11
722,111.5,2.5,1,3
722,109.5,7.5,1,5
746,54.5,-19.5,1,1
747,117.5,1.5,1,2
748,37.5,3.5,1,2
749,39.5,0.5,1,6
749,35.5,4.5,1,1
749,38.5,0.5,1,5
749,38.5,2.5,1,26
749,38.5,-0.5,1,19
758,-36.5,41.5,1,35
766,38.5,-1.5,1,13
766,38.5,3.5,1,2
766,37.5,3.5,1,2
774,111.5,1.5,1,6
774,112.5,2.5,1,1
774,111.5,2.5,1,3
774,110.5,2.5,1,8
781,38.5,3.5,1,2
786,26.5,28.5,1,3
786,26.5,30.5,1,1
786,26.5,29.5,1,8
803,111.5,1.5,1,6
803,111.5,2.5,1,3
804,54.5,-19.5,1,1
813,117.5,2.5,1,1
823,54.5,-19.5,1,1
824,54.5,-16.5,1,3
824,38.5,0.5,1,5
830,26.5,28.5,1,3
830,14.5,16.5,1,11
831,26.5,30.5,1,1
842,25.5,29.5,1,1
842,24.5,29.5,1,1
844,110.5,8.5,1,1
848,117.5,2.5,1,1
890,14.5,16.5,1,11
894,52.5,-14.5,1,1
908,38.5,3.5,1,2
909,54.5,-16.5,1,3
927,28.5,28.5,1,1
937,52.5,-14.5,1,1
943,54.5,-19.5,1,1
945,38.5,-0.5,1,19
953,38.5,0.5,1,5
953,38.5,-0.5,1,19
964,54.5,32.5,1,1
973,38.5,-0.5,1,19
980,38.5,2.5,1,26
980,35.5,4.5,1,1
980,38.5,-1.5,1,13
982,38.5,0.5,1,5
982,37.5,3.5,1,2
988,41.5,29.5,1,2
990,39.5,0.5,1,6
990,38.5,-1.5,1,13
991,-33.5,56.5,1,1
995,-54.5,31.5,1,1
997,14.5,16.5,1,11
31,54.5,-16.5,2,3
41,38.5,0.5,2,5
41,37.5,3.5,2,2
41,38.5,-0.5,2,19
51,35.5,4.5,2,1
52,52.5,-14.5,2,1
52,54.5,-19.5,2,1
56,52.5,31.5,2,1
58,117.5,2.5,2,1
59,113.5,4.5,2,1
66,111.5,2.5,2,3
70,111.5,1.5,2,6
75,127.5,-1.5,2,1
96,-36.5,40.5,2,7
96,-35.5,39.5,2,1
103,127.5,-1.5,2,1
114,54.5,-16.5,2,3
126,37.5,3.5,2,2
143,117.5,1.5,2,2
153,26.5,29.5,2,8
153,24.5,29.5,2,1
161,14.5,16.5,2,11
210,50.5,32.5,2,1
210,52.5,31.5,2,1
210,54.5,32.5,2,1
210,51.5,32.5,2,1
241,26.5,28.5,2,3
250,38.5,-0.5,2,19
250,38.5,0.5,2,5
250,38.5,-1.5,2,13
250,37.5,3.5,2,2
250,35.5,4.5,2,1
250,38.5,3.5,2,2
250,39.5,0.5,2,6
251,54.5,-19.5,2,1
256,38.5,-0.5,2,19
256,24.5,29.5,2,1
256,37.5,3.5,2,2
261,14.5,16.5,2,11
284,112.5,2.5,2,1
295,25.5,29.5,2,1
303,110.5,8.5,2,1
303,111.5,2.5,2,3
307,-36.5,40.5,2,7
307,-35.5,39.5,2,1
309,41.5,29.5,2,2
326,28.5,28.5,2,1
331,54.5,32.5,2,1
334,117.5,2.5,2,1
334,117.5,1.5,2,2
338,117.5,2.5,2,1
351,111.5,2.5,2,3
351,112.5,2.5,2,1
353,26.5,30.5,2,1
358,14.5,16.5,2,11
365,117.5,1.5,2,2
376,113.5,4.5,2,1
383,37.5,3.5,2,2
383,54.5,-16.5,2,3
390,41.5,29.5,2,2
