"id","x","y","rep","collections"
14,60.5,36.5,1,5
20,13.5,37.5,1,1
23,8.5,-2.5,1,1
31,50.5,3.5,1,1
48,57.5,43.5,1,1
50,41.5,15.5,1,4
61,39.5,14.5,1,1
76,69.5,33.5,1,1
82,26.5,29.5,1,3
82,27.5,28.5,1,1
105,13.5,42.5,1,1
120,47.5,2.5,1,4
124,22.5,21.5,1,1
130,20.5,25.5,1,1
130,5.5,27.5,1,1
130,7.5,25.5,1,1
130,15.5,25.5,1,3
136,60.5,36.5,1,5
138,34.5,12.5,1,2
149,33.5,15.5,1,1
149,39.5,14.5,1,1
150,5.5,27.5,1,1
173,7.5,25.5,1,1
182,47.5,2.5,1,4
184,34.5,12.5,1,2
195,20.5,45.5,1,1
195,24.5,47.5,1,1
195,23.5,47.5,1,1
195,16.5,47.5,1,7
195,30.5,45.5,1,1
195,15.5,43.5,1,5
195,15.5,49.5,1,1
195,15.5,46.5,1,5
195,22.5,41.5,1,1
195,17.5,47.5,1,1
195,23.5,48.5,1,1
221,59.5,47.5,1,1
227,41.5,15.5,1,4
238,20.5,15.5,1,1
259,137.5,36.5,1,1
259,138.5,37.5,1,3
259,140.5,38.5,1,1
261,20.5,25.5,1,1
266,15.5,42.5,1,1
266,20.5,39.5,1,1
266,14.5,35.5,1,1
266,15.5,41.5,1,2
273,33.5,15.5,1,1
273,39.5,14.5,1,1
283,20.5,15.5,1,1
286,50.5,3.5,1,1
292,15.5,49.5,1,1
293,5.5,27.5,1,1
309,78.5,33.5,1,1
310,33.5,15.5,1,1
329,41.5,16.5,1,2
329,39.5,14.5,1,1
333,21.5,41.5,1,12
340,15.5,25.5,1,3
340,20.5,25.5,1,1
354,45.5,7.5,1,2
381,34.5,45.5,1,1
398,22.5,21.5,1,1
416,39.5,14.5,1,1
416,41.5,16.5,1,2
450,20.5,25.5,1,1
483,66.5,34.5,1,1
489,39.5,14.5,1,1
489,40.5,13.5,1,1
489,41.5,15.5,1,4
489,41.5,16.5,1,2
489,34.5,12.5,1,2
491,55.5,48.5,1,2
498,7.5,25.5,1,1
498,12.5,25.5,1,1
511,37.5,49.5,1,1
521,7.5,25.5,1,1
526,21.5,41.5,1,12
526,34.5,12.5,1,2
528,40.5,13.5,1,1
528,34.5,12.5,1,2
529,-66.5,47.5,1,1
531,50.5,3.5,1,1
534,-9.5,-1.5,1,7
549,15.5,41.5,1,2
549,12.5,36.5,1,4
549,20.5,39.5,1,1
559,41.5,16.5,1,2
560,63.5,39.5,1,1
570,41.5,43.5,1,2
574,57.5,44.5,1,1
574,57.5,43.5,1,1
587,23.5,47.5,1,1
587,13.5,37.5,1,1
587,36.5,46.5,1,1
587,26.5,44.5,1,2
587,24.5,47.5,1,1
596,34.5,12.5,1,2
596,40.5,13.5,1,1
610,21.5,41.5,1,12
610,13.5,37.5,1,1
610,13.5,42.5,1,1
610,15.5,47.5,1,4
610,27.5,45.5,1,1
621,34.5,12.5,1,2
621,40.5,13.5,1,1
621,41.5,16.5,1,2
625,15.5,25.5,1,3
634,45.5,7.5,1,2
634,50.5,3.5,1,1
634,39.5,14.5,1,1
640,-55.5,44.5,1,2
650,46.5,39.5,1,1
652,39.5,14.5,1,1
657,78.5,31.5,1,1
664,26.5,29.5,1,3
664,27.5,28.5,1,1
676,47.5,2.5,1,4
685,41.5,16.5,1,2
689,15.5,46.5,1,5
690,-9.5,-1.5,1,7
697,-35.5,-59.5,1,7
714,12.5,36.5,1,4
718,20.5,15.5,1,1
732,-66.5,41.5,1,1
732,-65.5,41.5,1,1
746,-64.5,52.5,1,1
753,47.5,2.5,1,4
756,46.5,39.5,1,1
759,34.5,12.5,1,2
766,27.5,28.5,1,1
766,26.5,29.5,1,3
774,50.5,3.5,1,1
781,39.5,14.5,1,1
781,40.5,13.5,1,1
783,47.5,2.5,1,4
835,60.5,36.5,1,5
849,-9.5,-1.5,1,7
852,45.5,7.5,1,2
855,-9.5,-1.5,1,7
864,12.5,36.5,1,4
885,39.5,14.5,1,1
885,41.5,16.5,1,2
905,47.5,2.5,1,4
914,40.5,13.5,1,1
919,12.5,25.5,1,1
926,60.5,36.5,1,5
926,66.5,34.5,1,1
928,27.5,28.5,1,1
940,57.5,43.5,1,1
942,12.5,25.5,1,1
942,12.5,36.5,1,4
944,21.5,41.5,1,12
950,14.5,41.5,1,2
963,15.5,47.5,1,4
963,14.5,38.5,1,1
963,13.5,37.5,1,1
967,15.5,25.5,1,3
971,22.5,21.5,1,1
973,-63.5,32.5,1,1
979,36.5,-42.5,1,1
997,20.5,15.5,1,1
997,40.5,13.5,1,1
997,34.5,12.5,1,2
17,50.5,3.5,2,1
37,20.5,15.5,2,1
62,34.5,45.5,2,1
62,36.5,46.5,2,1
70,20.5,15.5,2,1
75,7.5,25.5,2,1
79,20.5,15.5,2,1
82,57.5,43.5,2,1
92,-66.5,41.5,2,1
104,78.5,33.5,2,1
105,34.5,12.5,2,2
106,20.5,25.5,2,1
129,12.5,36.5,2,4
139,66.5,34.5,2,1
160,5.5,27.5,2,1
184,40.5,43.5,2,1
188,66.5,34.5,2,1
188,63.5,39.5,2,1
193,50.5,3.5,2,1
194,27.5,28.5,2,1
201,22.5,41.5,2,1
201,15.5,43.5,2,5
211,15.5,25.5,2,3
271,78.5,31.5,2,1
280,39.5,14.5,2,1
287,20.5,15.5,2,1
297,-66.5,41.5,2,1
313,-9.5,-1.5,2,7
318,20.5,15.5,2,1
322,-9.5,-1.5,2,7
327,-9.5,-1.5,2,7
342,14.5,35.5,2,1
350,46.5,39.5,2,1
351,40.5,13.5,2,1
351,41.5,15.5,2,4
357,-65.5,41.5,2,1
358,45.5,7.5,2,2
358,34.5,12.5,2,2
358,41.5,16.5,2,2
359,12.5,25.5,2,1
365,8.5,-2.5,2,1
378,20.5,25.5,2,1
378,20.5,15.5,2,1
378,22.5,21.5,2,1
402,20.5,15.5,2,1
416,39.5,14.5,2,1
430,8.5,-2.5,2,1
436,41.5,16.5,2,2
454,-66.5,41.5,2,1
455,39.5,14.5,2,1
455,41.5,16.5,2,2
455,41.5,15.5,2,4
456,8.5,-2.5,2,1
475,40.5,13.5,2,1
475,41.5,16.5,2,2
475,41.5,15.5,2,4
480,15.5,42.5,2,1
480,17.5,48.5,2,1
499,140.5,38.5,2,1
501,47.5,2.5,2,4
509,50.5,3.5,2,1
516,7.5,25.5,2,1
524,26.5,29.5,2,3
524,27.5,28.5,2,1
528,80.5,32.5,2,2
529,45.5,7.5,2,2
545,45.5,7.5,2,2
549,-63.5,32.5,2,1
558,34.5,12.5,2,2
562,8.5,-2.5,2,1
570,26.5,29.5,2,3
575,27.5,28.5,2,1
580,69.5,33.5,2,1
580,60.5,36.5,2,5
583,27.5,28.5,2,1
583,26.5,29.5,2,3
584,5.5,27.5,2,1
588,20.5,-41.5,2,1
599,-71.5,44.5,2,3
599,-63.5,32.5,2,1
608,21.5,41.5,2,12
608,20.5,45.5,2,1
608,23.5,47.5,2,1
611,41.5,15.5,2,4
611,40.5,13.5,2,1
617,7.5,25.5,2,1
619,22.5,47.5,2,2
619,27.5,45.5,2,1
625,22.5,21.5,2,1
625,14.5,38.5,2,1
625,7.5,25.5,2,1
625,20.5,25.5,2,1
630,78.5,31.5,2,1
630,69.5,33.5,2,1
631,8.5,-2.5,2,1
634,45.5,7.5,2,2
644,78.5,31.5,2,1
645,30.5,37.5,2,3
647,33.5,15.5,2,1
647,26.5,29.5,2,3
657,13.5,37.5,2,1
657,13.5,42.5,2,1
657,14.5,38.5,2,1
657,15.5,41.5,2,2
657,15.5,42.5,2,1
657,15.5,46.5,2,5
657,14.5,41.5,2,2
657,13.5,46.5,2,7
657,14.5,42.5,2,1
665,34.5,45.5,2,1
665,30.5,45.5,2,1
665,37.5,49.5,2,1
676,12.5,25.5,2,1
694,34.5,12.5,2,2
694,40.5,13.5,2,1
695,63.5,39.5,2,1
732,22.5,21.5,2,1
756,41.5,16.5,2,2
756,40.5,13.5,2,1
763,50.5,3.5,2,1
764,25.5,47.5,2,1
767,16.5,43.5,2,2
767,13.5,42.5,2,1
772,45.5,7.5,2,2
772,39.5,14.5,2,1
783,5.5,27.5,2,1
794,78.5,31.5,2,1
803,57.5,43.5,2,1
804,16.5,43.5,2,2
805,47.5,2.5,2,4
806,30.5,37.5,2,3
838,12.5,36.5,2,4
852,-63.5,32.5,2,1
857,41.5,16.5,2,2
861,-35.5,-59.5,2,7
864,39.5,14.5,2,1
876,50.5,3.5,2,1
877,41.5,43.5,2,2
884,16.5,48.5,2,10
884,27.5,45.5,2,1
884,24.5,47.5,2,1
892,39.5,14.5,2,1
892,41.5,16.5,2,2
900,20.5,25.5,2,1
908,8.5,-2.5,2,1
914,41.5,16.5,2,2
914,39.5,14.5,2,1
917,47.5,2.5,2,4
918,15.5,47.5,2,4
918,16.5,49.5,2,1
918,16.5,47.5,2,7
918,15.5,49.5,2,1
918,17.5,47.5,2,1
918,16.5,48.5,2,10
930,45.5,7.5,2,2
941,15.5,25.5,2,3
960,12.5,25.5,2,1
988,39.5,14.5,2,1
993,45.5,7.5,2,2
998,27.5,28.5,2,1
998,26.5,29.5,2,3
9,5.5,27.5,3,1
9,7.5,25.5,3,1
11,13.5,46.5,3,7
12,45.5,7.5,3,2
13,41.5,15.5,3,4
21,41.5,16.5,3,2
22,34.5,45.5,3,1
27,80.5,32.5,3,2
27,78.5,33.5,3,1
32,41.5,16.5,3,2
35,-66.5,39.5,3,1
37,40.5,13.5,3,1
37,39.5,14.5,3,1
68,30.5,37.5,3,3
68,46.5,39.5,3,1
75,15.5,25.5,3,3
77,20.5,45.5,3,1
77,17.5,48.5,3,1
77,21.5,41.5,3,12
77,17.5,47.5,3,1
88,20.5,25.5,3,1
88,45.5,7.5,3,2
89,50.5,3.5,3,1
89,40.5,13.5,3,1
89,47.5,2.5,3,4
90,52.5,45.5,3,1
94,8.5,-2.5,3,1
103,22.5,41.5,3,1
109,41.5,16.5,3,2
109,39.5,14.5,3,1
111,26.5,29.5,3,3
124,20.5,25.5,3,1
124,33.5,15.5,3,1
147,22.5,21.5,3,1
147,-62.5,44.5,3,19
154,45.5,7.5,3,2
155,12.5,39.5,3,1
159,7.5,25.5,3,1
159,8.5,-2.5,3,1
165,27.5,28.5,3,1
175,7.5,25.5,3,1
176,14.5,38.5,3,1
182,12.5,25.5,3,1
182,5.5,27.5,3,1
188,27.5,28.5,3,1
226,34.5,12.5,3,2
226,41.5,16.5,3,2
228,45.5,7.5,3,2
242,20.5,15.5,3,1
248,40.5,13.5,3,1
249,20.5,15.5,3,1
275,41.5,16.5,3,2
276,-66.5,41.5,3,1
293,22.5,21.5,3,1
297,12.5,25.5,3,1
297,15.5,25.5,3,3
301,-9.5,-1.5,3,7
319,34.5,44.5,3,2
319,36.5,46.5,3,1
319,34.5,45.5,3,1
327,27.5,28.5,3,1
335,12.5,36.5,3,4
337,22.5,21.5,3,1
338,39.5,14.5,3,1
341,47.5,2.5,3,4
341,34.5,12.5,3,2
342,7.5,25.5,3,1
344,40.5,13.5,3,1
344,27.5,28.5,3,1
344,34.5,12.5,3,2
344,41.5,16.5,3,2
344,33.5,15.5,3,1
345,50.5,3.5,3,1
354,50.5,3.5,3,1
357,20.5,15.5,3,1
357,12.5,25.5,3,1
361,47.5,2.5,3,4
384,8.5,-2.5,3,1
386,27.5,28.5,3,1
388,27.5,45.5,3,1
388,21.5,41.5,3,12
401,47.5,2.5,3,4
414,20.5,15.5,3,1
431,40.5,13.5,3,1
453,50.5,3.5,3,1
466,33.5,15.5,3,1
466,41.5,15.5,3,4
467,-99.5,67.5,3,1
467,-100.5,67.5,3,8
474,15.5,25.5,3,3
481,50.5,3.5,3,1
484,47.5,2.5,3,4
507,41.5,16.5,3,2
511,5.5,27.5,3,1
514,40.5,13.5,3,1
514,39.5,14.5,3,1
516,15.5,25.5,3,3
519,80.5,32.5,3,2
519,78.5,31.5,3,1
522,66.5,34.5,3,1
528,-63.5,32.5,3,1
529,14.5,35.5,3,1
529,12.5,36.5,3,4
530,-62.5,44.5,3,19
530,-55.5,44.5,3,2
537,20.5,15.5,3,1
545,-68.5,43.5,3,21
545,-66.5,41.5,3,1
545,-66.5,39.5,3,1
545,-66.5,47.5,3,1
565,52.5,45.5,3,1
568,50.5,3.5,3,1
568,47.5,2.5,3,4
600,20.5,15.5,3,1
602,50.5,3.5,3,1
608,22.5,41.5,3,1
611,80.5,32.5,3,2
611,78.5,31.5,3,1
611,78.5,33.5,3,1
623,14.5,38.5,3,1
623,20.5,25.5,3,1
626,22.5,21.5,3,1
626,20.5,25.5,3,1
659,34.5,12.5,3,2
673,33.5,15.5,3,1
677,20.5,15.5,3,1
679,80.5,32.5,3,2
682,-9.5,-1.5,3,7
683,22.5,21.5,3,1
683,41.5,15.5,3,4
683,40.5,13.5,3,1
686,27.5,28.5,3,1
691,42.5,-45.5,3,4
696,6.5,35.5,3,1
698,34.5,12.5,3,2
698,33.5,15.5,3,1
699,45.5,7.5,3,2
703,34.5,12.5,3,2
703,40.5,13.5,3,1
705,47.5,2.5,3,4
707,-66.5,41.5,3,1
708,20.5,25.5,3,1
739,-9.5,-1.5,3,7
746,39.5,14.5,3,1
746,45.5,7.5,3,2
755,-64.5,52.5,3,1
755,-66.5,47.5,3,1
760,13.5,42.5,3,1
760,22.5,41.5,3,1
760,14.5,42.5,3,1
760,15.5,42.5,3,1
760,14.5,41.5,3,2
775,26.5,44.5,3,2
786,66.5,34.5,3,1
788,8.5,-2.5,3,1
799,52.5,45.5,3,1
809,42.5,-45.5,3,4
812,34.5,12.5,3,2
812,39.5,14.5,3,1
823,78.5,31.5,3,1
832,78.5,31.5,3,1
837,-9.5,-1.5,3,7
842,-9.5,-1.5,3,7
854,47.5,2.5,3,4
879,45.5,7.5,3,2
901,69.5,33.5,3,1
905,12.5,25.5,3,1
906,12.5,25.5,3,1
913,22.5,47.5,3,2
913,41.5,43.5,3,2
913,36.5,46.5,3,1
915,26.5,29.5,3,3
917,7.5,25.5,3,1
933,20.5,15.5,3,1
939,22.5,21.5,3,1
964,-63.5,32.5,3,1
986,27.5,28.5,3,1
986,26.5,29.5,3,3
997,16.5,49.5,3,1
997,22.5,41.5,3,1
7,12.5,39.5,4,1
7,14.5,41.5,4,2
8,47.5,2.5,4,4
32,20.5,15.5,4,1
32,27.5,28.5,4,1
50,80.5,32.5,4,2
57,20.5,-41.5,4,1
66,26.5,29.5,4,3
66,15.5,42.5,4,1
66,14.5,41.5,4,2
66,12.5,36.5,4,4
68,33.5,15.5,4,1
68,40.5,13.5,4,1
74,-9.5,-1.5,4,7
75,45.5,7.5,4,2
97,12.5,25.5,4,1
97,15.5,25.5,4,3
97,22.5,21.5,4,1
100,7.5,25.5,4,1
100,15.5,25.5,4,3
100,12.5,25.5,4,1
103,52.5,45.5,4,1
108,-55.5,44.5,4,2
109,47.5,2.5,4,4
114,13.5,37.5,4,1
114,14.5,41.5,4,2
116,20.5,25.5,4,1
116,22.5,21.5,4,1
119,50.5,3.5,4,1
119,47.5,2.5,4,4
129,-9.5,-1.5,4,7
145,47.5,2.5,4,4
152,138.5,37.5,4,3
152,137.5,36.5,4,1
181,47.5,2.5,4,4
197,63.5,39.5,4,1
203,8.5,-2.5,4,1
205,50.5,3.5,4,1
208,-63.5,32.5,4,1
231,50.5,3.5,4,1
231,45.5,7.5,4,2
247,20.5,15.5,4,1
251,55.5,48.5,4,2
273,20.5,15.5,4,1
279,50.5,3.5,4,1
279,47.5,2.5,4,4
289,57.5,43.5,4,1
324,7.5,25.5,4,1
324,15.5,25.5,4,3
329,20.5,15.5,4,1
343,30.5,45.5,4,1
359,41.5,15.5,4,4
362,47.5,2.5,4,4
363,39.5,14.5,4,1
368,12.5,39.5,4,1
374,-68.5,43.5,4,21
374,-65.5,41.5,4,1
388,14.5,38.5,4,1
388,12.5,39.5,4,1
388,26.5,29.5,4,3
407,15.5,25.5,4,3
408,47.5,2.5,4,4
414,8.5,-2.5,4,1
415,40.5,13.5,4,1
419,45.5,7.5,4,2
423,33.5,15.5,4,1
438,33.5,15.5,4,1
438,41.5,15.5,4,4
438,26.5,29.5,4,3
445,22.5,21.5,4,1
447,17.5,48.5,4,1
447,14.5,35.5,4,1
447,26.5,29.5,4,3
447,16.5,44.5,4,3
455,20.5,25.5,4,1
456,69.5,33.5,4,1
462,41.5,15.5,4,4
469,45.5,7.5,4,2
469,40.5,13.5,4,1
484,47.5,2.5,4,4
488,12.5,25.5,4,1
489,-66.5,39.5,4,1
489,-65.5,41.5,4,1
496,41.5,15.5,4,4
502,15.5,46.5,4,5
509,47.5,2.5,4,4
526,69.5,44.5,4,1
526,57.5,43.5,4,1
543,-9.5,-1.5,4,7
545,39.5,14.5,4,1
551,34.5,12.5,4,2
561,47.5,2.5,4,4
561,45.5,7.5,4,2
568,26.5,29.5,4,3
570,55.5,48.5,4,2
572,20.5,15.5,4,1
595,137.5,36.5,4,1
595,138.5,37.5,4,3
595,140.5,38.5,4,1
596,20.5,45.5,4,1
606,-9.5,-1.5,4,7
609,14.5,41.5,4,2
609,13.5,37.5,4,1
609,14.5,35.5,4,1
615,41.5,15.5,4,4
617,-9.5,-1.5,4,7
618,-9.5,-1.5,4,7
632,-9.5,-1.5,4,7
636,69.5,33.5,4,1
658,20.5,15.5,4,1
670,6.5,35.5,4,1
706,66.5,34.5,4,1
707,20.5,15.5,4,1
709,47.5,2.5,4,4
709,50.5,3.5,4,1
736,47.5,2.5,4,4
753,66.5,34.5,4,1
776,39.5,14.5,4,1
800,39.5,14.5,4,1
800,33.5,15.5,4,1
807,12.5,39.5,4,1
807,22.5,41.5,4,1
822,69.5,33.5,4,1
825,34.5,12.5,4,2
850,-9.5,-1.5,4,7
858,45.5,7.5,4,2
861,12.5,25.5,4,1
861,7.5,25.5,4,1
861,15.5,25.5,4,3
871,50.5,3.5,4,1
872,57.5,44.5,4,1
873,-9.5,-1.5,4,7
891,36.5,-42.5,4,1
891,42.5,-45.5,4,4
893,8.5,-2.5,4,1
894,-68.5,43.5,4,21
894,-71.5,44.5,4,3
901,55.5,48.5,4,2
901,60.5,36.5,4,5
904,8.5,-2.5,4,1
914,-55.5,44.5,4,2
927,47.5,2.5,4,4
931,-64.5,53.5,4,1
932,16.5,44.5,4,3
932,15.5,41.5,4,2
932,15.5,42.5,4,1
935,8.5,-2.5,4,1
938,41.5,16.5,4,2
940,45.5,7.5,4,2
954,50.5,3.5,4,1
979,50.5,3.5,4,1
985,41.5,16.5,4,2
985,34.5,12.5,4,2
995,47.5,2.5,4,4
6,22.5,21.5,5,1
10,47.5,2.5,5,4
12,40.5,13.5,5,1
16,47.5,2.5,5,4
27,33.5,15.5,5,1
27,34.5,12.5,5,2
68,45.5,7.5,5,2
72,78.5,31.5,5,1
76,46.5,39.5,5,1
77,50.5,3.5,5,1
102,-68.5,43.5,5,21
108,7.5,25.5,5,1
110,33.5,15.5,5,1
113,36.5,46.5,5,1
113,34.5,45.5,5,1
114,-9.5,-1.5,5,7
124,8.5,-2.5,5,1
129,5.5,27.5,5,1
131,47.5,2.5,5,4
135,15.5,25.5,5,3
143,45.5,7.5,5,2
146,45.5,7.5,5,2
149,50.5,3.5,5,1
155,5.5,27.5,5,1
157,41.5,16.5,5,2
159,34.5,12.5,5,2
159,40.5,13.5,5,1
160,5.5,27.5,5,1
163,15.5,25.5,5,3
163,20.5,15.5,5,1
167,34.5,12.5,5,2
172,146.5,50.5,5,2
172,146.5,49.5,5,1
179,60.5,36.5,5,5
187,42.5,-45.5,5,4
194,40.5,13.5,5,1
207,26.5,29.5,5,3
210,-63.5,32.5,5,1
210,-65.5,41.5,5,1
221,20.5,25.5,5,1
263,12.5,25.5,5,1
282,20.5,25.5,5,1
282,12.5,25.5,5,1
282,27.5,28.5,5,1
282,7.5,25.5,5,1
282,26.5,29.5,5,3
297,41.5,15.5,5,4
301,40.5,13.5,5,1
301,33.5,15.5,5,1
301,41.5,15.5,5,4
307,45.5,7.5,5,2
307,50.5,3.5,5,1
316,14.5,35.5,5,1
316,12.5,39.5,5,1
318,50.5,3.5,5,1
318,47.5,2.5,5,4
320,13.5,37.5,5,1
320,13.5,46.5,5,7
320,15.5,43.5,5,5
320,14.5,42.5,5,1
342,5.5,27.5,5,1
370,8.5,-2.5,5,1
387,55.5,48.5,5,2
391,41.5,16.5,5,2
391,39.5,14.5,5,1
394,66.5,34.5,5,1
398,66.5,34.5,5,1
401,-9.5,-1.5,5,7
424,47.5,2.5,5,4
425,45.5,7.5,5,2
425,41.5,16.5,5,2
426,60.5,36.5,5,5
426,63.5,39.5,5,1
429,36.5,-42.5,5,1
442,41.5,15.5,5,4
458,60.5,36.5,5,5
462,-63.5,32.5,5,1
466,15.5,41.5,5,2
466,12.5,39.5,5,1
466,14.5,38.5,5,1
466,13.5,37.5,5,1
473,-72.5,60.5,5,2
474,22.5,21.5,5,1
479,7.5,25.5,5,1
479,12.5,25.5,5,1
485,26.5,29.5,5,3
489,-9.5,-1.5,5,7
501,69.5,33.5,5,1
501,78.5,33.5,5,1
502,36.5,46.5,5,1
502,40.5,43.5,5,1
504,66.5,34.5,5,1
504,69.5,33.5,5,1
510,20.5,39.5,5,1
513,14.5,35.5,5,1
518,25.5,47.5,5,1
519,-80.5,45.5,5,3
519,-87.5,53.5,5,2
531,-66.5,47.5,5,1
537,-71.5,44.5,5,3
543,57.5,44.5,5,1
547,50.5,3.5,5,1
579,-62.5,44.5,5,19
579,-64.5,52.5,5,1
580,8.5,-2.5,5,1
582,50.5,3.5,5,1
585,14.5,42.5,5,1
585,12.5,39.5,5,1
585,14.5,35.5,5,1
585,22.5,21.5,5,1
585,22.5,47.5,5,2
585,15.5,25.5,5,3
594,-87.5,53.5,5,2
594,-66.5,39.5,5,1
596,-9.5,-1.5,5,7
605,-9.5,-1.5,5,7
626,20.5,15.5,5,1
644,15.5,47.5,5,4
644,12.5,36.5,5,4
647,-99.5,67.5,5,1
651,40.5,13.5,5,1
660,25.5,47.5,5,1
674,-63.5,32.5,5,1
685,22.5,47.5,5,2
685,22.5,41.5,5,1
694,41.5,15.5,5,4
694,40.5,13.5,5,1
706,13.5,37.5,5,1
706,14.5,35.5,5,1
709,45.5,7.5,5,2
716,47.5,2.5,5,4
716,50.5,3.5,5,1
717,20.5,25.5,5,1
717,27.5,28.5,5,1
723,40.5,13.5,5,1
723,41.5,15.5,5,4
729,50.5,3.5,5,1
729,39.5,14.5,5,1
732,40.5,43.5,5,1
734,33.5,15.5,5,1
743,-9.5,-1.5,5,7
746,47.5,2.5,5,4
755,27.5,28.5,5,1
760,27.5,28.5,5,1
782,-9.5,-1.5,5,7
785,47.5,2.5,5,4
792,80.5,32.5,5,2
792,69.5,33.5,5,1
800,138.5,37.5,5,3
826,36.5,-42.5,5,1
837,39.5,14.5,5,1
846,69.5,33.5,5,1
876,-66.5,47.5,5,1
912,16.5,49.5,5,1
912,16.5,47.5,5,7
912,17.5,48.5,5,1
930,22.5,21.5,5,1
939,12.5,25.5,5,1
949,27.5,28.5,5,1
954,-80.5,45.5,5,3
978,-63.5,32.5,5,1
982,30.5,37.5,5,3
984,-66.5,39.5,5,1
986,40.5,13.5,5,1
8,50.5,3.5,6,1
12,78.5,33.5,6,1
12,78.5,31.5,6,1
12,80.5,32.5,6,2
26,40.5,13.5,6,1
40,41.5,16.5,6,2
41,63.5,39.5,6,1
46,41.5,15.5,6,4
51,50.5,3.5,6,1
55,-9.5,-1.5,6,7
70,15.5,47.5,6,4
70,16.5,44.5,6,3
71,63.5,39.5,6,1
71,66.5,34.5,6,1
71,60.5,36.5,6,5
98,-9.5,-1.5,6,7
100,6.5,35.5,6,1
111,45.5,7.5,6,2
125,20.5,25.5,6,1
137,8.5,-2.5,6,1
139,12.5,25.5,6,1
