"id","x","y","rep","collections"
2,42.5,-15.5,1,6
12,42.5,-15.5,1,6
13,39.5,-6.5,1,5
16,39.5,-6.5,1,5
42,38.5,-6.5,1,2
53,121.5,8.5,1,1
61,100.5,-12.5,1,1
66,20.5,29.5,1,14
98,105.5,-14.5,1,88
98,105.5,-13.5,1,1
115,38.5,-6.5,1,2
133,114.5,-8.5,1,4
201,107.5,-16.5,1,1
214,125.5,6.5,1,1
218,106.5,-14.5,1,30
218,105.5,-15.5,1,40
218,100.5,-13.5,1,1
218,107.5,-15.5,1,5
218,103.5,-15.5,1,1
223,121.5,8.5,1,1
230,39.5,-6.5,1,5
232,48.5,42.5,1,3
242,106.5,-13.5,1,14
242,106.5,-15.5,1,17
242,104.5,-14.5,1,22
242,107.5,-15.5,1,5
264,108.5,-17.5,1,19
264,108.5,-16.5,1,75
264,105.5,-17.5,1,1
265,125.5,6.5,1,1
293,38.5,-6.5,1,2
314,39.5,-6.5,1,5
318,116.5,-7.5,1,210
332,29.5,27.5,1,3
333,125.5,6.5,1,1
364,104.5,-14.5,1,22
364,100.5,-13.5,1,1
364,104.5,-13.5,1,46
364,103.5,-15.5,1,1
372,116.5,-7.5,1,210
381,20.5,29.5,1,14
381,29.5,27.5,1,3
383,125.5,6.5,1,1
399,106.5,-16.5,1,4
399,109.5,-16.5,1,1
399,105.5,-14.5,1,88
399,105.5,-16.5,1,5
399,107.5,-18.5,1,67
399,108.5,-15.5,1,2
399,106.5,-14.5,1,30
399,105.5,-17.5,1,1
447,42.5,-15.5,1,6
456,44.5,40.5,1,1
479,29.5,27.5,1,3
495,112.5,-17.5,1,1
514,100.5,-13.5,1,1
514,106.5,-16.5,1,4
548,21.5,28.5,1,3
558,105.5,-13.5,1,1
558,104.5,-15.5,1,83
558,103.5,-15.5,1,1
558,104.5,-16.5,1,4
558,106.5,-14.5,1,30
558,109.5,-16.5,1,1
558,107.5,-18.5,1,67
558,112.5,-17.5,1,1
558,105.5,-17.5,1,1
584,29.5,26.5,1,8
591,128.5,2.5,1,6
598,106.5,-13.5,1,14
608,104.5,-15.5,1,83
609,51.5,-34.5,1,14
614,104.5,-15.5,1,83
614,105.5,-17.5,1,1
614,107.5,-16.5,1,1
614,105.5,-14.5,1,88
614,108.5,-16.5,1,75
614,108.5,-15.5,1,2
615,105.5,-16.5,1,5
615,104.5,-13.5,1,46
615,106.5,-13.5,1,14
616,114.5,-9.5,1,2
628,100.5,-12.5,1,1
628,104.5,-13.5,1,46
628,105.5,-16.5,1,5
629,103.5,-15.5,1,1
629,116.5,-7.5,1,210
630,116.5,-7.5,1,210
630,112.5,-17.5,1,1
638,116.5,-7.5,1,210
657,121.5,8.5,1,1
668,109.5,-16.5,1,1
675,125.5,6.5,1,1
688,121.5,8.5,1,1
689,125.5,6.5,1,1
696,105.5,-15.5,1,40
705,20.5,29.5,1,14
724,20.5,29.5,1,14
725,42.5,-17.5,1,2
745,106.5,-13.5,1,14
745,108.5,-17.5,1,19
745,109.5,-17.5,1,2
771,42.5,-17.5,1,2
791,114.5,-8.5,1,4
841,116.5,-7.5,1,210
841,108.5,-15.5,1,2
844,121.5,8.5,1,1
855,104.5,-14.5,1,22
855,115.5,-8.5,1,2
855,105.5,-16.5,1,5
874,39.5,-6.5,1,5
874,38.5,-6.5,1,2
881,125.5,6.5,1,1
913,108.5,-17.5,1,19
916,42.5,-15.5,1,6
923,109.5,-17.5,1,2
939,108.5,-15.5,1,2
939,112.5,-17.5,1,1
939,106.5,-15.5,1,17
939,105.5,-14.5,1,88
939,107.5,-15.5,1,5
939,107.5,-16.5,1,1
944,107.5,-18.5,1,67
951,116.5,-7.5,1,210
978,104.5,-14.5,1,22
993,116.5,-7.5,1,210
995,106.5,-16.5,1,4
995,106.5,-13.5,1,14
995,108.5,-15.5,1,2
995,103.5,-15.5,1,1
995,107.5,-16.5,1,1
997,49.5,44.5,1,1
35,114.5,-8.5,2,4
37,121.5,8.5,2,1
47,116.5,-7.5,2,210
85,108.5,-17.5,2,19
97,125.5,6.5,2,1
179,29.5,27.5,2,3
181,121.5,8.5,2,1
198,121.5,8.5,2,1
246,121.5,8.5,2,1
251,105.5,-15.5,2,40
259,104.5,-16.5,2,4
277,29.5,27.5,2,3
285,48.5,38.5,2,2
290,20.5,29.5,2,14
343,114.5,-9.5,2,2
343,115.5,-8.5,2,2
343,114.5,-8.5,2,4
343,116.5,-7.5,2,210
344,121.5,8.5,2,1
355,106.5,-13.5,2,14
355,104.5,-13.5,2,46
355,105.5,-13.5,2,1
355,107.5,-15.5,2,5
355,100.5,-12.5,2,1
360,39.5,-6.5,2,5
374,114.5,-9.5,2,2
376,114.5,-9.5,2,2
392,51.5,-34.5,2,14
448,42.5,-17.5,2,2
460,48.5,41.5,2,1
477,108.5,-18.5,2,1
477,114.5,-8.5,2,4
477,106.5,-13.5,2,14
477,105.5,-17.5,2,1
477,104.5,-16.5,2,4
477,108.5,-17.5,2,19
477,105.5,-16.5,2,5
482,104.5,-16.5,2,4
482,112.5,-17.5,2,1
482,108.5,-16.5,2,75
