"id","x","y","rep","collections"
1,7.5,26.5,1,75
1,13.5,20.5,1,1
7,58.5,-7.5,1,2
20,53.5,36.5,1,2
29,58.5,-7.5,1,2
62,58.5,-7.5,1,2
79,52.5,33.5,1,6
79,40.5,34.5,1,2
79,38.5,38.5,1,1
83,-6.5,28.5,1,3
85,3.5,44.5,1,9
88,-57.5,9.5,1,1
99,7.5,26.5,1,75
110,1.5,34.5,1,1
116,18.5,34.5,1,22
119,40.5,48.5,1,1
134,42.5,38.5,1,4
145,39.5,-26.5,1,1
152,6.5,51.5,1,2
165,53.5,36.5,1,2
165,56.5,34.5,1,1
169,7.5,26.5,1,75
171,28.5,34.5,1,1
174,-21.5,10.5,1,1
182,6.5,51.5,1,2
188,81.5,-5.5,1,1
191,42.5,38.5,1,4
201,40.5,34.5,1,2
202,1.5,36.5,1,6
217,81.5,-5.5,1,1
226,81.5,-5.5,1,1
259,7.5,26.5,1,75
261,1.5,36.5,1,6
262,-6.5,25.5,1,9
264,81.5,-5.5,1,1
277,-21.5,10.5,1,1
282,-65.5,32.5,1,7
287,7.5,39.5,1,1
294,-154.5,-57.5,1,48
303,45.5,38.5,1,2
303,42.5,38.5,1,4
313,58.5,-7.5,1,2
324,81.5,-5.5,1,1
326,38.5,40.5,1,2
326,45.5,38.5,1,2
326,42.5,38.5,1,4
326,40.5,34.5,1,2
339,26.5,13.5,1,15
350,39.5,-26.5,1,1
364,81.5,-5.5,1,1
366,-21.5,10.5,1,1
369,13.5,39.5,1,6
385,10.5,49.5,1,38
389,42.5,38.5,1,4
392,-57.5,9.5,1,1
393,-6.5,25.5,1,9
397,3.5,44.5,1,9
406,58.5,-7.5,1,2
412,40.5,48.5,1,1
416,39.5,-26.5,1,1
424,25.5,28.5,1,1
429,-75.5,21.5,1,2
449,56.5,34.5,1,1
450,-64.5,34.5,1,88
454,-20.5,62.5,1,6
471,25.5,28.5,1,1
481,-57.5,9.5,1,1
484,52.5,33.5,1,6
484,53.5,36.5,1,2
489,-75.5,21.5,1,2
497,-6.5,28.5,1,3
513,-57.5,9.5,1,1
519,1.5,34.5,1,1
520,13.5,39.5,1,6
529,-6.5,28.5,1,3
539,7.5,26.5,1,75
566,-21.5,10.5,1,1
568,56.5,34.5,1,1
569,58.5,-7.5,1,2
582,26.5,13.5,1,15
590,58.5,-7.5,1,2
600,41.5,43.5,1,1
606,-21.5,10.5,1,1
608,-57.5,9.5,1,1
609,13.5,39.5,1,6
609,1.5,34.5,1,1
610,81.5,-5.5,1,1
612,81.5,-5.5,1,1
616,39.5,-26.5,1,1
622,-60.5,34.5,1,4
622,-64.5,34.5,1,88
630,25.5,28.5,1,1
633,30.5,45.5,1,1
649,-21.5,10.5,1,1
657,13.5,39.5,1,6
659,13.5,20.5,1,1
666,-6.5,25.5,1,9
683,39.5,-26.5,1,1
684,-57.5,9.5,1,1
689,-57.5,9.5,1,1
693,41.5,45.5,1,1
716,41.5,43.5,1,1
716,41.5,45.5,1,1
718,-57.5,9.5,1,1
730,40.5,34.5,1,2
732,25.5,28.5,1,1
735,56.5,34.5,1,1
736,49.5,38.5,1,2
762,-21.5,10.5,1,1
773,81.5,-5.5,1,1
778,-57.5,9.5,1,1
786,-51.5,40.5,1,23
813,-6.5,28.5,1,3
818,-57.5,9.5,1,1
823,58.5,-7.5,1,2
832,-57.5,33.5,1,7
842,-6.5,28.5,1,3
843,-72.5,36.5,1,1
846,10.5,49.5,1,38
851,40.5,34.5,1,2
851,53.5,36.5,1,2
905,-21.5,10.5,1,1
923,13.5,20.5,1,1
927,1.5,34.5,1,1
930,81.5,-5.5,1,1
975,-21.5,10.5,1,1
984,58.5,-7.5,1,2
990,-60.5,34.5,1,4
990,-57.5,33.5,1,7
5,7.5,26.5,2,75
7,26.5,13.5,2,15
16,26.5,13.5,2,15
17,28.5,34.5,2,1
43,-65.5,32.5,2,7
56,41.5,45.5,2,1
56,48.5,41.5,2,8
65,58.5,-7.5,2,2
72,58.5,-7.5,2,2
77,-21.5,10.5,2,1
80,31.5,40.5,2,22
87,-65.5,32.5,2,7
100,7.5,26.5,2,75
100,1.5,36.5,2,6
112,18.5,34.5,2,22
129,-21.5,10.5,2,1
130,40.5,48.5,2,1
131,-6.5,28.5,2,3
145,-6.5,25.5,2,9
163,17.5,44.5,2,1
171,26.5,13.5,2,15
191,18.5,34.5,2,22
197,13.5,20.5,2,1
201,-72.5,36.5,2,1
