"id","x","y","rep","collections"
1,133.5,14.5,1,71
12,-41.5,26.5,1,1
13,18.5,12.5,1,5
19,39.5,-18.5,1,2
25,20.5,10.5,1,6
25,19.5,8.5,1,1
29,54.5,-3.5,1,19
30,111.5,-2.5,1,1
40,120.5,10.5,1,93
40,121.5,8.5,1,225
40,120.5,13.5,1,54
47,133.5,14.5,1,71
51,130.5,14.5,1,10
52,39.5,-18.5,1,2
60,-40.5,31.5,1,2
65,130.5,14.5,1,10
65,123.5,15.5,1,5
65,120.5,13.5,1,54
65,127.5,8.5,1,1
93,39.5,-18.5,1,2
98,124.5,5.5,1,19
104,150.5,22.5,1,1
108,-41.5,26.5,1,1
108,-42.5,18.5,1,38
108,-47.5,15.5,1,20
110,21.5,12.5,1,1
117,121.5,8.5,1,225
118,54.5,-3.5,1,19
122,73.5,-31.5,1,11
128,133.5,14.5,1,71
129,127.5,13.5,1,9
129,130.5,14.5,1,10
129,120.5,13.5,1,54
129,133.5,14.5,1,71
129,123.5,15.5,1,5
132,103.5,41.5,1,14
133,52.5,-4.5,1,5
133,54.5,-3.5,1,19
133,52.5,-2.5,1,49
136,18.5,12.5,1,5
138,89.5,3.5,1,7
143,-8.5,46.5,1,5
145,89.5,3.5,1,7
150,75.5,-29.5,1,20
151,54.5,-3.5,1,19
156,-41.5,20.5,1,26
157,21.5,12.5,1,1
158,19.5,8.5,1,1
160,52.5,-2.5,1,49
161,47.5,-15.5,1,25
164,76.5,-33.5,1,5
167,127.5,13.5,1,9
167,127.5,8.5,1,1
173,-57.5,30.5,1,3
177,-7.5,47.5,1,1
177,-10.5,47.5,1,54
186,89.5,3.5,1,7
189,-47.5,15.5,1,20
192,122.5,29.5,1,12
193,-41.5,26.5,1,1
193,-41.5,20.5,1,26
194,54.5,-3.5,1,19
198,124.5,5.5,1,19
200,70.5,-24.5,1,76
202,119.5,-6.5,1,1
209,120.5,10.5,1,93
212,70.5,-24.5,1,76
223,44.5,47.5,1,5
225,-40.5,31.5,1,2
231,5.5,38.5,1,319
233,119.5,-6.5,1,1
234,-0.5,68.5,1,1
236,76.5,-33.5,1,5
240,119.5,-6.5,1,1
240,119.5,30.5,1,10
240,124.5,10.5,1,14
243,21.5,12.5,1,1
252,127.5,8.5,1,1
260,124.5,10.5,1,14
263,133.5,14.5,1,71
265,111.5,-2.5,1,1
267,66.5,-31.5,1,1
267,75.5,-29.5,1,20
268,124.5,8.5,1,15
268,124.5,10.5,1,14
268,124.5,5.5,1,19
272,-41.5,20.5,1,26
278,76.5,-33.5,1,5
278,75.5,-29.5,1,20
282,-40.5,35.5,1,31
284,52.5,-4.5,1,5
285,-47.5,15.5,1,20
296,39.5,-18.5,1,2
296,47.5,-15.5,1,25
298,111.5,-2.5,1,1
306,124.5,10.5,1,14
323,5.5,36.5,1,1
328,124.5,8.5,1,15
328,122.5,29.5,1,12
329,32.5,-46.5,1,2
332,127.5,8.5,1,1
338,78.5,10.5,1,2
338,81.5,10.5,1,2
341,24.5,24.5,1,189
343,121.5,5.5,1,13
345,127.5,13.5,1,9
349,121.5,8.5,1,225
371,76.5,-33.5,1,5
374,78.5,10.5,1,2
382,40.5,44.5,1,2
387,39.5,-18.5,1,2
388,78.5,10.5,1,2
389,127.5,13.5,1,9
390,103.5,41.5,1,14
395,89.5,3.5,1,7
398,120.5,10.5,1,93
398,124.5,5.5,1,19
403,39.5,-18.5,1,2
411,-42.5,18.5,1,38
412,18.5,12.5,1,5
412,19.5,8.5,1,1
419,-47.5,15.5,1,20
422,126.5,16.5,1,1
424,21.5,12.5,1,1
431,76.5,-33.5,1,5
432,133.5,14.5,1,71
432,130.5,14.5,1,10
432,126.5,16.5,1,1
442,81.5,10.5,1,2
442,78.5,10.5,1,2
443,52.5,-4.5,1,5
445,122.5,29.5,1,12
446,111.5,-2.5,1,1
449,121.5,5.5,1,13
449,121.5,8.5,1,225
453,120.5,10.5,1,93
453,123.5,15.5,1,5
453,124.5,10.5,1,14
453,121.5,8.5,1,225
455,89.5,3.5,1,7
456,133.5,14.5,1,71
457,120.5,13.5,1,54
457,121.5,5.5,1,13
457,120.5,10.5,1,93
460,81.5,10.5,1,2
460,78.5,10.5,1,2
470,34.5,24.5,1,1
475,89.5,3.5,1,7
498,91.5,-48.5,1,11
499,-40.5,35.5,1,31
505,-41.5,26.5,1,1
524,21.5,12.5,1,1
534,127.5,8.5,1,1
539,-57.5,30.5,1,3
541,-47.5,15.5,1,20
543,24.5,24.5,1,189
546,119.5,-6.5,1,1
550,52.5,-4.5,1,5
560,127.5,8.5,1,1
560,121.5,8.5,1,225
563,119.5,-6.5,1,1
572,52.5,-2.5,1,49
578,123.5,15.5,1,5
578,133.5,14.5,1,71
578,123.5,13.5,1,117
578,124.5,8.5,1,15
578,120.5,10.5,1,93
584,127.5,8.5,1,1
592,28.5,27.5,1,21
597,77.5,-37.5,1,16
597,73.5,-31.5,1,11
609,52.5,-4.5,1,5
609,52.5,-2.5,1,49
611,121.5,8.5,1,225
611,121.5,5.5,1,13
614,-39.5,28.5,1,2
614,-42.5,18.5,1,38
615,76.5,-33.5,1,5
617,121.5,5.5,1,13
617,124.5,5.5,1,19
622,54.5,-3.5,1,19
624,38.5,-37.5,1,17
631,124.5,5.5,1,19
631,126.5,16.5,1,1
632,21.5,12.5,1,1
636,122.5,29.5,1,12
637,18.5,12.5,1,5
643,89.5,3.5,1,7
652,121.5,5.5,1,13
654,150.5,22.5,1,1
657,119.5,-6.5,1,1
659,127.5,8.5,1,1
659,123.5,13.5,1,117
659,127.5,13.5,1,9
665,54.5,-3.5,1,19
667,124.5,8.5,1,15
667,127.5,8.5,1,1
667,124.5,10.5,1,14
675,120.5,13.5,1,54
678,52.5,-4.5,1,5
679,5.5,36.5,1,1
683,124.5,10.5,1,14
685,78.5,10.5,1,2
685,81.5,10.5,1,2
687,75.5,-29.5,1,20
687,73.5,-31.5,1,11
693,127.5,8.5,1,1
693,111.5,-2.5,1,1
693,119.5,-6.5,1,1
693,121.5,8.5,1,225
697,123.5,15.5,1,5
697,120.5,13.5,1,54
707,-47.5,15.5,1,20
711,89.5,3.5,1,7
713,39.5,-18.5,1,2
718,-57.5,30.5,1,3
726,123.5,13.5,1,117
726,123.5,15.5,1,5
732,133.5,14.5,1,71
748,124.5,8.5,1,15
750,126.5,16.5,1,1
754,127.5,8.5,1,1
759,133.5,14.5,1,71
767,-40.5,35.5,1,31
769,20.5,28.5,1,9
771,120.5,10.5,1,93
771,121.5,8.5,1,225
771,121.5,5.5,1,13
785,-40.5,35.5,1,31
788,111.5,-2.5,1,1
793,126.5,16.5,1,1
796,119.5,-6.5,1,1
797,20.5,28.5,1,9
799,124.5,10.5,1,14
800,39.5,-18.5,1,2
809,124.5,5.5,1,19
809,127.5,8.5,1,1
809,121.5,8.5,1,225
814,34.5,24.5,1,1
820,133.5,14.5,1,71
820,123.5,15.5,1,5
820,120.5,13.5,1,54
820,124.5,10.5,1,14
821,70.5,-24.5,1,76
823,20.5,10.5,1,6
823,21.5,12.5,1,1
823,19.5,8.5,1,1
829,119.5,-6.5,1,1
835,70.5,-24.5,1,76
836,34.5,24.5,1,1
837,78.5,10.5,1,2
839,52.5,-4.5,1,5
840,123.5,15.5,1,5
844,127.5,13.5,1,9
851,66.5,-31.5,1,1
854,124.5,5.5,1,19
854,124.5,8.5,1,15
870,130.5,14.5,1,10
872,39.5,-18.5,1,2
897,28.5,27.5,1,21
898,52.5,-4.5,1,5
898,52.5,-2.5,1,49
898,54.5,-3.5,1,19
899,130.5,14.5,1,10
913,0.5,47.5,1,73
926,-41.5,20.5,1,26
926,-42.5,18.5,1,38
930,124.5,5.5,1,19
938,75.5,-29.5,1,20
943,21.5,12.5,1,1
943,18.5,12.5,1,5
946,126.5,16.5,1,1
962,124.5,10.5,1,14
962,127.5,8.5,1,1
962,127.5,13.5,1,9
971,34.5,24.5,1,1
975,-42.5,18.5,1,38
979,78.5,10.5,1,2
985,124.5,10.5,1,14
991,-40.5,35.5,1,31
994,81.5,10.5,1,2
994,78.5,10.5,1,2
3,124.5,5.5,2,19
15,-41.5,20.5,2,26
15,-40.5,35.5,2,31
23,127.5,8.5,2,1
23,127.5,13.5,2,9
27,121.5,8.5,2,225
29,121.5,8.5,2,225
29,124.5,5.5,2,19
47,78.5,10.5,2,2
50,18.5,12.5,2,5
50,20.5,10.5,2,6
56,81.5,10.5,2,2
57,133.5,14.5,2,71
63,39.5,-18.5,2,2
66,124.5,10.5,2,14
66,130.5,14.5,2,10
66,127.5,13.5,2,9
68,-40.5,31.5,2,2
75,-39.5,28.5,2,2
75,-47.5,15.5,2,20
76,33.5,45.5,2,7
77,-47.5,15.5,2,20
