"id","x","y","rep","collections"
9,120.5,-7.5,1,7
9,124.5,-6.5,1,3
9,121.5,-5.5,1,2
9,122.5,-7.5,1,1
9,125.5,-8.5,1,1
21,35.5,37.5,1,16
21,35.5,39.5,1,7
25,83.5,-34.5,1,1
29,126.5,-7.5,1,1
29,125.5,-7.5,1,1
56,36.5,37.5,1,3
56,37.5,36.5,1,35
56,36.5,35.5,1,1
56,38.5,38.5,1,2
56,37.5,34.5,1,28
56,37.5,35.5,1,7
56,38.5,35.5,1,54
56,38.5,36.5,1,1
56,39.5,37.5,1,2
56,37.5,38.5,1,66
56,38.5,37.5,1,6
67,124.5,-9.5,1,1
67,125.5,-11.5,1,1
67,121.5,-12.5,1,12
68,138.5,14.5,1,5
68,128.5,-6.5,1,2
68,119.5,-8.5,1,1
69,30.5,37.5,1,13
69,46.5,28.5,1,4
69,39.5,32.5,1,2
69,38.5,35.5,1,54
80,-45.5,-32.5,1,1
88,135.5,11.5,1,3
88,134.5,12.5,1,1
117,46.5,27.5,1,2
117,46.5,28.5,1,4
117,45.5,28.5,1,22
123,138.5,14.5,1,5
126,120.5,-6.5,1,1
126,125.5,-5.5,1,2
126,120.5,-7.5,1,7
126,116.5,-7.5,1,1
126,119.5,-5.5,1,1
127,33.5,37.5,1,1
127,30.5,37.5,1,13
127,35.5,37.5,1,16
127,37.5,37.5,1,40
128,5.5,35.5,1,1
128,5.5,37.5,1,2
131,-28.5,-63.5,1,1
133,19.5,2.5,1,14
133,20.5,2.5,1,4
138,44.5,29.5,1,32
138,45.5,28.5,1,22
138,43.5,29.5,1,1
138,45.5,29.5,1,3
138,46.5,28.5,1,4
141,40.5,33.5,1,1
141,39.5,32.5,1,2
141,39.5,33.5,1,10
141,39.5,34.5,1,1
152,20.5,2.5,1,4
169,39.5,32.5,1,2
171,128.5,13.5,1,2
176,83.5,-34.5,1,1
180,39.5,22.5,1,3
180,42.5,24.5,1,1
186,29.5,37.5,1,1
186,34.5,36.5,1,1
186,30.5,37.5,1,13
186,33.5,37.5,1,1
187,135.5,12.5,1,23
194,127.5,-5.5,1,1
194,128.5,-5.5,1,1
196,121.5,-10.5,1,5
196,122.5,-11.5,1,5
225,40.5,31.5,1,2
225,36.5,37.5,1,3
227,95.5,34.5,1,1
229,127.5,-5.5,1,1
253,121.5,-5.5,1,2
253,120.5,-5.5,1,9
253,120.5,-7.5,1,7
254,96.5,-36.5,1,2
254,95.5,-37.5,1,1
255,125.5,-7.5,1,1
255,126.5,-7.5,1,1
262,128.5,-5.5,1,1
264,20.5,2.5,1,4
274,41.5,30.5,1,5
280,42.5,24.5,1,1
280,39.5,37.5,1,2
283,124.5,-5.5,1,1
283,123.5,-6.5,1,11
283,127.5,-5.5,1,1
283,120.5,-6.5,1,1
283,119.5,-5.5,1,1
283,120.5,-4.5,1,2
283,123.5,-7.5,1,6
283,122.5,-7.5,1,1
283,128.5,-5.5,1,1
283,124.5,-6.5,1,3
286,95.5,-37.5,1,1
286,96.5,-36.5,1,2
294,118.5,-8.5,1,4
296,124.5,-11.5,1,38
296,124.5,-9.5,1,1
297,123.5,-7.5,1,6
314,100.5,-35.5,1,5
321,5.5,37.5,1,2
325,125.5,-5.5,1,2
325,128.5,13.5,1,2
325,122.5,-11.5,1,5
330,5.5,35.5,1,1
333,121.5,-12.5,1,12
340,135.5,12.5,1,23
343,55.5,-39.5,1,1
346,122.5,-12.5,1,3
353,20.5,2.5,1,4
