"id","x","y","rep","collections"
4,75.5,-15.5,1,18
11,20.5,18.5,1,4
18,29.5,32.5,1,1
18,27.5,31.5,1,9
27,22.5,19.5,1,1
40,26.5,26.5,1,2
40,30.5,27.5,1,2
40,28.5,27.5,1,1
40,26.5,27.5,1,1
40,25.5,27.5,1,3
40,27.5,27.5,1,4
50,-53.5,34.5,1,1
68,74.5,-14.5,1,1
68,75.5,-15.5,1,18
72,20.5,18.5,1,4
130,24.5,13.5,1,2
130,24.5,14.5,1,1
134,120.5,7.5,1,1
138,83.5,37.5,1,2
144,38.5,-1.5,1,6
149,43.5,-10.5,1,2
153,30.5,27.5,1,2
153,25.5,27.5,1,3
170,27.5,27.5,1,4
200,108.5,-6.5,1,1
227,-53.5,34.5,1,1
250,43.5,-10.5,1,2
251,55.5,-35.5,1,1
269,43.5,-13.5,1,1
269,43.5,-10.5,1,2
274,38.5,-1.5,1,6
277,1.5,55.5,1,3
290,27.5,27.5,1,4
290,27.5,28.5,1,2
290,28.5,27.5,1,1
318,20.5,18.5,1,4
336,38.5,-1.5,1,6
348,20.5,17.5,1,1
357,34.5,16.5,1,4
357,25.5,27.5,1,3
357,34.5,30.5,1,2
357,35.5,17.5,1,4
357,27.5,31.5,1,9
357,33.5,17.5,1,9
357,34.5,31.5,1,2
370,43.5,-10.5,1,2
376,43.5,-10.5,1,2
381,-54.5,34.5,1,1
385,108.5,-3.5,1,1
402,-53.5,34.5,1,1
433,28.5,27.5,1,1
433,30.5,27.5,1,2
436,34.5,18.5,1,1
436,34.5,31.5,1,2
479,39.5,13.5,1,10
480,74.5,-14.5,1,1
512,75.5,-15.5,1,18
517,43.5,-13.5,1,1
529,43.5,-13.5,1,1
531,33.5,18.5,1,11
560,30.5,27.5,1,2
560,27.5,28.5,1,2
561,75.5,-15.5,1,18
561,74.5,-16.5,1,2
561,43.5,-13.5,1,1
590,108.5,-8.5,1,2
590,110.5,-7.5,1,1
590,109.5,-8.5,1,1
595,20.5,17.5,1,1
605,120.5,7.5,1,1
616,20.5,17.5,1,1
616,31.5,11.5,1,2
619,110.5,-7.5,1,1
625,27.5,28.5,1,2
636,24.5,14.5,1,1
636,26.5,27.5,1,1
642,-53.5,34.5,1,1
643,43.5,28.5,1,4
645,-34.5,40.5,1,4
645,-33.5,41.5,1,1
649,43.5,-13.5,1,1
654,38.5,-1.5,1,6
657,20.5,18.5,1,4
660,31.5,11.5,1,2
702,120.5,7.5,1,1
753,110.5,-8.5,1,1
759,107.5,-7.5,1,2
759,106.5,-12.5,1,2
759,110.5,-6.5,1,1
759,108.5,-8.5,1,2
763,43.5,-13.5,1,1
776,43.5,29.5,1,2
777,20.5,18.5,1,4
796,120.5,7.5,1,1
804,108.5,-3.5,1,1
819,109.5,-8.5,1,1
837,24.5,14.5,1,1
846,20.5,17.5,1,1
862,20.5,17.5,1,1
870,25.5,27.5,1,3
882,24.5,14.5,1,1
882,20.5,17.5,1,1
885,34.5,16.5,1,4
891,43.5,-10.5,1,2
895,25.5,27.5,1,3
912,108.5,-6.5,1,1
913,109.5,-7.5,1,1
921,43.5,-13.5,1,1
925,-34.5,42.5,1,8
938,110.5,-7.5,1,1
966,108.5,-7.5,1,5
968,20.5,17.5,1,1
974,74.5,-16.5,1,2
3,43.5,-13.5,2,1
10,34.5,31.5,2,2
10,34.5,30.5,2,2
13,-54.5,34.5,2,1
14,74.5,-16.5,2,2
19,-40.5,31.5,2,1
42,43.5,-13.5,2,1
42,43.5,-10.5,2,2
46,120.5,7.5,2,1
56,24.5,13.5,2,2
63,43.5,-13.5,2,1
63,43.5,-10.5,2,2
67,110.5,-6.5,2,1
67,109.5,-7.5,2,1
67,107.5,-7.5,2,2
68,43.5,-13.5,2,1
115,34.5,31.5,2,2
121,74.5,-16.5,2,2
124,74.5,-16.5,2,2
143,109.5,-7.5,2,1
145,-54.5,34.5,2,1
154,75.5,-15.5,2,18
174,43.5,-10.5,2,2
201,24.5,14.5,2,1
201,22.5,19.5,2,1
202,74.5,-16.5,2,2
208,110.5,-8.5,2,1
208,108.5,-6.5,2,1
238,20.5,18.5,2,4
248,37.5,13.5,2,20
258,106.5,-12.5,2,2
269,28.5,28.5,2,1
269,28.5,27.5,2,1
274,110.5,-6.5,2,1
288,75.5,-15.5,2,18
288,74.5,-14.5,2,1
312,27.5,28.5,2,2
312,28.5,31.5,2,15
312,28.5,27.5,2,1
325,35.5,16.5,2,89
325,34.5,30.5,2,2
325,29.5,32.5,2,1
325,37.5,12.5,2,1
333,30.5,27.5,2,2
333,34.5,17.5,2,14
337,74.5,-14.5,2,1
339,32.5,16.5,2,5
352,104.5,-12.5,2,1
380,109.5,-7.5,2,1
380,108.5,-7.5,2,5
380,108.5,-3.5,2,1
392,105.5,-12.5,2,7
408,-54.5,34.5,2,1
408,-53.5,34.5,2,1
415,110.5,19.5,2,1
416,75.5,-15.5,2,18
426,25.5,31.5,2,1
449,74.5,-14.5,2,1
460,-34.5,42.5,2,8
461,108.5,-6.5,2,1
482,74.5,-14.5,2,1
487,43.5,29.5,2,2
488,107.5,-8.5,2,1
518,24.5,13.5,2,2
518,20.5,17.5,2,1
527,27.5,27.5,2,4
527,28.5,28.5,2,1
549,17.5,56.5,2,3
549,17.5,57.5,2,17
565,20.5,18.5,2,4
576,28.5,27.5,2,1
576,28.5,31.5,2,15
576,26.5,31.5,2,1
576,27.5,27.5,2,4
576,27.5,31.5,2,9
576,26.5,27.5,2,1
576,27.5,28.5,2,2
578,43.5,-13.5,2,1
599,74.5,-16.5,2,2
623,20.5,18.5,2,4
624,20.5,18.5,2,4
626,108.5,-3.5,2,1
626,107.5,-9.5,2,2
636,74.5,-14.5,2,1
668,25.5,31.5,2,1
681,36.5,12.5,2,2
682,107.5,-8.5,2,1
682,108.5,-6.5,2,1
688,20.5,17.5,2,1
689,108.5,-22.5,2,1
710,43.5,-13.5,2,1
712,43.5,-10.5,2,2
716,22.5,19.5,2,1
768,43.5,-10.5,2,2
774,74.5,-14.5,2,1
775,20.5,17.5,2,1
804,107.5,-8.5,2,1
810,27.5,28.5,2,2
810,26.5,31.5,2,1
812,38.5,-1.5,2,6
832,75.5,-15.5,2,18
834,22.5,19.5,2,1
834,28.5,27.5,2,1
842,36.5,10.5,2,1
874,24.5,14.5,2,1
889,34.5,31.5,2,2
899,112.5,-9.5,2,1
908,-54.5,34.5,2,1
909,109.5,-7.5,2,1
911,39.5,13.5,2,10
916,20.5,18.5,2,4
917,22.5,19.5,2,1
917,20.5,17.5,2,1
919,24.5,13.5,2,2
919,22.5,19.5,2,1
922,120.5,7.5,2,1
932,38.5,-1.5,2,6
939,38.5,-1.5,2,6
959,134.5,6.5,2,1
959,120.5,7.5,2,1
960,43.5,-10.5,2,2
964,28.5,31.5,2,15
964,28.5,28.5,2,1
964,26.5,27.5,2,1
