"id","x","y","rep","collections"
83,18.5,44.5,1,3
100,136.5,38.5,1,1
100,140.5,42.5,1,1
100,138.5,44.5,1,2
117,140.5,42.5,1,1
118,121.5,-0.5,1,1
121,15.5,-32.5,1,1
141,121.5,0.5,1,2
141,120.5,-0.5,1,1
154,40.5,37.5,1,4
168,11.5,41.5,1,1
174,-76.5,25.5,1,2
190,6.5,43.5,1,1
231,121.5,0.5,1,2
231,120.5,-0.5,1,1
259,2.5,41.5,1,4
260,144.5,-46.5,1,6
285,129.5,34.5,1,5
292,37.5,42.5,1,2
293,121.5,0.5,1,2
293,121.5,-0.5,1,1
293,120.5,-0.5,1,1
306,-70.5,38.5,1,1
306,-70.5,39.5,1,10
327,121.5,-0.5,1,1
327,121.5,0.5,1,2
344,134.5,36.5,1,7
344,133.5,35.5,1,3
344,135.5,36.5,1,1
354,37.5,42.5,1,2
354,25.5,42.5,1,3
354,25.5,43.5,1,1
366,121.5,0.5,1,2
366,121.5,-0.5,1,1
384,22.5,47.5,1,7
384,19.5,44.5,1,1
386,121.5,-0.5,1,1
386,121.5,0.5,1,2
386,120.5,-0.5,1,1
400,148.5,-45.5,1,1
413,120.5,-0.5,1,1
437,10.5,41.5,1,7
437,11.5,41.5,1,1
442,-76.5,25.5,1,2
452,121.5,-0.5,1,1
481,129.5,34.5,1,5
483,145.5,-46.5,1,7
483,147.5,-46.5,1,5
484,120.5,-0.5,1,1
495,120.5,-0.5,1,1
495,121.5,0.5,1,2
508,121.5,-0.5,1,1
508,120.5,-0.5,1,1
522,149.5,-44.5,1,1
522,147.5,-46.5,1,5
522,146.5,-46.5,1,2
522,148.5,-45.5,1,1
522,145.5,-46.5,1,7
523,121.5,-0.5,1,1
530,120.5,-0.5,1,1
531,121.5,-0.5,1,1
538,17.5,45.5,1,2
585,134.5,36.5,1,7
585,138.5,44.5,1,2
585,138.5,38.5,1,13
596,121.5,-0.5,1,1
596,120.5,-0.5,1,1
632,138.5,40.5,1,5
632,131.5,34.5,1,7
645,145.5,-46.5,1,7
645,144.5,-46.5,1,6
667,120.5,-0.5,1,1
667,121.5,-0.5,1,1
671,15.5,-32.5,1,1
697,-76.5,25.5,1,2
747,-175.5,-46.5,1,1
761,134.5,37.5,1,1
769,-76.5,25.5,1,2
825,120.5,-0.5,1,1
840,10.5,41.5,1,7
840,25.5,43.5,1,1
861,121.5,0.5,1,2
861,120.5,-0.5,1,1
861,121.5,-0.5,1,1
906,135.5,37.5,1,1
924,120.5,-0.5,1,1
933,18.5,47.5,1,1
933,19.5,44.5,1,1
938,138.5,37.5,1,2
940,133.5,35.5,1,3
972,135.5,37.5,1,1
972,135.5,36.5,1,1
972,134.5,37.5,1,1
972,138.5,38.5,1,13
972,136.5,36.5,1,2
10,25.5,43.5,2,1
10,25.5,42.5,2,3
37,-76.5,25.5,2,2
57,136.5,36.5,2,2
57,133.5,35.5,2,3
94,-76.5,25.5,2,2
113,2.5,41.5,2,4
113,0.5,41.5,2,3
114,134.5,37.5,2,1
114,134.5,36.5,2,7
114,135.5,37.5,2,1
114,131.5,34.5,2,7
114,133.5,35.5,2,3
114,136.5,36.5,2,2
114,130.5,35.5,2,1
114,136.5,38.5,2,1
114,135.5,36.5,2,1
136,121.5,-0.5,2,1
147,-68.5,39.5,2,1
147,-70.5,38.5,2,1
160,134.5,36.5,2,7
160,136.5,36.5,2,2
170,40.5,37.5,2,4
199,25.5,43.5,2,1
199,17.5,45.5,2,2
199,18.5,44.5,2,3
204,11.5,41.5,2,1
232,49.5,37.5,2,2
232,40.5,37.5,2,4
242,131.5,34.5,2,7
242,134.5,37.5,2,1
242,136.5,36.5,2,2
242,130.5,34.5,2,8
242,141.5,43.5,2,1
245,121.5,0.5,2,2
264,121.5,-0.5,2,1
265,144.5,-46.5,2,6
317,0.5,41.5,2,3
325,148.5,-45.5,2,1
369,121.5,-0.5,2,1
369,121.5,0.5,2,2
381,121.5,-0.5,2,1
388,-76.5,25.5,2,2
442,121.5,-0.5,2,1
452,121.5,-0.5,2,1
494,146.5,-46.5,2,2
506,40.5,37.5,2,4
513,148.5,-45.5,2,1
523,138.5,37.5,2,2
554,36.5,42.5,2,1
562,-69.5,39.5,2,22
564,131.5,34.5,2,7
564,130.5,35.5,2,1
575,121.5,0.5,2,2
582,15.5,-32.5,2,1
585,140.5,42.5,2,1
697,49.5,37.5,2,2
707,148.5,-45.5,2,1
710,11.5,41.5,2,1
714,133.5,35.5,2,3
714,136.5,38.5,2,1
714,135.5,37.5,2,1
714,137.5,38.5,2,1
714,134.5,37.5,2,1
736,121.5,0.5,2,2
745,136.5,36.5,2,2
746,19.5,44.5,2,1
746,17.5,45.5,2,2
746,25.5,42.5,2,3
746,11.5,41.5,2,1
747,15.5,-32.5,2,1
749,15.5,-32.5,2,1
755,40.5,37.5,2,4
759,0.5,41.5,2,3
771,-69.5,39.5,2,22
775,15.5,-32.5,2,1
806,-68.5,39.5,2,1
808,149.5,-44.5,2,1
810,121.5,-0.5,2,1
810,120.5,-0.5,2,1
863,121.5,0.5,2,2
863,120.5,-0.5,2,1
875,40.5,37.5,2,4
910,-76.5,25.5,2,2
945,-69.5,39.5,2,22
945,-70.5,38.5,2,1
945,-70.5,39.5,2,10
945,-68.5,39.5,2,1
956,120.5,-0.5,2,1
966,130.5,35.5,2,1
976,40.5,37.5,2,4
17,120.5,-0.5,3,1
17,121.5,-0.5,3,1
17,121.5,0.5,3,2
24,15.5,-32.5,3,1
54,121.5,-0.5,3,1
74,18.5,45.5,3,1
98,138.5,40.5,3,5
98,138.5,38.5,3,13
98,137.5,39.5,3,1
111,121.5,0.5,3,2
155,120.5,-0.5,3,1
185,129.5,-41.5,3,1
193,49.5,37.5,3,2
197,130.5,35.5,3,1
231,0.5,41.5,3,3
243,-76.5,25.5,3,2
254,121.5,-0.5,3,1
254,121.5,0.5,3,2
270,-76.5,25.5,3,2
293,10.5,41.5,3,7
293,19.5,44.5,3,1
308,121.5,0.5,3,2
308,121.5,-0.5,3,1
308,120.5,-0.5,3,1
311,148.5,-45.5,3,1
311,129.5,-41.5,3,1
320,10.5,41.5,3,7
322,121.5,0.5,3,2
347,-70.5,38.5,3,1
353,-69.5,39.5,3,22
353,-68.5,39.5,3,1
406,137.5,37.5,3,1
406,138.5,37.5,3,2
406,130.5,35.5,3,1
406,128.5,33.5,3,1
416,130.5,35.5,3,1
416,138.5,44.5,3,2
416,128.5,33.5,3,1
416,138.5,40.5,3,5
416,129.5,34.5,3,5
416,130.5,34.5,3,8
416,134.5,36.5,3,7
416,136.5,38.5,3,1
420,130.5,35.5,3,1
420,133.5,35.5,3,3
420,129.5,34.5,3,5
431,-70.5,39.5,3,10
436,-76.5,25.5,3,2
440,120.5,-0.5,3,1
440,121.5,-0.5,3,1
461,-76.5,25.5,3,2
479,120.5,-0.5,3,1
479,121.5,0.5,3,2
479,121.5,-0.5,3,1
487,121.5,0.5,3,2
502,-76.5,25.5,3,2
547,134.5,36.5,3,7
547,130.5,35.5,3,1
550,11.5,41.5,3,1
562,121.5,-0.5,3,1
600,15.5,-32.5,3,1
602,15.5,-32.5,3,1
614,49.5,37.5,3,2
616,121.5,0.5,3,2
627,11.5,41.5,3,1
627,2.5,41.5,3,4
627,0.5,41.5,3,3
634,-70.5,38.5,3,1
634,-69.5,39.5,3,22
634,-76.5,25.5,3,2
634,-70.5,39.5,3,10
641,17.5,45.5,3,2
653,36.5,42.5,3,1
653,37.5,42.5,3,2
661,6.5,43.5,3,1
662,137.5,39.5,3,1
662,137.5,38.5,3,1
666,6.5,43.5,3,1
682,40.5,37.5,3,4
683,49.5,37.5,3,2
685,120.5,-0.5,3,1
690,148.5,-45.5,3,1
696,-68.5,39.5,3,1
759,121.5,-0.5,3,1
811,120.5,-0.5,3,1
816,121.5,0.5,3,2
816,121.5,-0.5,3,1
872,2.5,41.5,3,4
878,15.5,-32.5,3,1
887,121.5,0.5,3,2
919,121.5,-0.5,3,1
953,120.5,-0.5,3,1
979,6.5,43.5,3,1
983,121.5,-0.5,3,1
996,121.5,-0.5,3,1
996,121.5,0.5,3,2
996,120.5,-0.5,3,1
12,-68.5,39.5,4,1
14,15.5,-32.5,4,1
16,25.5,43.5,4,1
16,25.5,42.5,4,3
16,22.5,47.5,4,7
21,15.5,-32.5,4,1
29,-76.5,25.5,4,2
32,49.5,37.5,4,2
33,146.5,-46.5,4,2
38,121.5,0.5,4,2
47,144.5,-46.5,4,6
47,147.5,-46.5,4,5
47,148.5,-45.5,4,1
71,15.5,-32.5,4,1
76,-70.5,38.5,4,1
124,129.5,-41.5,4,1
126,121.5,-0.5,4,1
138,10.5,41.5,4,7
144,129.5,-41.5,4,1
144,146.5,-46.5,4,2
166,11.5,41.5,4,1
170,121.5,0.5,4,2
190,121.5,0.5,4,2
198,121.5,0.5,4,2
200,-76.5,25.5,4,2
213,128.5,33.5,4,1
236,131.5,34.5,4,7
248,2.5,41.5,4,4
248,6.5,43.5,4,1
251,-76.5,25.5,4,2
287,37.5,42.5,4,2
287,19.5,44.5,4,1
297,49.5,37.5,4,2
311,120.5,-0.5,4,1
322,121.5,0.5,4,2
350,36.5,42.5,4,1
390,120.5,-0.5,4,1
434,121.5,-0.5,4,1
446,128.5,33.5,4,1
446,129.5,34.5,4,5
471,25.5,42.5,4,3
478,40.5,37.5,4,4
488,2.5,41.5,4,4
509,40.5,37.5,4,4
515,128.5,33.5,4,1
561,120.5,-0.5,4,1
567,-76.5,25.5,4,2
573,139.5,42.5,4,4
573,138.5,44.5,4,2
573,141.5,43.5,4,1
575,138.5,44.5,4,2
585,130.5,34.5,4,8
585,129.5,34.5,4,5
588,121.5,0.5,4,2
588,120.5,-0.5,4,1
643,120.5,-0.5,4,1
646,0.5,41.5,4,3
659,135.5,36.5,4,1
659,134.5,36.5,4,7
675,135.5,37.5,4,1
675,133.5,35.5,4,3
675,135.5,36.5,4,1
675,138.5,38.5,4,13
675,128.5,33.5,4,1
685,-76.5,25.5,4,2
685,-68.5,39.5,4,1
702,-70.5,39.5,4,10
702,-69.5,39.5,4,22
703,121.5,-0.5,4,1
706,10.5,41.5,4,7
706,11.5,41.5,4,1
717,37.5,42.5,4,2
730,135.5,37.5,4,1
730,130.5,35.5,4,1
730,128.5,33.5,4,1
730,133.5,35.5,4,3
730,136.5,38.5,4,1
730,131.5,34.5,4,7
730,130.5,34.5,4,8
740,25.5,43.5,4,1
743,0.5,41.5,4,3
751,120.5,-0.5,4,1
766,121.5,-0.5,4,1
766,121.5,0.5,4,2
779,129.5,-41.5,4,1
781,121.5,0.5,4,2
805,11.5,41.5,4,1
806,2.5,41.5,4,4
806,0.5,41.5,4,3
822,137.5,37.5,4,1
848,25.5,42.5,4,3
859,18.5,44.5,4,3
859,11.5,41.5,4,1
868,128.5,33.5,4,1
905,-76.5,25.5,4,2
927,121.5,0.5,4,2
955,11.5,41.5,4,1
966,18.5,45.5,4,1
966,22.5,47.5,4,7
