"id","x","y","rep","collections"
2,-68.5,11.5,1,2
31,146.5,-41.5,1,3
32,121.5,-6.5,1,2
52,118.5,0.5,1,5
67,15.5,38.5,1,1
86,12.5,42.5,1,3
86,11.5,42.5,1,11
87,146.5,-41.5,1,3
89,40.5,-12.5,1,1
101,20.5,28.5,1,1
117,40.5,-12.5,1,1
212,16.5,-32.5,1,1
213,173.5,-47.5,1,2
213,178.5,-44.5,1,2
213,173.5,-44.5,1,1
233,-117.5,35.5,1,1
233,-118.5,36.5,1,2
233,-119.5,37.5,1,1
238,-69.5,-26.5,1,2
238,-70.5,-29.5,1,2
239,-70.5,19.5,1,27
246,176.5,-41.5,1,1
247,-80.5,10.5,1,15
254,-80.5,9.5,1,20
264,120.5,24.5,1,1
280,139.5,36.5,1,2
281,-66.5,12.5,1,1
281,-80.5,9.5,1,20
289,146.5,-41.5,1,3
294,12.5,42.5,1,3
294,9.5,43.5,1,20
294,13.5,43.5,1,1
299,-80.5,9.5,1,20
309,121.5,-6.5,1,2
338,-119.5,37.5,1,1
339,121.5,-6.5,1,2
346,-119.5,37.5,1,1
346,-118.5,36.5,1,2
346,-117.5,35.5,1,1
348,16.5,-32.5,1,1
350,-66.5,12.5,1,1
376,15.5,38.5,1,1
401,118.5,0.5,1,5
408,-80.5,9.5,1,20
432,-70.5,-29.5,1,2
450,-79.5,27.5,1,1
456,15.5,38.5,1,1
470,-79.5,27.5,1,1
482,40.5,-12.5,1,1
486,-80.5,10.5,1,15
486,-78.5,9.5,1,28
492,-79.5,27.5,1,1
504,-80.5,10.5,1,15
505,-78.5,9.5,1,28
505,-79.5,27.5,1,1
505,-80.5,10.5,1,15
505,-74.5,38.5,1,16
515,13.5,41.5,1,1
515,11.5,42.5,1,11
515,13.5,43.5,1,1
515,14.5,42.5,1,7
515,13.5,42.5,1,10
515,12.5,42.5,1,3
522,-68.5,11.5,1,2
525,-80.5,10.5,1,15
525,-78.5,9.5,1,28
540,140.5,44.5,1,2
