"id","x","y","rep","collections"
1,53.5,-10.5,1,1
1,53.5,-11.5,1,4
1,52.5,-9.5,1,1
1,55.5,-12.5,1,1
8,35.5,7.5,1,29
21,53.5,-7.5,1,4
21,53.5,-8.5,1,11
23,53.5,-10.5,1,1
23,53.5,-7.5,1,4
29,-40.5,52.5,1,1
36,37.5,4.5,1,1
46,-11.5,52.5,1,1
61,55.5,-12.5,1,1
61,54.5,-11.5,1,1
64,-59.5,28.5,1,1
70,-59.5,28.5,1,1
87,55.5,-12.5,1,1
103,55.5,-12.5,1,1
113,-57.5,26.5,1,1
113,-58.5,29.5,1,1
128,110.5,21.5,1,1
132,-34.5,57.5,1,1
135,55.5,-12.5,1,1
139,19.5,24.5,1,2
146,-36.5,57.5,1,2
151,19.5,27.5,1,3
164,19.5,24.5,1,2
170,35.5,7.5,1,29
188,53.5,-11.5,1,4
191,110.5,21.5,1,1
197,-51.5,26.5,1,1
219,37.5,4.5,1,1
221,110.5,21.5,1,1
221,116.5,21.5,1,1
224,-36.5,57.5,1,2
225,112.5,19.5,1,1
225,115.5,11.5,1,1
225,116.5,21.5,1,1
233,112.5,19.5,1,1
233,110.5,21.5,1,1
242,53.5,-7.5,1,4
242,54.5,-9.5,1,2
242,55.5,-12.5,1,1
242,52.5,-9.5,1,1
242,53.5,-11.5,1,4
242,53.5,-8.5,1,11
249,115.5,11.5,1,1
260,110.5,21.5,1,1
263,112.5,19.5,1,1
263,110.5,21.5,1,1
264,35.5,7.5,1,29
268,112.5,19.5,1,1
268,110.5,21.5,1,1
276,19.5,14.5,1,1
288,35.5,8.5,1,1
288,35.5,7.5,1,29
315,-56.5,44.5,1,1
327,78.5,-20.5,1,1
347,53.5,-7.5,1,4
362,-40.5,52.5,1,1
363,55.5,-12.5,1,1
363,54.5,-11.5,1,1
363,54.5,-9.5,1,2
363,53.5,-8.5,1,11
363,53.5,-10.5,1,1
363,52.5,-9.5,1,1
373,110.5,21.5,1,1
380,112.5,19.5,1,1
386,35.5,7.5,1,29
408,29.5,8.5,1,1
440,53.5,-8.5,1,11
443,115.5,11.5,1,1
454,29.5,8.5,1,1
474,114.5,37.5,1,1
488,29.5,7.5,1,1
491,53.5,-10.5,1,1
491,55.5,-12.5,1,1
497,54.5,-9.5,1,2
500,78.5,-20.5,1,1
512,53.5,-11.5,1,4
512,53.5,-10.5,1,1
512,54.5,-11.5,1,1
512,55.5,-12.5,1,1
512,54.5,-9.5,1,2
516,55.5,-12.5,1,1
530,35.5,8.5,1,1
530,35.5,7.5,1,29
531,54.5,-9.5,1,2
536,-57.5,26.5,1,1
543,114.5,37.5,1,1
544,-59.5,28.5,1,1
544,-51.5,26.5,1,1
549,37.5,4.5,1,1
551,37.5,4.5,1,1
585,52.5,-9.5,1,1
590,29.5,8.5,1,1
590,35.5,8.5,1,1
597,112.5,19.5,1,1
597,115.5,11.5,1,1
598,-58.5,28.5,1,1
611,53.5,-11.5,1,4
614,-58.5,29.5,1,1
631,19.5,14.5,1,1
645,-57.5,26.5,1,1
651,53.5,-8.5,1,11
652,19.5,14.5,1,1
706,116.5,21.5,1,1
721,53.5,-8.5,1,11
721,52.5,-9.5,1,1
727,37.5,4.5,1,1
727,35.5,8.5,1,1
731,52.5,-9.5,1,1
731,54.5,-11.5,1,1
732,53.5,-7.5,1,4
734,55.5,-12.5,1,1
734,54.5,-11.5,1,1
734,53.5,-11.5,1,4
741,53.5,-11.5,1,4
741,54.5,-11.5,1,1
741,53.5,-7.5,1,4
741,53.5,-8.5,1,11
742,36.5,8.5,1,17
742,37.5,4.5,1,1
742,35.5,8.5,1,1
742,35.5,7.5,1,29
747,142.5,38.5,1,1
747,107.5,41.5,1,1
777,54.5,-9.5,1,2
779,115.5,11.5,1,1
783,116.5,21.5,1,1
783,112.5,19.5,1,1
796,78.5,-20.5,1,1
801,37.5,4.5,1,1
819,53.5,-7.5,1,4
819,55.5,-12.5,1,1
825,78.5,-20.5,1,1
838,29.5,8.5,1,1
842,112.5,19.5,1,1
845,29.5,7.5,1,1
848,53.5,-8.5,1,11
848,53.5,-10.5,1,1
849,29.5,7.5,1,1
853,116.5,21.5,1,1
853,110.5,21.5,1,1
854,36.5,8.5,1,17
857,36.5,8.5,1,17
869,78.5,-20.5,1,1
870,-58.5,28.5,1,1
870,-58.5,29.5,1,1
880,52.5,-9.5,1,1
880,54.5,-9.5,1,2
883,78.5,-20.5,1,1
884,-58.5,28.5,1,1
884,-57.5,26.5,1,1
890,53.5,-10.5,1,1
890,54.5,-9.5,1,2
898,54.5,-9.5,1,2
919,112.5,19.5,1,1
920,35.5,8.5,1,1
924,112.5,19.5,1,1
925,115.5,11.5,1,1
930,-57.5,26.5,1,1
941,53.5,-10.5,1,1
951,54.5,-11.5,1,1
951,54.5,-9.5,1,2
961,-52.5,43.5,1,1
976,19.5,14.5,1,1
980,53.5,-8.5,1,11
980,53.5,-10.5,1,1
988,19.5,27.5,1,3
991,-51.5,26.5,1,1
991,-57.5,26.5,1,1
995,110.5,21.5,1,1
995,112.5,19.5,1,1
1,110.5,21.5,2,1
2,110.5,21.5,2,1
4,36.5,8.5,2,17
4,37.5,4.5,2,1
7,19.5,24.5,2,2
13,55.5,-12.5,2,1
40,52.5,-9.5,2,1
41,112.5,19.5,2,1
52,115.5,11.5,2,1
59,53.5,-7.5,2,4
73,115.5,11.5,2,1
74,19.5,24.5,2,2
102,55.5,-12.5,2,1
102,54.5,-11.5,2,1
103,52.5,-9.5,2,1
115,54.5,-9.5,2,2
120,-58.5,28.5,2,1
120,-58.5,29.5,2,1
121,19.5,14.5,2,1
122,78.5,-20.5,2,1
123,-57.5,26.5,2,1
134,52.5,-9.5,2,1
134,53.5,-8.5,2,11
135,78.5,-20.5,2,1
146,-58.5,29.5,2,1
155,52.5,-9.5,2,1
155,53.5,-10.5,2,1
160,35.5,8.5,2,1
166,142.5,38.5,2,1
167,29.5,8.5,2,1
172,37.5,4.5,2,1
175,112.5,19.5,2,1
178,54.5,-11.5,2,1
