"id","x","y","rep","collections"
6,15.5,20.5,1,4
11,34.5,-19.5,1,8
26,-42.5,30.5,1,3
26,-39.5,30.5,1,1
26,-43.5,28.5,1,2
26,-40.5,27.5,1,3
29,16.5,11.5,1,1
37,18.5,29.5,1,1
39,15.5,30.5,1,63
50,19.5,26.5,1,1
56,16.5,11.5,1,1
58,34.5,-19.5,1,8
91,16.5,11.5,1,1
95,38.5,-20.5,1,9
116,-34.5,15.5,1,1
129,40.5,-8.5,1,56
132,38.5,-20.5,1,9
134,18.5,29.5,1,1
137,35.5,-17.5,1,1
137,34.5,-19.5,1,8
144,20.5,32.5,1,7
148,37.5,13.5,1,2
153,-34.5,15.5,1,1
155,20.5,32.5,1,7
155,15.5,30.5,1,63
155,24.5,31.5,1,34
155,17.5,31.5,1,2
155,21.5,30.5,1,26
162,44.5,42.5,1,1
179,39.5,-33.5,1,1
209,32.5,19.5,1,1
224,-39.5,30.5,1,1
239,33.5,0.5,1,7
248,-43.5,28.5,1,2
281,115.5,-27.5,1,1
298,33.5,0.5,1,7
326,39.5,-33.5,1,1
337,-34.5,15.5,1,1
347,16.5,33.5,1,10
347,14.5,33.5,1,1
351,37.5,13.5,1,2
361,33.5,0.5,1,7
374,49.5,-14.5,1,1
381,17.5,31.5,1,2
385,-34.5,15.5,1,1
394,-44.5,25.5,1,2
403,50.5,-11.5,1,1
423,-42.5,30.5,1,3
444,-2.5,17.5,1,1
446,100.5,45.5,1,6
451,-45.5,23.5,1,1
451,-44.5,25.5,1,2
452,42.5,-12.5,1,3
486,42.5,-12.5,1,3
518,33.5,0.5,1,7
525,37.5,13.5,1,2
529,33.5,0.5,1,7
534,102.5,-33.5,1,2
539,-39.5,30.5,1,1
539,-40.5,27.5,1,3
540,15.5,30.5,1,63
541,40.5,-8.5,1,56
560,100.5,45.5,1,6
597,40.5,-19.5,1,11
597,50.5,-11.5,1,1
612,33.5,-24.5,1,5
631,-39.5,30.5,1,1
631,-43.5,28.5,1,2
631,-40.5,27.5,1,3
638,69.5,-28.5,1,2
641,-43.5,28.5,1,2
645,-29.5,-49.5,1,1
647,15.5,20.5,1,4
672,34.5,-19.5,1,8
673,49.5,-14.5,1,1
675,72.5,37.5,1,1
680,42.5,-21.5,1,1
681,33.5,0.5,1,7
683,38.5,-20.5,1,9
692,17.5,31.5,1,2
701,115.5,-29.5,1,1
728,-33.5,-31.5,1,1
733,-34.5,15.5,1,1
736,-40.5,27.5,1,3
737,-2.5,17.5,1,1
739,41.5,-6.5,1,2
741,38.5,-20.5,1,9
761,42.5,-12.5,1,3
761,49.5,-14.5,1,1
762,-45.5,23.5,1,1
768,33.5,31.5,1,2
768,18.5,29.5,1,1
779,42.5,-21.5,1,1
782,17.5,31.5,1,2
782,18.5,29.5,1,1
782,19.5,26.5,1,1
786,72.5,37.5,1,1
793,37.5,13.5,1,2
802,38.5,-13.5,1,6
806,24.5,31.5,1,34
814,42.5,-12.5,1,3
838,38.5,-13.5,1,6
839,-33.5,-31.5,1,1
841,15.5,30.5,1,63
846,33.5,0.5,1,7
854,42.5,-12.5,1,3
854,40.5,-8.5,1,56
856,33.5,0.5,1,7
859,-42.5,30.5,1,3
865,35.5,-17.5,1,1
865,38.5,-20.5,1,9
865,34.5,-19.5,1,8
865,33.5,-24.5,1,5
881,38.5,-20.5,1,9
901,18.5,29.5,1,1
909,25.5,-35.5,1,2
912,16.5,33.5,1,10
918,40.5,-8.5,1,56
918,38.5,-13.5,1,6
918,42.5,-12.5,1,3
934,16.5,33.5,1,10
934,14.5,23.5,1,1
942,20.5,32.5,1,7
943,30.5,-18.5,1,2
952,42.5,36.5,1,4
969,-34.5,15.5,1,1
971,49.5,-14.5,1,1
971,50.5,-11.5,1,1
977,38.5,-20.5,1,9
1000,37.5,13.5,1,2
1,33.5,0.5,2,7
11,24.5,31.5,2,34
29,33.5,31.5,2,2
35,19.5,26.5,2,1
35,21.5,30.5,2,26
37,38.5,-20.5,2,9
61,33.5,-24.5,2,5
66,16.5,33.5,2,10
76,19.5,26.5,2,1
81,40.5,-8.5,2,56
81,41.5,-6.5,2,2
92,33.5,0.5,2,7
101,-40.5,27.5,2,3
110,33.5,0.5,2,7
117,14.5,33.5,2,1
127,37.5,13.5,2,2
135,33.5,-24.5,2,5
140,7.5,44.5,2,1
143,50.5,-11.5,2,1
151,-45.5,23.5,2,1
151,-42.5,30.5,2,3
156,49.5,-14.5,2,1
158,-34.5,15.5,2,1
164,38.5,-20.5,2,9
175,35.5,-17.5,2,1
175,33.5,-24.5,2,5
198,-2.5,17.5,2,1
218,15.5,20.5,2,4
218,17.5,31.5,2,2
218,14.5,33.5,2,1
218,30.5,36.5,2,12
218,18.5,29.5,2,1
237,15.5,30.5,2,63
239,50.5,-11.5,2,1
240,32.5,19.5,2,1
241,40.5,-19.5,2,11
241,38.5,-20.5,2,9
242,-45.5,23.5,2,1
244,38.5,-20.5,2,9
244,35.5,-17.5,2,1
244,34.5,-19.5,2,8
254,41.5,-6.5,2,2
255,35.5,-17.5,2,1
265,24.5,31.5,2,34
277,30.5,36.5,2,12
288,-2.5,17.5,2,1
308,24.5,31.5,2,34
318,21.5,30.5,2,26
318,18.5,29.5,2,1
318,17.5,31.5,2,2
321,72.5,37.5,2,1
326,21.5,30.5,2,26
326,20.5,32.5,2,7
334,33.5,0.5,2,7
334,34.5,-19.5,2,8
334,40.5,-8.5,2,56
372,38.5,-13.5,2,6
378,49.5,-14.5,2,1
392,115.5,-27.5,2,1
395,15.5,20.5,2,4
401,25.5,-35.5,2,2
428,42.5,-12.5,2,3
436,72.5,37.5,2,1
442,33.5,0.5,2,7
444,47.5,-29.5,2,7
448,35.5,-17.5,2,1
448,34.5,-19.5,2,8
451,33.5,0.5,2,7
456,33.5,-24.5,2,5
474,14.5,23.5,2,1
499,40.5,-8.5,2,56
510,49.5,-14.5,2,1
526,19.5,26.5,2,1
534,35.5,-17.5,2,1
534,40.5,-19.5,2,11
546,35.5,-17.5,2,1
546,40.5,-19.5,2,11
550,42.5,-21.5,2,1
567,69.5,-28.5,2,2
571,16.5,11.5,2,1
611,-40.5,27.5,2,3
613,40.5,-19.5,2,11
615,42.5,-12.5,2,3
622,115.5,-29.5,2,1
627,37.5,13.5,2,2
627,32.5,19.5,2,1
628,16.5,11.5,2,1
643,38.5,-20.5,2,9
664,-42.5,30.5,2,3
666,49.5,-14.5,2,1
690,16.5,11.5,2,1
692,-44.5,25.5,2,2
692,-43.5,28.5,2,2
706,-39.5,30.5,2,1
706,-40.5,27.5,2,3
732,15.5,20.5,2,4
735,42.5,-21.5,2,1
749,14.5,23.5,2,1
762,-43.5,28.5,2,2
762,-40.5,27.5,2,3
762,-45.5,23.5,2,1
762,-44.5,25.5,2,2
766,15.5,20.5,2,4
766,14.5,23.5,2,1
766,19.5,26.5,2,1
777,-45.5,23.5,2,1
792,-34.5,15.5,2,1
804,34.5,-19.5,2,8
821,41.5,-6.5,2,2
823,15.5,20.5,2,4
834,35.5,-17.5,2,1
834,40.5,-19.5,2,11
850,21.5,30.5,2,26
850,18.5,29.5,2,1
850,24.5,31.5,2,34
857,15.5,20.5,2,4
861,47.5,-29.5,2,7
874,37.5,13.5,2,2
884,47.5,-29.5,2,7
888,41.5,-6.5,2,2
905,-2.5,17.5,2,1
908,38.5,-13.5,2,6
908,34.5,-19.5,2,8
909,-2.5,17.5,2,1
930,17.5,31.5,2,2
930,16.5,33.5,2,10
932,72.5,37.5,2,1
934,50.5,-11.5,2,1
953,-44.5,25.5,2,2
958,-2.5,17.5,2,1
970,24.5,31.5,2,34
