"id","x","y","rep","collections"
18,114.5,-8.5,1,4
28,107.5,-6.5,1,1
59,120.5,-4.5,1,19
65,-80.5,9.5,1,11
71,114.5,-8.5,1,4
77,120.5,24.5,1,2
78,-81.5,9.5,1,25
86,24.5,35.5,1,1
86,25.5,38.5,1,1
86,23.5,36.5,1,1
90,121.5,-6.5,1,1
95,178.5,-40.5,1,2
123,120.5,-4.5,1,19
137,-80.5,9.5,1,11
150,113.5,-7.5,1,1
169,120.5,-4.5,1,19
199,120.5,-4.5,1,19
208,114.5,-8.5,1,4
214,113.5,-7.5,1,1
247,16.5,-30.5,1,1
269,121.5,-6.5,1,1
272,-62.5,10.5,1,11
272,-63.5,11.5,1,2
277,130.5,32.5,1,1
287,121.5,-6.5,1,1
316,-80.5,9.5,1,11
316,-79.5,28.5,1,1
336,113.5,-7.5,1,1
342,-69.5,11.5,1,1
348,133.5,33.5,1,1
350,124.5,-11.5,1,1
352,131.5,35.5,1,1
355,110.5,-8.5,1,1
355,111.5,-7.5,1,3
355,113.5,-7.5,1,1
357,123.5,10.5,1,2
365,16.5,-30.5,1,1
367,110.5,-8.5,1,1
371,-79.5,26.5,1,6
382,-80.5,9.5,1,11
393,139.5,42.5,1,1
393,140.5,38.5,1,1
412,-80.5,9.5,1,11
412,-82.5,8.5,1,2
423,-63.5,11.5,1,2
467,110.5,-8.5,1,1
479,-80.5,26.5,1,8
486,-63.5,10.5,1,7
498,135.5,34.5,1,1
499,120.5,-4.5,1,19
514,120.5,-4.5,1,19
529,-62.5,10.5,1,11
541,123.5,10.5,1,2
549,34.5,24.5,1,1
550,107.5,-6.5,1,1
551,16.5,-31.5,1,1
557,107.5,-6.5,1,1
567,133.5,33.5,1,1
575,27.5,36.5,1,1
596,140.5,38.5,1,1
609,121.5,-6.5,1,1
612,-79.5,28.5,1,1
612,-79.5,27.5,1,7
620,176.5,-42.5,1,3
621,133.5,33.5,1,1
621,140.5,37.5,1,3
625,-82.5,8.5,1,2
641,138.5,35.5,1,1
641,140.5,38.5,1,1
663,177.5,-42.5,1,3
667,121.5,-6.5,1,1
684,123.5,10.5,1,2
691,27.5,36.5,1,1
703,-75.5,37.5,1,29
711,120.5,-4.5,1,19
711,124.5,-11.5,1,1
748,123.5,10.5,1,2
764,177.5,-42.5,1,3
767,111.5,-7.5,1,3
778,129.5,31.5,1,4
778,120.5,24.5,1,2
779,18.5,-34.5,1,5
783,130.5,32.5,1,1
794,113.5,-7.5,1,1
801,-82.5,8.5,1,2
803,16.5,-30.5,1,1
803,16.5,-31.5,1,1
809,16.5,40.5,1,2
818,-70.5,19.5,1,1
823,178.5,-40.5,1,2
824,113.5,-7.5,1,1
835,-81.5,9.5,1,25
835,-80.5,9.5,1,11
857,-79.5,0.5,1,1
887,1.5,51.5,1,16
928,107.5,-6.5,1,1
930,133.5,33.5,1,1
951,-79.5,26.5,1,6
954,-62.5,10.5,1,11
954,-63.5,11.5,1,2
969,120.5,-4.5,1,19
985,111.5,-7.5,1,3
987,130.5,31.5,1,4
987,129.5,31.5,1,4
991,133.5,33.5,1,1
997,-79.5,26.5,1,6
2,-79.5,0.5,2,1
34,124.5,-11.5,2,1
35,-78.5,33.5,2,5
43,124.5,-11.5,2,1
45,-63.5,11.5,2,2
45,-70.5,12.5,2,10
46,120.5,24.5,2,2
57,-62.5,10.5,2,11
72,140.5,37.5,2,3
88,-63.5,10.5,2,7
88,-70.5,19.5,2,1
89,111.5,-7.5,2,3
94,120.5,24.5,2,2
97,-62.5,10.5,2,11
97,-63.5,11.5,2,2
109,-80.5,27.5,2,13
120,137.5,34.5,2,9
125,107.5,-6.5,2,1
125,113.5,-7.5,2,1
125,121.5,-6.5,2,1
125,111.5,-7.5,2,3
126,-70.5,19.5,2,1
134,-80.5,26.5,2,8
139,121.5,-6.5,2,1
153,0.5,39.5,2,3
153,13.5,42.5,2,1
153,4.5,42.5,2,1
166,-70.5,12.5,2,10
181,3.5,42.5,2,4
181,8.5,43.5,2,2
181,12.5,44.5,2,1
183,129.5,31.5,2,4
184,123.5,10.5,2,2
186,-63.5,10.5,2,7
195,-82.5,8.5,2,2
206,-79.5,29.5,2,1
208,123.5,10.5,2,2
227,-82.5,8.5,2,2
255,120.5,24.5,2,2
258,-82.5,8.5,2,2
