"id","x","y","rep","collections"
4,-42.5,8.5,1,10
6,30.5,28.5,1,8
6,35.5,22.5,1,5
6,31.5,30.5,1,1
6,33.5,29.5,1,8
6,36.5,28.5,1,382
7,20.5,25.5,1,4
7,17.5,27.5,1,8
7,19.5,31.5,1,1
22,95.5,-26.5,1,1
24,94.5,-26.5,1,2
34,13.5,43.5,1,1
37,22.5,30.5,1,9
37,21.5,33.5,1,50
37,21.5,32.5,1,29
37,21.5,34.5,1,265
37,21.5,30.5,1,11
37,22.5,34.5,1,147
37,20.5,31.5,1,30
37,21.5,26.5,1,52
43,21.5,36.5,1,1
47,34.5,30.5,1,9
47,32.5,30.5,1,3
51,8.5,26.5,1,1
51,19.5,32.5,1,21
51,20.5,25.5,1,4
51,30.5,28.5,1,8
51,31.5,31.5,1,5
54,5.5,26.5,1,2
54,5.5,25.5,1,70
54,5.5,27.5,1,1
62,34.5,30.5,1,9
62,33.5,29.5,1,8
62,22.5,32.5,1,4
62,35.5,23.5,1,1
62,19.5,29.5,1,5
62,30.5,28.5,1,8
62,22.5,31.5,1,18
62,22.5,30.5,1,9
64,36.5,28.5,1,382
64,32.5,29.5,1,2
81,21.5,34.5,1,265
81,19.5,32.5,1,21
81,20.5,32.5,1,24
81,21.5,32.5,1,29
81,20.5,33.5,1,12
84,22.5,31.5,1,18
84,28.5,28.5,1,1
84,17.5,31.5,1,4
84,20.5,31.5,1,30
84,21.5,32.5,1,29
84,16.5,27.5,1,7
89,-52.5,37.5,1,9
99,17.5,27.5,1,8
99,20.5,25.5,1,4
104,35.5,23.5,1,1
104,37.5,28.5,1,2
104,37.5,20.5,1,3
104,36.5,28.5,1,382
106,28.5,28.5,1,1
106,21.5,33.5,1,50
106,25.5,47.5,1,2
106,22.5,39.5,1,2
106,22.5,38.5,1,16
106,21.5,31.5,1,1
106,21.5,26.5,1,52
107,37.5,20.5,1,3
107,35.5,22.5,1,5
107,37.5,21.5,1,1
111,21.5,26.5,1,52
111,20.5,25.5,1,4
113,22.5,33.5,1,84
113,21.5,42.5,1,5
113,22.5,34.5,1,147
113,20.5,40.5,1,1
113,21.5,36.5,1,1
113,17.5,37.5,1,1
113,21.5,33.5,1,50
113,21.5,34.5,1,265
121,-50.5,32.5,1,2
121,-50.5,35.5,1,2
121,-53.5,38.5,1,1
121,-53.5,37.5,1,1
123,29.5,28.5,1,47
134,94.5,-26.5,1,2
137,14.5,43.5,1,6
148,25.5,39.5,1,1
148,16.5,37.5,1,1
148,22.5,42.5,1,2
148,22.5,43.5,1,7
148,17.5,30.5,1,1
148,14.5,40.5,1,44
148,14.5,42.5,1,12
148,34.5,30.5,1,9
150,6.5,25.5,1,2
150,14.5,27.5,1,3
156,94.5,-26.5,1,2
165,-52.5,38.5,1,1
167,23.5,47.5,1,1
167,25.5,41.5,1,20
168,30.5,31.5,1,1
168,29.5,29.5,1,1
169,29.5,28.5,1,47
172,17.5,31.5,1,4
172,18.5,30.5,1,199
172,10.5,28.5,1,6
172,19.5,29.5,1,5
172,17.5,30.5,1,1
172,8.5,27.5,1,1
172,14.5,27.5,1,3
172,11.5,30.5,1,10
180,23.5,42.5,1,2
180,21.5,34.5,1,265
180,20.5,40.5,1,1
180,22.5,30.5,1,9
180,21.5,32.5,1,29
180,22.5,33.5,1,84
180,22.5,36.5,1,6
181,35.5,22.5,1,5
183,19.5,31.5,1,1
183,14.5,42.5,1,12
183,30.5,28.5,1,8
183,23.5,42.5,1,2
183,14.5,41.5,1,4
183,11.5,31.5,1,15
183,13.5,42.5,1,35
183,22.5,34.5,1,147
193,20.5,25.5,1,4
198,13.5,43.5,1,1
205,36.5,28.5,1,382
211,37.5,20.5,1,3
219,-50.5,35.5,1,2
219,-50.5,32.5,1,2
227,7.5,27.5,1,13
241,-42.5,8.5,1,10
255,14.5,40.5,1,44
255,17.5,37.5,1,1
255,24.5,39.5,1,7
255,24.5,40.5,1,1
255,22.5,38.5,1,16
255,21.5,42.5,1,5
255,24.5,38.5,1,1
255,25.5,40.5,1,26
255,21.5,36.5,1,1
255,22.5,36.5,1,6
255,25.5,41.5,1,20
255,22.5,42.5,1,2
262,21.5,34.5,1,265
262,20.5,30.5,1,60
272,37.5,20.5,1,3
273,37.5,21.5,1,1
281,37.5,20.5,1,3
287,31.5,42.5,1,1
287,31.5,30.5,1,1
287,31.5,31.5,1,5
287,35.5,22.5,1,5
287,32.5,43.5,1,1
304,35.5,22.5,1,5
307,55.5,41.5,1,35
315,15.5,38.5,1,2
315,11.5,31.5,1,15
317,8.5,26.5,1,1
317,16.5,27.5,1,7
317,5.5,27.5,1,1
317,17.5,27.5,1,8
317,5.5,25.5,1,70
327,14.5,27.5,1,3
330,34.5,31.5,1,3
330,32.5,29.5,1,2
330,35.5,22.5,1,5
330,29.5,28.5,1,47
333,22.5,33.5,1,84
333,22.5,36.5,1,6
333,22.5,30.5,1,9
333,21.5,36.5,1,1
333,22.5,32.5,1,4
333,21.5,26.5,1,52
333,21.5,34.5,1,265
333,23.5,38.5,1,1
333,21.5,32.5,1,29
333,21.5,30.5,1,11
333,21.5,33.5,1,50
338,7.5,44.5,1,1
338,14.5,43.5,1,6
345,14.5,43.5,1,6
345,20.5,33.5,1,12
352,19.5,31.5,1,1
352,17.5,31.5,1,4
352,22.5,30.5,1,9
352,21.5,30.5,1,11
352,20.5,31.5,1,30
357,10.5,30.5,1,2
357,9.5,43.5,1,1
357,10.5,52.5,1,44
360,17.5,35.5,1,37
364,48.5,42.5,1,2
370,35.5,23.5,1,1
371,30.5,28.5,1,8
371,32.5,30.5,1,3
371,35.5,28.5,1,6
371,33.5,31.5,1,3
371,31.5,31.5,1,5
371,35.5,27.5,1,3
372,-52.5,37.5,1,9
380,30.5,28.5,1,8
380,10.5,30.5,1,2
380,21.5,32.5,1,29
380,29.5,28.5,1,47
380,32.5,30.5,1,3
380,35.5,28.5,1,6
380,36.5,28.5,1,382
380,30.5,32.5,1,16
382,55.5,41.5,1,35
382,46.5,43.5,1,1
385,35.5,22.5,1,5
393,32.5,29.5,1,2
393,21.5,30.5,1,11
393,21.5,34.5,1,265
393,25.5,41.5,1,20
394,14.5,27.5,1,3
394,6.5,25.5,1,2
394,16.5,27.5,1,7
394,10.5,30.5,1,2
394,3.5,27.5,1,1
396,95.5,-26.5,1,1
397,47.5,42.5,1,1
401,8.5,26.5,1,1
401,5.5,25.5,1,70
401,6.5,26.5,1,10
404,-45.5,39.5,1,1
414,35.5,27.5,1,3
425,33.5,29.5,1,8
428,37.5,20.5,1,3
428,28.5,28.5,1,1
442,27.5,39.5,1,5
442,25.5,39.5,1,1
442,22.5,42.5,1,2
442,24.5,40.5,1,1
455,37.5,20.5,1,3
462,29.5,29.5,1,1
462,24.5,38.5,1,1
462,32.5,30.5,1,3
463,10.5,28.5,1,6
464,47.5,48.5,1,2
464,46.5,48.5,1,1
469,22.5,33.5,1,84
469,22.5,30.5,1,9
469,4.5,27.5,1,6
469,5.5,25.5,1,70
469,8.5,27.5,1,1
469,11.5,30.5,1,10
471,8.5,27.5,1,1
473,-52.5,37.5,1,9
478,37.5,21.5,1,1
478,37.5,28.5,1,2
482,29.5,29.5,1,1
482,30.5,28.5,1,8
482,32.5,29.5,1,2
482,32.5,30.5,1,3
482,28.5,28.5,1,1
482,30.5,31.5,1,1
482,31.5,30.5,1,1
482,34.5,31.5,1,3
490,37.5,21.5,1,1
497,10.5,30.5,1,2
505,24.5,39.5,1,7
525,6.5,26.5,1,10
525,11.5,31.5,1,15
534,22.5,31.5,1,18
538,-50.5,33.5,1,10
538,-50.5,32.5,1,2
542,5.5,26.5,1,2
542,16.5,27.5,1,7
545,37.5,20.5,1,3
545,37.5,21.5,1,1
560,-53.5,38.5,1,1
560,-50.5,33.5,1,10
562,20.5,25.5,1,4
562,17.5,27.5,1,8
562,16.5,27.5,1,7
569,15.5,38.5,1,2
575,31.5,31.5,1,5
575,34.5,31.5,1,3
575,30.5,32.5,1,16
575,31.5,30.5,1,1
575,33.5,30.5,1,23
579,21.5,33.5,1,50
579,21.5,36.5,1,1
579,21.5,34.5,1,265
579,20.5,33.5,1,12
581,21.5,34.5,1,265
581,17.5,37.5,1,1
581,15.5,38.5,1,2
581,16.5,38.5,1,5
584,32.5,43.5,1,1
592,-50.5,32.5,1,2
592,-50.5,34.5,1,1
601,4.5,26.5,1,13
624,6.5,26.5,1,10
637,21.5,36.5,1,1
637,21.5,39.5,1,1
637,20.5,40.5,1,1
642,16.5,38.5,1,5
642,20.5,40.5,1,1
642,25.5,40.5,1,26
642,8.5,44.5,1,12
642,21.5,36.5,1,1
642,22.5,42.5,1,2
642,23.5,42.5,1,2
642,24.5,40.5,1,1
642,7.5,44.5,1,1
647,7.5,27.5,1,13
647,21.5,31.5,1,1
659,-42.5,8.5,1,10
662,22.5,31.5,1,18
662,19.5,32.5,1,21
662,22.5,33.5,1,84
662,19.5,31.5,1,1
663,28.5,28.5,1,1
676,-42.5,8.5,1,10
682,94.5,-26.5,1,2
682,95.5,-26.5,1,1
686,17.5,30.5,1,1
686,17.5,37.5,1,1
686,17.5,27.5,1,8
690,14.5,41.5,1,4
690,14.5,42.5,1,12
690,13.5,42.5,1,35
