"id","x","y","rep","collections"
6,56.5,40.5,1,1
20,-62.5,6.5,1,3
30,61.5,45.5,1,1
48,-65.5,20.5,1,5
49,52.5,38.5,1,1
49,26.5,32.5,1,1
51,22.5,37.5,1,2
51,29.5,31.5,1,13
51,17.5,33.5,1,1
51,27.5,31.5,1,6
51,18.5,37.5,1,1
62,5.5,41.5,1,1
62,22.5,37.5,1,2
65,120.5,2.5,1,1
69,-62.5,6.5,1,3
72,15.5,36.5,1,1
72,16.5,36.5,1,9
78,17.5,36.5,1,2
78,15.5,36.5,1,1
81,126.5,-54.5,1,4
81,128.5,-52.5,1,11
81,128.5,-53.5,1,1
90,120.5,1.5,1,1
90,120.5,2.5,1,1
92,-80.5,21.5,1,2
109,-60.5,7.5,1,2
116,6.5,44.5,1,1
124,11.5,40.5,1,1
124,10.5,44.5,1,2
126,38.5,42.5,1,1
131,-80.5,21.5,1,2
132,34.5,41.5,1,1
132,34.5,42.5,1,2
133,27.5,32.5,1,1
133,18.5,37.5,1,1
147,15.5,36.5,1,1
164,-171.5,-43.5,1,1
170,-65.5,36.5,1,4
200,9.5,37.5,1,2
200,4.5,44.5,1,42
200,4.5,45.5,1,2
207,11.5,-36.5,1,1
212,125.5,-53.5,1,2
247,-60.5,7.5,1,2
247,-62.5,6.5,1,3
254,38.5,42.5,1,1
272,98.5,9.5,1,1
274,-65.5,20.5,1,5
298,120.5,2.5,1,1
303,-60.5,7.5,1,2
306,79.5,11.5,1,1
322,-68.5,35.5,1,11
329,17.5,33.5,1,1
360,27.5,34.5,1,1
365,35.5,41.5,1,1
365,36.5,34.5,1,1
365,36.5,41.5,1,6
365,37.5,41.5,1,1
366,74.5,3.5,1,1
382,-66.5,35.5,1,12
382,-67.5,32.5,1,36
382,-68.5,32.5,1,10
382,-70.5,33.5,1,2
386,-59.5,38.5,1,10
386,-57.5,40.5,1,1
392,120.5,1.5,1,1
395,26.5,32.5,1,1
398,129.5,36.5,1,3
404,56.5,40.5,1,1
405,79.5,11.5,1,1
423,13.5,36.5,1,3
423,17.5,33.5,1,1
423,17.5,36.5,1,2
424,52.5,38.5,1,1
436,-80.5,21.5,1,2
441,-80.5,21.5,1,2
452,129.5,36.5,1,3
460,28.5,31.5,1,8
460,27.5,31.5,1,6
460,27.5,32.5,1,1
460,26.5,32.5,1,1
460,26.5,31.5,1,1
468,-67.5,32.5,1,36
468,-68.5,35.5,1,11
468,-68.5,34.5,1,5
487,-65.5,20.5,1,5
490,-80.5,21.5,1,2
491,52.5,38.5,1,1
491,42.5,41.5,1,2
491,28.5,31.5,1,8
493,120.5,2.5,1,1
496,22.5,37.5,1,2
496,11.5,40.5,1,1
496,3.5,44.5,1,27
496,8.5,45.5,1,1
507,-60.5,7.5,1,2
536,27.5,32.5,1,1
536,29.5,31.5,1,13
536,27.5,31.5,1,6
541,-65.5,20.5,1,5
544,-67.5,32.5,1,36
544,-68.5,33.5,1,7
548,79.5,11.5,1,1
548,98.5,10.5,1,1
552,120.5,2.5,1,1
561,79.5,11.5,1,1
567,98.5,9.5,1,1
578,98.5,10.5,1,1
584,120.5,1.5,1,1
585,-68.5,32.5,1,10
593,11.5,40.5,1,1
620,-62.5,6.5,1,3
624,38.5,42.5,1,1
624,27.5,31.5,1,6
628,26.5,32.5,1,1
645,-60.5,7.5,1,2
657,29.5,31.5,1,13
658,-62.5,6.5,1,3
659,26.5,32.5,1,1
662,-80.5,21.5,1,2
694,74.5,3.5,1,1
697,17.5,33.5,1,1
699,79.5,11.5,1,1
703,-65.5,20.5,1,5
741,-65.5,20.5,1,5
744,52.5,38.5,1,1
766,-64.5,36.5,1,2
782,38.5,42.5,1,1
782,42.5,41.5,1,2
794,38.5,42.5,1,1
800,-59.5,38.5,1,10
