"id","x","y","rep","collections"
4,42.5,33.5,1,2
4,38.5,36.5,1,1
4,44.5,28.5,1,57
13,123.5,-9.5,1,7
39,122.5,-15.5,1,1
39,119.5,-15.5,1,1
44,41.5,40.5,1,2
44,34.5,39.5,1,9
45,123.5,-11.5,1,5
47,124.5,-11.5,1,1
59,37.5,27.5,1,1
59,38.5,37.5,1,1
66,39.5,33.5,1,1
82,43.5,35.5,1,1
82,48.5,30.5,1,1
82,43.5,33.5,1,1
83,124.5,-3.5,1,1
120,121.5,-28.5,1,18
140,128.5,14.5,1,1
175,123.5,-11.5,1,5
175,123.5,-9.5,1,7
175,125.5,-10.5,1,1
175,124.5,-11.5,1,1
177,122.5,-8.5,1,1
177,124.5,-4.5,1,4
192,42.5,33.5,1,2
227,52.5,-36.5,1,13
244,133.5,8.5,1,57
265,38.5,36.5,1,1
265,36.5,35.5,1,1
268,125.5,-6.5,1,1
273,135.5,8.5,1,4
280,128.5,9.5,1,4
307,135.5,8.5,1,4
318,134.5,9.5,1,12
318,135.5,8.5,1,4
325,41.5,39.5,1,2
338,135.5,8.5,1,4
340,38.5,37.5,1,1
358,134.5,9.5,1,12
359,133.5,8.5,1,57
359,135.5,8.5,1,4
359,136.5,8.5,1,18
367,44.5,27.5,1,7
371,44.5,-19.5,1,2
373,128.5,9.5,1,4
378,7.5,38.5,1,2
387,123.5,-9.5,1,7
387,124.5,-3.5,1,1
387,125.5,-9.5,1,1
387,125.5,-10.5,1,1
387,125.5,-6.5,1,1
393,120.5,-27.5,1,7
393,121.5,-28.5,1,18
394,130.5,8.5,1,2
397,130.5,8.5,1,2
407,53.5,-36.5,1,19
420,125.5,-6.5,1,1
422,43.5,-19.5,1,1
429,36.5,35.5,1,1
439,134.5,8.5,1,2
444,43.5,-19.5,1,1
445,128.5,9.5,1,4
453,133.5,8.5,1,57
459,41.5,39.5,1,2
459,40.5,35.5,1,3
471,125.5,-10.5,1,1
485,122.5,-8.5,1,1
485,124.5,-11.5,1,1
496,43.5,-19.5,1,1
498,119.5,-15.5,1,1
498,122.5,-15.5,1,1
500,135.5,8.5,1,4
500,134.5,8.5,1,2
500,134.5,9.5,1,12
500,133.5,8.5,1,57
524,38.5,37.5,1,1
524,37.5,35.5,1,1
548,130.5,8.5,1,2
548,131.5,7.5,1,1
565,123.5,-9.5,1,7
567,134.5,8.5,1,2
567,135.5,8.5,1,4
567,128.5,9.5,1,4
567,130.5,8.5,1,2
567,136.5,8.5,1,18
573,53.5,-36.5,1,19
585,125.5,-9.5,1,1
589,2.5,38.5,1,6
590,43.5,-19.5,1,1
601,124.5,-27.5,1,1
609,136.5,8.5,1,18
611,38.5,34.5,1,2
614,133.5,8.5,1,57
618,124.5,-11.5,1,1
618,122.5,-10.5,1,2
618,116.5,-11.5,1,3
630,124.5,-4.5,1,4
630,125.5,-6.5,1,1
630,122.5,-10.5,1,2
630,122.5,-15.5,1,1
630,125.5,-9.5,1,1
632,131.5,7.5,1,1
632,135.5,8.5,1,4
633,43.5,-19.5,1,1
685,44.5,27.5,1,7
685,48.5,29.5,1,1
685,47.5,31.5,1,4
685,47.5,28.5,1,10
685,45.5,28.5,1,6
685,45.5,26.5,1,13
685,46.5,31.5,1,2
733,120.5,-27.5,1,7
742,123.5,-8.5,1,1
742,122.5,-8.5,1,1
752,128.5,14.5,1,1
771,123.5,-9.5,1,7
771,125.5,-6.5,1,1
784,135.5,8.5,1,4
784,131.5,7.5,1,1
786,125.5,-10.5,1,1
786,123.5,-8.5,1,1
789,120.5,-27.5,1,7
800,123.5,-11.5,1,5
801,8.5,39.5,1,2
801,7.5,38.5,1,2
834,37.5,27.5,1,1
875,123.5,-8.5,1,1
875,124.5,-3.5,1,1
875,122.5,-8.5,1,1
890,130.5,8.5,1,2
894,131.5,7.5,1,1
898,125.5,-9.5,1,1
