"id","x","y","rep","collections"
4,-73.5,34.5,1,2
4,-66.5,35.5,1,27
20,68.5,11.5,1,1
39,2.5,43.5,1,1
44,70.5,14.5,1,3
55,69.5,11.5,1,2
64,70.5,14.5,1,3
69,49.5,35.5,1,1
110,66.5,23.5,1,2
122,50.5,18.5,1,1
124,11.5,44.5,1,4
124,13.5,44.5,1,1
124,12.5,44.5,1,9
124,11.5,42.5,1,15
124,15.5,47.5,1,1
139,16.5,45.5,1,1
139,28.5,41.5,1,6
144,25.5,33.5,1,3
155,53.5,14.5,1,2
176,24.5,33.5,1,3
181,11.5,44.5,1,4
181,13.5,45.5,1,1
181,10.5,45.5,1,3
191,-68.5,35.5,1,2
207,-82.5,21.5,1,2
211,9.5,38.5,1,15
219,16.5,45.5,1,1
219,11.5,41.5,1,7
258,68.5,10.5,1,3
258,69.5,9.5,1,1
260,49.5,19.5,1,1
266,-66.5,35.5,1,27
287,52.5,16.5,1,1
299,49.5,34.5,1,1
299,49.5,35.5,1,1
302,28.5,32.5,1,3
334,49.5,34.5,1,1
354,-70.5,32.5,1,8
354,-73.5,34.5,1,2
355,68.5,10.5,1,3
367,-70.5,31.5,1,2
382,-70.5,33.5,1,9
382,-68.5,35.5,1,2
382,-72.5,33.5,1,7
382,-66.5,35.5,1,27
382,-71.5,34.5,1,21
382,-69.5,33.5,1,1
390,15.5,46.5,1,3
390,36.5,35.5,1,1
392,51.5,4.5,1,1
397,-71.5,25.5,1,1
409,15.5,46.5,1,3
409,10.5,46.5,1,1
409,11.5,42.5,1,15
409,12.5,41.5,1,1
409,13.5,45.5,1,1
409,15.5,47.5,1,1
409,13.5,42.5,1,1
450,10.5,38.5,1,1
462,-76.5,34.5,1,1
478,49.5,35.5,1,1
492,49.5,35.5,1,1
496,-70.5,34.5,1,5
513,11.5,41.5,1,7
513,10.5,46.5,1,1
513,13.5,44.5,1,1
513,11.5,45.5,1,2
513,16.5,45.5,1,1
513,14.5,48.5,1,1
513,14.5,38.5,1,1
525,66.5,23.5,1,2
531,2.5,33.5,1,25
535,71.5,14.5,1,2
544,20.5,21.5,1,1
549,67.5,25.5,1,1
555,-69.5,32.5,1,6
555,-67.5,24.5,1,3
559,27.5,35.5,1,1
559,23.5,38.5,1,5
570,68.5,11.5,1,1
618,53.5,14.5,1,2
618,69.5,11.5,1,2
619,69.5,9.5,1,1
619,68.5,10.5,1,3
650,-67.5,24.5,1,3
650,-70.5,31.5,1,2
676,10.5,45.5,1,3
676,8.5,46.5,1,1
676,18.5,47.5,1,1
676,11.5,45.5,1,2
688,32.5,20.5,1,2
698,10.5,40.5,1,1
701,66.5,23.5,1,2
709,66.5,23.5,1,2
710,-70.5,33.5,1,9
710,-73.5,34.5,1,2
710,-75.5,34.5,1,5
718,37.5,33.5,1,1
731,-105.5,53.5,1,6
745,2.5,33.5,1,25
752,18.5,47.5,1,1
768,35.5,41.5,1,1
777,69.5,11.5,1,2
786,17.5,34.5,1,1
787,52.5,16.5,1,1
790,-72.5,33.5,1,7
795,49.5,19.5,1,1
796,51.5,38.5,1,1
800,2.5,33.5,1,25
808,2.5,33.5,1,25
818,40.5,38.5,1,1
823,49.5,19.5,1,1
834,49.5,19.5,1,1
866,49.5,34.5,1,1
875,-75.5,34.5,1,5
885,17.5,34.5,1,1
903,-70.5,32.5,1,8
903,-66.5,23.5,1,1
907,68.5,11.5,1,1
929,50.5,18.5,1,1
934,-82.5,21.5,1,2
940,49.5,19.5,1,1
942,20.5,21.5,1,1
945,69.5,9.5,1,1
945,71.5,14.5,1,2
949,49.5,19.5,1,1
957,19.5,21.5,1,3
963,52.5,16.5,1,1
975,49.5,19.5,1,1
980,12.5,42.5,1,7
980,10.5,40.5,1,1
980,13.5,42.5,1,1
990,69.5,11.5,1,2
8,66.5,23.5,2,2
11,66.5,23.5,2,2
49,-73.5,34.5,2,2
55,53.5,14.5,2,2
60,70.5,16.5,2,1
60,68.5,11.5,2,1
61,13.5,42.5,2,1
61,12.5,43.5,2,1
61,13.5,44.5,2,1
73,52.5,16.5,2,1
73,50.5,18.5,2,1
73,51.5,4.5,2,1
76,53.5,14.5,2,2
88,23.5,38.5,2,5
108,11.5,46.5,2,4
120,40.5,38.5,2,1
127,28.5,31.5,2,3
128,-71.5,33.5,2,6
131,49.5,2.5,2,1
133,66.5,23.5,2,2
142,47.5,37.5,2,1
143,52.5,16.5,2,1
166,-173.5,-49.5,2,2
190,-72.5,33.5,2,7
202,15.5,47.5,2,1
207,28.5,41.5,2,6
234,36.5,35.5,2,1
234,23.5,31.5,2,2
250,53.5,14.5,2,2
297,-82.5,21.5,2,2
298,70.5,14.5,2,3
302,19.5,21.5,2,3
302,25.5,33.5,2,3
365,-70.5,33.5,2,9
365,-69.5,33.5,2,1
365,-70.5,31.5,2,2
374,11.5,44.5,2,4
381,50.5,18.5,2,1
390,-74.5,34.5,2,4
409,-74.5,34.5,2,4
412,-76.5,34.5,2,1
412,-70.5,33.5,2,9
429,-70.5,31.5,2,2
429,-70.5,33.5,2,9
429,-69.5,30.5,2,1
449,23.5,31.5,2,2
450,66.5,23.5,2,2
450,67.5,25.5,2,1
459,13.5,45.5,2,1
459,15.5,46.5,2,3
459,12.5,44.5,2,9
466,13.5,48.5,2,1
472,13.5,42.5,2,1
474,7.5,52.5,2,1
475,-71.5,25.5,2,1
475,-67.5,24.5,2,3
506,19.5,21.5,2,3
506,28.5,20.5,2,2
513,51.5,38.5,2,1
518,49.5,19.5,2,1
525,16.5,38.5,2,34
525,17.5,34.5,2,1
530,-65.5,35.5,2,1
530,-73.5,34.5,2,2
530,-71.5,34.5,2,21
575,51.5,4.5,2,1
580,66.5,23.5,2,2
580,70.5,16.5,2,1
590,8.5,56.5,2,1
590,8.5,46.5,2,1
597,-62.5,-49.5,2,2
610,23.5,38.5,2,5
636,-82.5,21.5,2,2
648,25.5,33.5,2,3
670,-82.5,21.5,2,2
675,40.5,38.5,2,1
676,-69.5,32.5,2,6
726,53.5,14.5,2,2
726,49.5,19.5,2,1
741,69.5,9.5,2,1
741,49.5,2.5,2,1
742,31.5,20.5,2,24
748,-75.5,34.5,2,5
758,2.5,33.5,2,25
770,36.5,35.5,2,1
803,27.5,35.5,2,1
807,-82.5,21.5,2,2
808,-66.5,35.5,2,27
