"id","x","y","rep","collections"
3,133.5,-13.5,1,2
3,135.5,-11.5,1,1
15,134.5,-9.5,1,1
29,151.5,7.5,1,1
33,-56.5,30.5,1,54
51,-51.5,6.5,1,65
66,-36.5,36.5,1,26
72,76.5,-27.5,1,2
86,139.5,2.5,1,1
87,150.5,-45.5,1,20
96,133.5,-13.5,1,2
103,140.5,-20.5,1,1
109,52.5,-30.5,1,7
113,9.5,43.5,1,8
114,19.5,42.5,1,5
122,-41.5,-1.5,1,2
125,147.5,8.5,1,2
128,74.5,-32.5,1,4
128,80.5,-35.5,1,10
131,139.5,0.5,1,9
133,134.5,-9.5,1,1
134,151.5,7.5,1,1
146,-44.5,0.5,1,107
154,28.5,-17.5,1,1
160,-49.5,9.5,1,21
160,-45.5,9.5,1,7
169,134.5,-9.5,1,1
172,-51.5,6.5,1,65
179,37.5,37.5,1,5
182,37.5,37.5,1,5
186,35.5,38.5,1,8
186,37.5,37.5,1,5
186,32.5,39.5,1,43
191,-41.5,-1.5,1,2
194,31.5,37.5,1,1
194,35.5,38.5,1,8
194,32.5,39.5,1,43
198,135.5,-11.5,1,1
202,147.5,8.5,1,2
205,142.5,-22.5,1,1
205,140.5,-20.5,1,1
215,-36.5,1.5,1,105
220,151.5,7.5,1,1
226,37.5,37.5,1,5
227,-47.5,11.5,1,40
228,74.5,-32.5,1,4
230,52.5,-30.5,1,7
245,-99.5,14.5,1,2
259,133.5,-13.5,1,2
262,-51.5,1.5,1,4
274,116.5,-41.5,1,1
277,1.5,35.5,1,1
282,98.5,-38.5,1,7
291,146.5,2.5,1,1
291,142.5,-22.5,1,1
297,17.5,38.5,1,6
299,-21.5,35.5,1,1
314,148.5,6.5,1,5
314,146.5,2.5,1,1
345,121.5,18.5,1,3
352,49.5,-25.5,1,60
356,-51.5,6.5,1,65
360,139.5,2.5,1,1
365,49.5,-25.5,1,60
371,28.5,-17.5,1,1
373,-51.5,1.5,1,4
385,-51.5,1.5,1,4
385,-47.5,11.5,1,40
385,-51.5,6.5,1,65
387,52.5,-30.5,1,7
389,134.5,-9.5,1,1
389,140.5,-20.5,1,1
390,-51.5,6.5,1,65
396,-51.5,6.5,1,65
412,27.5,36.5,1,2
412,-15.5,34.5,1,14
420,-21.5,35.5,1,1
425,133.5,-13.5,1,2
435,133.5,-13.5,1,2
437,139.5,2.5,1,1
440,-44.5,11.5,1,3
449,139.5,2.5,1,1
472,148.5,6.5,1,5
494,49.5,-22.5,1,46
495,-49.5,9.5,1,21
497,98.5,-38.5,1,7
502,-45.5,9.5,1,7
516,-47.5,11.5,1,40
527,121.5,-41.5,1,1
535,77.5,-21.5,1,42
543,-45.5,-2.5,1,28
547,146.5,2.5,1,1
549,28.5,-17.5,1,1
549,27.5,-19.5,1,33
563,13.5,43.5,1,1
570,142.5,-22.5,1,1
578,21.5,-10.5,1,1
584,37.5,37.5,1,5
586,-41.5,-1.5,1,2
590,21.5,-10.5,1,1
596,150.5,10.5,1,7
596,151.5,7.5,1,1
603,-63.5,37.5,1,2
604,35.5,38.5,1,8
604,37.5,37.5,1,5
605,74.5,-32.5,1,4
613,27.5,36.5,1,2
613,32.5,34.5,1,1
