"id","x","y","rep","collections"
21,38.5,-27.5,1,1
40,69.5,-6.5,1,2
93,-57.5,35.5,1,2
220,69.5,-6.5,1,2
256,-43.5,40.5,1,1
360,-55.5,35.5,1,1
413,19.5,44.5,1,12
413,17.5,41.5,1,1
605,69.5,-6.5,1,2
678,38.5,-27.5,1,1
908,47.5,41.5,1,1
920,11.5,39.5,1,1
57,0.5,21.5,2,1
121,47.5,41.5,2,1
297,0.5,21.5,2,1
366,69.5,-6.5,2,2
455,0.5,21.5,2,1
463,-55.5,35.5,2,1
463,-56.5,35.5,2,2
578,0.5,21.5,2,1
579,17.5,44.5,2,2
688,47.5,41.5,2,1
792,69.5,-6.5,2,2
34,69.5,-6.5,3,2
118,0.5,21.5,3,1
188,-55.5,35.5,3,1
236,69.5,-6.5,3,2
252,-56.5,35.5,3,2
287,-55.5,35.5,3,1
289,69.5,-6.5,3,2
290,0.5,21.5,3,1
415,0.5,21.5,3,1
469,0.5,21.5,3,1
532,69.5,-6.5,3,2
860,-43.5,40.5,3,1
906,-57.5,35.5,3,2
927,69.5,-6.5,3,2
37,69.5,-6.5,4,2
42,69.5,-6.5,4,2
67,69.5,-6.5,4,2
68,0.5,21.5,4,1
78,69.5,-6.5,4,2
165,69.5,-6.5,4,2
386,17.5,41.5,4,1
625,69.5,-6.5,4,2
652,69.5,-6.5,4,2
683,-55.5,35.5,4,1
695,69.5,-6.5,4,2
713,38.5,-27.5,4,1
792,-57.5,35.5,4,2
926,11.5,39.5,4,1
951,-57.5,35.5,4,2
956,0.5,21.5,4,1
966,-55.5,35.5,4,1
110,11.5,39.5,5,1
140,38.5,-27.5,5,1
153,38.5,-27.5,5,1
412,69.5,-6.5,5,2
582,38.5,-27.5,5,1
886,0.5,21.5,5,1
924,-57.5,35.5,5,2
970,0.5,21.5,5,1
115,47.5,41.5,6,1
619,69.5,-6.5,6,2
790,19.5,44.5,6,12
809,19.5,44.5,6,12
878,47.5,41.5,6,1
880,-43.5,40.5,6,1
8,69.5,-6.5,7,2
19,0.5,21.5,7,1
27,38.5,-27.5,7,1
86,0.5,21.5,7,1
127,69.5,-6.5,7,2
339,47.5,41.5,7,1
345,69.5,-6.5,7,2
350,69.5,-6.5,7,2
408,0.5,21.5,7,1
410,47.5,41.5,7,1
438,38.5,-27.5,7,1
537,69.5,-6.5,7,2
540,11.5,39.5,7,1
544,0.5,21.5,7,1
571,-55.5,35.5,7,1
571,-57.5,35.5,7,2
572,38.5,-27.5,7,1
819,0.5,21.5,7,1
858,-57.5,35.5,7,2
30,-57.5,35.5,8,2
125,0.5,21.5,8,1
140,11.5,39.5,8,1
146,38.5,-27.5,8,1
242,19.5,44.5,8,12
281,69.5,-6.5,8,2
295,69.5,-6.5,8,2
546,47.5,41.5,8,1
608,69.5,-6.5,8,2
722,0.5,21.5,8,1
802,-57.5,35.5,8,2
856,17.5,41.5,8,1
911,69.5,-6.5,8,2
58,0.5,21.5,9,1
223,0.5,21.5,9,1
242,17.5,41.5,9,1
356,-55.5,35.5,9,1
399,-56.5,35.5,9,2
469,11.5,39.5,9,1
471,69.5,-6.5,9,2
695,-55.5,35.5,9,1
945,38.5,-27.5,9,1
16,69.5,-6.5,10,2
111,69.5,-6.5,10,2
174,19.5,44.5,10,12
286,11.5,39.5,10,1
316,69.5,-6.5,10,2
371,47.5,41.5,10,1
423,0.5,21.5,10,1
465,0.5,21.5,10,1
560,69.5,-6.5,10,2
668,-56.5,35.5,10,2
685,0.5,21.5,10,1
736,0.5,21.5,10,1
806,69.5,-6.5,10,2
848,69.5,-6.5,10,2
931,47.5,41.5,10,1
978,0.5,21.5,10,1
50,0.5,21.5,11,1
122,69.5,-6.5,11,2
125,19.5,44.5,11,12
178,69.5,-6.5,11,2
202,-56.5,35.5,11,2
347,0.5,21.5,11,1
348,47.5,41.5,11,1
361,0.5,21.5,11,1
411,69.5,-6.5,11,2
430,69.5,-6.5,11,2
456,-43.5,40.5,11,1
543,19.5,44.5,11,12
543,17.5,41.5,11,1
549,47.5,41.5,11,1
568,69.5,-6.5,11,2
597,69.5,-6.5,11,2
635,69.5,-6.5,11,2
776,0.5,21.5,11,1
858,69.5,-6.5,11,2
874,-55.5,35.5,11,1
902,19.5,44.5,11,12
902,17.5,41.5,11,1
