"id","x","y","rep","collections"
8,-70.5,-2.5,1,1
8,-68.5,-29.5,1,1
12,-71.5,4.5,1,2
20,-71.5,11.5,1,1
24,34.5,44.5,1,5
24,33.5,42.5,1,1
24,26.5,41.5,1,1
24,29.5,40.5,1,2
24,18.5,44.5,1,16
24,28.5,44.5,1,4
24,31.5,44.5,1,1
32,30.5,44.5,1,1
32,26.5,43.5,1,1
32,28.5,44.5,1,4
32,25.5,44.5,1,1
32,37.5,42.5,1,1
32,34.5,44.5,1,5
36,-71.5,4.5,1,2
38,-71.5,11.5,1,1
42,2.5,41.5,1,2
45,120.5,-0.5,1,5
51,51.5,41.5,1,3
72,145.5,-46.5,1,2
72,144.5,-45.5,1,1
87,-57.5,-31.5,1,1
91,-66.5,11.5,1,1
97,7.5,41.5,1,1
97,11.5,41.5,1,1
97,1.5,42.5,1,6
99,-71.5,4.5,1,2
130,17.5,45.5,1,1
130,42.5,44.5,1,1
130,28.5,44.5,1,4
132,26.5,41.5,1,1
136,-77.5,28.5,1,1
154,-76.5,29.5,1,12
193,-71.5,4.5,1,2
195,17.5,46.5,1,12
199,24.5,47.5,1,1
199,24.5,43.5,1,4
199,26.5,46.5,1,1
199,28.5,44.5,1,4
199,25.5,43.5,1,6
199,24.5,41.5,1,6
208,120.5,0.5,1,1
222,-68.5,-29.5,1,1
225,120.5,0.5,1,1
225,120.5,-0.5,1,5
233,-76.5,29.5,1,12
234,120.5,-0.5,1,5
252,-75.5,21.5,1,1
252,-77.5,28.5,1,1
256,-57.5,-31.5,1,1
256,-58.5,-31.5,1,1
261,119.5,0.5,1,1
262,-176.5,-41.5,1,1
270,-71.5,11.5,1,1
270,-71.5,4.5,1,2
281,17.5,46.5,1,12
303,135.5,36.5,1,1
308,21.5,46.5,1,1
308,20.5,47.5,1,24
308,23.5,41.5,1,4
319,-71.5,4.5,1,2
319,-71.5,11.5,1,1
327,7.5,41.5,1,1
327,6.5,42.5,1,1
327,6.5,43.5,1,1
328,120.5,0.5,1,1
328,120.5,-0.5,1,5
328,119.5,0.5,1,1
333,-70.5,-2.5,1,1
370,-70.5,-2.5,1,1
408,24.5,39.5,1,1
408,27.5,41.5,1,1
413,34.5,44.5,1,5
413,35.5,45.5,1,1
418,120.5,-0.5,1,5
427,-66.5,11.5,1,1
427,-71.5,11.5,1,1
428,25.5,39.5,1,2
428,25.5,40.5,1,1
428,24.5,39.5,1,1
438,144.5,-45.5,1,1
438,147.5,-45.5,1,2
446,-71.5,4.5,1,2
446,-70.5,-2.5,1,1
469,-71.5,4.5,1,2
469,-71.5,11.5,1,1
480,-66.5,11.5,1,1
483,-75.5,21.5,1,1
489,120.5,0.5,1,1
494,-71.5,11.5,1,1
518,120.5,-0.5,1,5
518,120.5,0.5,1,1
518,119.5,0.5,1,1
529,119.5,0.5,1,1
