"id","x","y","rep","collections"
26,19.5,37.5,1,7
27,2.5,24.5,1,1
28,2.5,24.5,1,1
28,9.5,37.5,1,3
43,26.5,23.5,1,1
60,8.5,38.5,1,1
87,36.5,19.5,1,1
105,2.5,23.5,1,2
109,13.5,33.5,1,3
140,8.5,38.5,1,1
143,2.5,23.5,1,2
143,5.5,23.5,1,1
167,20.5,46.5,1,1
169,8.5,29.5,1,1
181,4.5,23.5,1,1
227,8.5,29.5,1,1
253,20.5,37.5,1,1
261,4.5,23.5,1,1
262,20.5,46.5,1,1
285,13.5,33.5,1,3
285,17.5,38.5,1,3
303,10.5,38.5,1,10
318,4.5,23.5,1,1
320,2.5,23.5,1,2
320,2.5,24.5,1,1
326,10.5,37.5,1,18
338,138.5,37.5,1,1
342,9.5,37.5,1,3
352,119.5,31.5,1,1
354,2.5,24.5,1,1
367,4.5,23.5,1,1
377,26.5,23.5,1,1
402,8.5,29.5,1,1
403,18.5,31.5,1,1
418,26.5,23.5,1,1
419,13.5,33.5,1,3
430,-52.5,36.5,1,3
498,8.5,38.5,1,1
498,9.5,37.5,1,3
498,10.5,38.5,1,10
522,20.5,37.5,1,1
544,19.5,37.5,1,7
561,26.5,23.5,1,1
602,18.5,42.5,1,2
602,20.5,46.5,1,1
607,9.5,37.5,1,3
650,8.5,29.5,1,1
650,9.5,37.5,1,3
700,36.5,19.5,1,1
708,9.5,37.5,1,3
736,27.5,28.5,1,1
737,8.5,29.5,1,1
748,36.5,19.5,1,1
764,26.5,23.5,1,1
785,4.5,23.5,1,1
785,2.5,24.5,1,1
793,26.5,23.5,1,1
796,36.5,19.5,1,1
802,18.5,31.5,1,1
802,13.5,33.5,1,3
807,27.5,28.5,1,1
813,10.5,38.5,1,10
813,9.5,37.5,1,3
841,8.5,38.5,1,1
861,-52.5,36.5,1,3
866,2.5,23.5,1,2
878,20.5,37.5,1,1
879,135.5,41.5,1,8
884,26.5,23.5,1,1
922,36.5,19.5,1,1
926,2.5,23.5,1,2
926,4.5,23.5,1,1
997,26.5,23.5,1,1
6,10.5,38.5,2,10
6,17.5,38.5,2,3
14,4.5,23.5,2,1
16,36.5,19.5,2,1
61,-52.5,35.5,2,10
62,2.5,23.5,2,2
67,119.5,31.5,2,1
75,9.5,37.5,2,3
80,8.5,38.5,2,1
97,8.5,38.5,2,1
97,5.5,23.5,2,1
110,5.5,23.5,2,1
110,2.5,23.5,2,2
141,27.5,28.5,2,1
149,26.5,23.5,2,1
260,9.5,37.5,2,3
276,36.5,19.5,2,1
290,20.5,37.5,2,1
290,19.5,37.5,2,7
315,27.5,28.5,2,1
316,26.5,23.5,2,1
319,26.5,23.5,2,1
378,2.5,24.5,2,1
461,2.5,24.5,2,1
481,119.5,31.5,2,1
548,5.5,23.5,2,1
549,2.5,24.5,2,1
557,43.5,42.5,2,1
588,19.5,37.5,2,7
607,119.5,31.5,2,1
631,2.5,24.5,2,1
642,8.5,29.5,2,1
648,27.5,28.5,2,1
789,20.5,37.5,2,1
789,19.5,37.5,2,7
813,36.5,19.5,2,1
824,36.5,19.5,2,1
860,4.5,23.5,2,1
898,17.5,38.5,2,3
898,19.5,37.5,2,7
898,18.5,42.5,2,2
906,2.5,23.5,2,2
926,26.5,23.5,2,1
929,2.5,24.5,2,1
972,10.5,38.5,2,10
120,5.5,23.5,3,1
120,4.5,23.5,3,1
125,17.5,38.5,3,3
125,18.5,31.5,3,1
201,17.5,38.5,3,3
205,13.5,33.5,3,3
223,13.5,33.5,3,3
241,36.5,19.5,3,1
244,19.5,37.5,3,7
249,-52.5,35.5,3,10
259,27.5,28.5,3,1
276,9.5,37.5,3,3
288,36.5,19.5,3,1
293,8.5,38.5,3,1
301,20.5,37.5,3,1
301,18.5,42.5,3,2
301,8.5,38.5,3,1
301,10.5,37.5,3,18
316,18.5,31.5,3,1
316,13.5,33.5,3,3
334,5.5,23.5,3,1
363,18.5,31.5,3,1
372,26.5,23.5,3,1
388,27.5,28.5,3,1
389,2.5,23.5,3,2
400,36.5,19.5,3,1
400,26.5,23.5,3,1
406,-52.5,35.5,3,10
419,19.5,37.5,3,7
429,36.5,19.5,3,1
431,26.5,23.5,3,1
432,5.5,23.5,3,1
432,13.5,33.5,3,3
435,5.5,23.5,3,1
442,18.5,31.5,3,1
467,138.5,37.5,3,1
477,26.5,23.5,3,1
487,13.5,33.5,3,3
487,9.5,37.5,3,3
515,26.5,23.5,3,1
548,-52.5,36.5,3,3
549,20.5,37.5,3,1
549,18.5,42.5,3,2
575,20.5,37.5,3,1
616,18.5,31.5,3,1
619,2.5,23.5,3,2
620,19.5,37.5,3,7
631,135.5,41.5,3,8
652,20.5,37.5,3,1
652,19.5,37.5,3,7
685,8.5,29.5,3,1
694,5.5,23.5,3,1
704,27.5,28.5,3,1
765,9.5,37.5,3,3
804,36.5,19.5,3,1
827,119.5,31.5,3,1
829,4.5,23.5,3,1
852,36.5,19.5,3,1
863,18.5,42.5,3,2
879,27.5,28.5,3,1
890,4.5,23.5,3,1
904,27.5,28.5,3,1
914,-52.5,36.5,3,3
938,119.5,31.5,3,1
969,26.5,23.5,3,1
989,20.5,37.5,3,1
3,8.5,38.5,4,1
12,36.5,19.5,4,1
15,9.5,37.5,4,3
18,138.5,37.5,4,1
65,18.5,42.5,4,2
65,9.5,37.5,4,3
65,17.5,38.5,4,3
92,27.5,28.5,4,1
116,36.5,19.5,4,1
119,138.5,37.5,4,1
128,2.5,23.5,4,2
130,4.5,23.5,4,1
131,-52.5,36.5,4,3
135,20.5,46.5,4,1
157,18.5,31.5,4,1
184,13.5,33.5,4,3
197,2.5,23.5,4,2
197,2.5,24.5,4,1
207,8.5,38.5,4,1
275,17.5,38.5,4,3
296,9.5,37.5,4,3
296,13.5,33.5,4,3
296,10.5,37.5,4,18
311,4.5,23.5,4,1
319,2.5,24.5,4,1
372,20.5,37.5,4,1
382,4.5,23.5,4,1
382,2.5,23.5,4,2
382,5.5,23.5,4,1
485,27.5,28.5,4,1
487,27.5,28.5,4,1
502,13.5,33.5,4,3
530,2.5,24.5,4,1
543,2.5,24.5,4,1
575,18.5,31.5,4,1
578,20.5,46.5,4,1
591,26.5,23.5,4,1
593,-52.5,35.5,4,10
618,2.5,24.5,4,1
619,26.5,23.5,4,1
633,18.5,31.5,4,1
633,20.5,46.5,4,1
642,-52.5,36.5,4,3
669,8.5,29.5,4,1
735,27.5,28.5,4,1
783,2.5,24.5,4,1
867,10.5,38.5,4,10
868,119.5,31.5,4,1
884,18.5,31.5,4,1
915,18.5,42.5,4,2
915,8.5,29.5,4,1
915,13.5,33.5,4,3
915,10.5,38.5,4,10
918,26.5,23.5,4,1
925,10.5,38.5,4,10
965,2.5,24.5,4,1
965,5.5,23.5,4,1
991,9.5,37.5,4,3
3,8.5,38.5,5,1
24,8.5,29.5,5,1
49,2.5,23.5,5,2
69,135.5,41.5,5,8
107,5.5,23.5,5,1
124,-52.5,36.5,5,3
134,18.5,42.5,5,2
