"id","x","y","rep","collections"
7,3.5,46.5,1,2
27,8.5,41.5,1,11
35,28.5,29.5,1,8
62,-57.5,35.5,1,1
77,1.5,20.5,1,6
85,-57.5,35.5,1,1
87,75.5,-5.5,1,2
89,-0.5,21.5,1,1
89,0.5,21.5,1,2
89,0.5,22.5,1,1
89,0.5,20.5,1,1
95,37.5,24.5,1,4
130,1.5,20.5,1,6
130,3.5,46.5,1,2
189,8.5,39.5,1,1
197,18.5,37.5,1,3
197,26.5,39.5,1,4
215,-57.5,34.5,1,2
250,43.5,17.5,1,1
263,37.5,24.5,1,4
279,-0.5,21.5,1,1
331,18.5,37.5,1,3
415,12.5,40.5,1,2
424,35.5,29.5,1,2
478,-57.5,34.5,1,2
484,-46.5,39.5,1,7
494,21.5,30.5,1,6
545,36.5,34.5,1,1
568,35.5,29.5,1,2
579,21.5,31.5,1,9
603,21.5,30.5,1,6
616,75.5,-5.5,1,2
629,1.5,20.5,1,6
638,37.5,24.5,1,4
680,-58.5,35.5,1,1
680,-57.5,34.5,1,2
680,-44.5,40.5,1,10
680,-58.5,34.5,1,1
692,1.5,20.5,1,6
692,0.5,20.5,1,1
693,0.5,20.5,1,1
703,1.5,20.5,1,6
703,0.5,22.5,1,1
748,45.5,38.5,1,1
774,36.5,34.5,1,1
778,75.5,-5.5,1,2
805,21.5,31.5,1,9
805,35.5,29.5,1,2
874,43.5,17.5,1,1
899,0.5,22.5,1,1
950,28.5,29.5,1,8
956,75.5,-5.5,1,2
958,43.5,17.5,1,1
962,6.5,33.5,1,2
973,0.5,22.5,1,1
30,0.5,22.5,2,1
42,18.5,37.5,2,3
72,8.5,39.5,2,1
171,35.5,29.5,2,2
181,43.5,17.5,2,1
184,12.5,33.5,2,6
191,75.5,-5.5,2,2
192,-57.5,35.5,2,1
243,75.5,-5.5,2,2
246,36.5,34.5,2,1
252,75.5,-5.5,2,2
265,75.5,-5.5,2,2
269,18.5,37.5,2,3
271,12.5,40.5,2,2
271,11.5,38.5,2,1
271,9.5,39.5,2,2
310,75.5,-5.5,2,2
317,12.5,40.5,2,2
317,8.5,39.5,2,1
326,4.5,33.5,2,1
328,-48.5,38.5,2,3
368,8.5,39.5,2,1
368,8.5,41.5,2,11
406,75.5,-5.5,2,2
410,0.5,21.5,2,2
410,-0.5,21.5,2,1
410,0.5,20.5,2,1
410,1.5,20.5,2,6
481,60.5,44.5,2,1
517,4.5,33.5,2,1
519,43.5,17.5,2,1
519,37.5,24.5,2,4
525,0.5,22.5,2,1
525,1.5,20.5,2,6
525,-0.5,21.5,2,1
553,43.5,17.5,2,1
581,45.5,38.5,2,1
628,35.5,29.5,2,2
656,75.5,-5.5,2,2
669,-0.5,21.5,2,1
680,36.5,34.5,2,1
689,45.5,38.5,2,1
710,37.5,24.5,2,4
798,12.5,40.5,2,2
799,0.5,21.5,2,2
835,6.5,33.5,2,2
836,6.5,33.5,2,2
857,0.5,22.5,2,1
883,36.5,34.5,2,1
952,0.5,20.5,2,1
976,-0.5,21.5,2,1
12,0.5,21.5,3,2
78,1.5,20.5,3,6
78,0.5,20.5,3,1
164,0.5,21.5,3,2
227,75.5,-5.5,3,2
232,36.5,34.5,3,1
