"id","x","y","rep","collections"
2,32.5,11.5,1,2
7,21.5,29.5,1,1
7,14.5,28.5,1,1
8,36.5,8.5,1,15
15,68.5,30.5,1,1
21,19.5,31.5,1,1
23,12.5,32.5,1,8
23,18.5,25.5,1,1
23,7.5,27.5,1,1
27,-4.5,24.5,1,1
29,49.5,43.5,1,3
30,-37.5,4.5,1,1
30,-39.5,6.5,1,1
44,-42.5,-2.5,1,7
44,-42.5,-3.5,1,31
44,-41.5,-3.5,1,7
46,36.5,14.5,1,43
46,35.5,14.5,1,1
51,21.5,26.5,1,3
51,14.5,22.5,1,1
51,16.5,32.5,1,6
51,14.5,27.5,1,5
69,7.5,23.5,1,39
72,14.5,33.5,1,3
72,13.5,46.5,1,104
76,-53.5,22.5,1,2
77,7.5,27.5,1,1
77,18.5,26.5,1,2
77,17.5,26.5,1,4
83,33.5,12.5,1,1
95,35.5,14.5,1,1
95,33.5,12.5,1,1
95,36.5,15.5,1,5
96,46.5,-34.5,1,3
96,41.5,-20.5,1,1
99,35.5,17.5,1,18
99,30.5,17.5,1,2
110,-57.5,32.5,1,1
110,-56.5,28.5,1,1
110,-56.5,32.5,1,1
115,-41.5,11.5,1,44
127,39.5,43.5,1,1
129,-39.5,6.5,1,1
133,16.5,26.5,1,2
133,22.5,31.5,1,5
133,7.5,23.5,1,39
137,-53.5,23.5,1,12
161,36.5,8.5,1,15
161,35.5,17.5,1,18
166,14.5,33.5,1,3
166,20.5,29.5,1,3
170,33.5,11.5,1,1
172,-42.5,-2.5,1,7
172,-42.5,-3.5,1,31
172,-41.5,-3.5,1,7
175,47.5,-34.5,1,1
177,18.5,25.5,1,1
177,14.5,28.5,1,1
177,-4.5,24.5,1,1
177,7.5,27.5,1,1
177,21.5,29.5,1,1
180,22.5,37.5,1,2
184,7.5,23.5,1,39
185,24.5,31.5,1,1
185,14.5,28.5,1,1
185,21.5,29.5,1,1
185,19.5,31.5,1,1
185,19.5,28.5,1,5
186,21.5,26.5,1,3
191,51.5,-34.5,1,1
195,-53.5,23.5,1,12
195,-56.5,26.5,1,2
195,-56.5,27.5,1,2
208,-42.5,-2.5,1,7
208,-41.5,-3.5,1,7
208,-42.5,-3.5,1,31
212,36.5,8.5,1,15
212,33.5,11.5,1,1
212,33.5,12.5,1,1
215,-51.5,37.5,1,1
215,-56.5,27.5,1,2
226,33.5,16.5,1,2
226,35.5,17.5,1,18
229,20.5,29.5,1,3
229,14.5,22.5,1,1
229,20.5,28.5,1,1
232,43.5,-19.5,1,1
233,43.5,-19.5,1,1
249,28.5,34.5,1,2
249,28.5,33.5,1,25
256,14.5,33.5,1,3
258,133.5,21.5,1,1
260,19.5,31.5,1,1
260,24.5,31.5,1,1
263,29.5,16.5,1,1
263,7.5,24.5,1,27
265,-41.5,11.5,1,44
267,43.5,-19.5,1,1
272,14.5,22.5,1,1
282,29.5,16.5,1,1
282,36.5,14.5,1,43
287,14.5,34.5,1,7
301,35.5,14.5,1,1
301,36.5,15.5,1,5
311,14.5,27.5,1,5
313,32.5,11.5,1,2
317,36.5,14.5,1,43
325,36.5,14.5,1,43
325,29.5,16.5,1,1
325,35.5,17.5,1,18
325,33.5,16.5,1,2
326,36.5,8.5,1,15
327,51.5,42.5,1,1
327,52.5,42.5,1,1
327,52.5,41.5,1,1
327,50.5,42.5,1,6
327,55.5,43.5,1,1
328,13.5,33.5,1,6
334,33.5,16.5,1,2
334,33.5,11.5,1,1
334,35.5,14.5,1,1
338,52.5,32.5,1,2
338,48.5,33.5,1,1
338,47.5,32.5,1,1
338,46.5,35.5,1,4
338,48.5,32.5,1,2
339,12.5,32.5,1,8
339,19.5,30.5,1,1
339,21.5,31.5,1,1
342,-41.5,-3.5,1,7
344,35.5,14.5,1,1
346,52.5,32.5,1,2
346,50.5,42.5,1,6
348,-37.5,4.5,1,1
348,-39.5,6.5,1,1
350,41.5,-20.5,1,1
353,13.5,50.5,1,2
353,13.5,48.5,1,1
354,21.5,31.5,1,1
354,10.5,39.5,1,1
356,19.5,30.5,1,1
356,14.5,28.5,1,1
356,15.5,32.5,1,4
356,19.5,28.5,1,5
356,20.5,28.5,1,1
362,-41.5,-3.5,1,7
362,-42.5,-3.5,1,31
368,20.5,28.5,1,1
368,7.5,24.5,1,27
368,18.5,31.5,1,1
368,18.5,25.5,1,1
373,20.5,27.5,1,37
373,19.5,31.5,1,1
376,43.5,32.5,1,1
376,35.5,17.5,1,18
393,-39.5,6.5,1,1
393,-42.5,-2.5,1,7
398,43.5,32.5,1,1
398,42.5,31.5,1,1
400,30.5,17.5,1,2
400,35.5,17.5,1,18
400,29.5,16.5,1,1
400,36.5,14.5,1,43
400,35.5,14.5,1,1
403,29.5,35.5,1,2
403,30.5,34.5,1,9
416,41.5,-20.5,1,1
416,48.5,-9.5,1,1
423,-4.5,24.5,1,1
425,-37.5,4.5,1,1
427,-41.5,-3.5,1,7
429,-39.5,6.5,1,1
434,133.5,21.5,1,1
435,14.5,21.5,1,2
444,14.5,27.5,1,5
444,13.5,32.5,1,18
445,32.5,11.5,1,2
