"id","x","y","rep","collections"
4,21.5,29.5,1,190
4,23.5,28.5,1,6
4,23.5,25.5,1,9
24,26.5,35.5,1,1
24,30.5,38.5,1,7
24,29.5,36.5,1,1
24,22.5,35.5,1,5
24,29.5,37.5,1,22
24,28.5,36.5,1,33
24,24.5,30.5,1,5
28,37.5,20.5,1,15
32,18.5,38.5,1,8
41,38.5,17.5,1,2
41,32.5,27.5,1,1
41,31.5,38.5,1,3
54,32.5,26.5,1,4
54,35.5,22.5,1,2
55,72.5,28.5,1,1
73,37.5,19.5,1,15
75,23.5,28.5,1,6
75,24.5,31.5,1,13
75,24.5,29.5,1,5
76,22.5,28.5,1,8
77,27.5,34.5,1,1
77,22.5,33.5,1,17
77,19.5,31.5,1,25
85,-49.5,32.5,1,1
95,17.5,39.5,1,1
95,18.5,38.5,1,8
104,37.5,20.5,1,15
105,19.5,31.5,1,25
110,23.5,28.5,1,6
110,21.5,30.5,1,2
113,32.5,18.5,1,2
115,-47.5,37.5,1,9
148,24.5,32.5,1,1
148,21.5,30.5,1,2
148,26.5,33.5,1,2
148,25.5,32.5,1,172
148,23.5,29.5,1,20
148,21.5,29.5,1,190
148,24.5,31.5,1,13
148,26.5,32.5,1,5
148,24.5,29.5,1,5
148,23.5,30.5,1,7
148,24.5,30.5,1,5
156,38.5,18.5,1,1
156,38.5,17.5,1,2
156,37.5,18.5,1,1
159,22.5,35.5,1,5
173,35.5,-16.5,1,1
178,31.5,38.5,1,3
190,21.5,28.5,1,96
193,37.5,19.5,1,15
202,56.5,-18.5,1,1
206,20.5,31.5,1,9
211,-48.5,45.5,1,1
211,-50.5,42.5,1,2
211,-49.5,42.5,1,1
215,8.5,27.5,1,1
216,29.5,36.5,1,1
216,30.5,38.5,1,7
216,31.5,38.5,1,3
216,28.5,37.5,1,13
216,28.5,36.5,1,33
216,31.5,41.5,1,2
226,18.5,38.5,1,8
238,23.5,25.5,1,9
257,-58.5,35.5,1,2
290,-51.5,42.5,1,2
307,28.5,37.5,1,13
307,27.5,34.5,1,1
307,21.5,34.5,1,85
307,28.5,36.5,1,33
307,26.5,33.5,1,2
307,26.5,38.5,1,18
307,21.5,35.5,1,11
307,21.5,33.5,1,30
307,29.5,38.5,1,9
307,22.5,34.5,1,143
307,20.5,30.5,1,1
307,29.5,36.5,1,1
307,22.5,33.5,1,17
318,30.5,38.5,1,7
323,23.5,27.5,1,1
323,23.5,25.5,1,9
334,38.5,18.5,1,1
334,38.5,17.5,1,2
334,37.5,19.5,1,15
345,24.5,29.5,1,5
346,-62.5,37.5,1,5
348,12.5,24.5,1,1
348,8.5,27.5,1,1
354,24.5,24.5,1,2
355,9.5,26.5,1,3
359,26.5,34.5,1,24
359,24.5,24.5,1,2
363,24.5,24.5,1,2
363,20.5,28.5,1,14
368,20.5,30.5,1,1
