"id","x","y","rep","collections"
8,-58.5,10.5,1,1
62,-75.5,9.5,1,12
72,45.5,39.5,1,4
74,16.5,36.5,1,2
81,118.5,0.5,1,1
110,-0.5,36.5,1,2
140,9.5,42.5,1,11
140,1.5,40.5,1,1
140,2.5,39.5,1,1
166,139.5,44.5,1,1
188,-75.5,9.5,1,12
202,118.5,-0.5,1,11
205,17.5,37.5,1,1
206,-75.5,8.5,1,1
206,-75.5,9.5,1,12
240,-75.5,9.5,1,12
256,16.5,36.5,1,2
256,36.5,43.5,1,2
289,12.5,41.5,1,1
289,-0.5,36.5,1,2
289,6.5,43.5,1,1
289,-0.5,39.5,1,5
351,-1.5,36.5,1,7
351,-2.5,35.5,1,1
354,-70.5,-33.5,1,2
359,118.5,-0.5,1,11
381,1.5,40.5,1,1
390,118.5,0.5,1,1
430,-75.5,9.5,1,12
430,-75.5,8.5,1,1
468,118.5,-0.5,1,11
485,-0.5,39.5,1,5
485,1.5,39.5,1,4
497,0.5,38.5,1,3
497,-0.5,36.5,1,2
497,3.5,40.5,1,5
498,140.5,42.5,1,1
498,138.5,36.5,1,1
498,138.5,37.5,1,1
510,-57.5,-33.5,1,1
520,118.5,-0.5,1,11
522,118.5,0.5,1,1
533,17.5,36.5,1,12
533,16.5,36.5,1,2
533,17.5,37.5,1,1
533,16.5,38.5,1,1
565,15.5,39.5,1,2
568,118.5,0.5,1,1
574,118.5,0.5,1,1
574,118.5,-0.5,1,11
583,-58.5,-31.5,1,2
607,24.5,35.5,1,3
614,-2.5,35.5,1,1
633,40.5,42.5,1,1
665,118.5,0.5,1,1
712,-75.5,8.5,1,1
716,40.5,45.5,1,1
745,118.5,-0.5,1,11
752,-57.5,-33.5,1,1
752,-61.5,-38.5,1,8
752,-60.5,-38.5,1,1
752,-58.5,-31.5,1,2
760,138.5,37.5,1,1
783,118.5,-0.5,1,11
789,-2.5,36.5,1,1
791,-68.5,-26.5,1,2
793,-78.5,28.5,1,1
852,118.5,0.5,1,1
884,40.5,42.5,1,1
885,-60.5,-38.5,1,1
888,31.5,44.5,1,3
888,33.5,46.5,1,1
888,32.5,45.5,1,1
888,36.5,43.5,1,2
889,-1.5,38.5,1,7
891,138.5,36.5,1,1
891,138.5,37.5,1,1
893,178.5,-41.5,1,4
947,118.5,-0.5,1,11
947,118.5,0.5,1,1
2,34.5,24.5,2,2
5,118.5,0.5,2,1
5,118.5,-0.5,2,11
9,118.5,-0.5,2,11
20,28.5,44.5,2,1
42,-75.5,9.5,2,12
50,-58.5,10.5,2,1
101,0.5,39.5,2,2
101,11.5,42.5,2,1
103,118.5,0.5,2,1
103,118.5,-0.5,2,11
116,-78.5,28.5,2,1
157,118.5,0.5,2,1
199,137.5,37.5,2,1
283,-75.5,9.5,2,12
295,-58.5,10.5,2,1
320,139.5,44.5,2,1
331,138.5,37.5,2,1
334,34.5,24.5,2,2
341,118.5,-0.5,2,11
342,118.5,0.5,2,1
364,-75.5,8.5,2,1
373,1.5,40.5,2,1
373,0.5,39.5,2,2
373,1.5,39.5,2,4
373,2.5,39.5,2,1
373,0.5,38.5,2,3
380,1.5,39.5,2,4
401,-75.5,9.5,2,12
434,-116.5,36.5,2,3
448,-58.5,-31.5,2,2
454,12.5,40.5,2,1
462,118.5,-0.5,2,11
471,-58.5,10.5,2,1
500,-75.5,8.5,2,1
569,-1.5,38.5,2,7
569,-0.5,39.5,2,5
607,3.5,40.5,2,5
607,2.5,39.5,2,1
607,12.5,41.5,2,1
607,17.5,37.5,2,1
627,17.5,36.5,2,12
628,-75.5,8.5,2,1
