"id","x","y","rep","collections"
3,4.5,41.5,1,2
3,4.5,44.5,1,18
11,2.5,36.5,1,1
11,-8.5,21.5,1,16
19,0.5,26.5,1,2
31,-63.5,35.5,1,1
34,3.5,-5.5,1,1
34,3.5,-2.5,1,4
38,69.5,46.5,1,5
57,18.5,30.5,1,1
57,20.5,29.5,1,4
60,-45.5,4.5,1,13
60,-47.5,-11.5,1,1
71,-69.5,41.5,1,1
81,1.5,33.5,1,1
97,-51.5,-12.5,1,7
97,-47.5,-11.5,1,1
97,-51.5,-7.5,1,1
108,18.5,30.5,1,1
108,23.5,21.5,1,1
114,-9.5,-7.5,1,2
155,23.5,21.5,1,1
166,-45.5,4.5,1,13
173,-47.5,-11.5,1,1
179,-45.5,4.5,1,13
180,-45.5,4.5,1,13
182,-45.5,4.5,1,13
188,47.5,38.5,1,3
192,-58.5,17.5,1,1
200,3.5,-2.5,1,4
200,22.5,31.5,1,2
201,-58.5,17.5,1,1
204,-59.5,32.5,1,1
205,26.5,30.5,1,1
205,10.5,24.5,1,2
208,47.5,38.5,1,3
210,-58.5,17.5,1,1
213,3.5,-5.5,1,1
213,3.5,-2.5,1,4
227,7.5,-0.5,1,1
237,7.5,-0.5,1,1
237,18.5,45.5,1,11
237,24.5,46.5,1,1
274,-76.5,42.5,1,1
274,-67.5,46.5,1,2
279,4.5,-15.5,1,2
289,10.5,24.5,1,2
311,-9.5,-7.5,1,2
317,22.5,25.5,1,2
321,-47.5,-14.5,1,1
322,23.5,21.5,1,1
339,22.5,25.5,1,2
339,10.5,24.5,1,2
341,-61.5,42.5,1,2
341,-68.5,43.5,1,1
341,-69.5,41.5,1,1
341,-69.5,38.5,1,22
347,-47.5,-14.5,1,1
351,33.5,26.5,1,7
355,-47.5,-11.5,1,1
365,22.5,31.5,1,2
365,20.5,29.5,1,4
365,22.5,25.5,1,2
383,0.5,46.5,1,1
390,28.5,15.5,1,12
390,31.5,15.5,1,8
390,33.5,26.5,1,7
