"id","x","y","rep","collections"
2,128.5,27.5,1,1
2,128.5,28.5,1,2
5,44.5,-16.5,1,3
16,44.5,35.5,1,1
39,135.5,5.5,1,23
43,48.5,-24.5,1,7
54,19.5,-4.5,1,7
65,127.5,11.5,1,4
77,90.5,-32.5,1,1
96,80.5,-27.5,1,1
96,81.5,-27.5,1,5
117,49.5,31.5,1,1
121,122.5,-5.5,1,1
121,122.5,-8.5,1,3
121,122.5,-7.5,1,5
125,29.5,-11.5,1,3
125,19.5,-4.5,1,7
137,77.5,-24.5,1,5
156,122.5,31.5,1,1
160,122.5,-7.5,1,5
160,119.5,-8.5,1,1
160,121.5,-7.5,1,1
169,19.5,-4.5,1,7
170,-31.5,6.5,1,6
182,132.5,5.5,1,80
183,29.5,-11.5,1,3
197,135.5,5.5,1,23
233,116.5,-12.5,1,1
233,122.5,-7.5,1,5
233,114.5,-12.5,1,1
235,129.5,9.5,1,1
254,123.5,13.5,1,1
257,132.5,5.5,1,80
257,129.5,6.5,1,1
259,127.5,11.5,1,4
275,127.5,11.5,1,4
285,50.5,29.5,1,1
292,118.5,-29.5,1,8
298,37.5,43.5,1,1
299,122.5,-5.5,1,1
299,120.5,-7.5,1,4
313,-38.5,30.5,1,2
314,119.5,-8.5,1,1
314,121.5,-7.5,1,1
321,122.5,31.5,1,1
341,109.5,-31.5,1,2
341,121.5,-6.5,1,3
346,114.5,-14.5,1,1
346,114.5,-17.5,1,1
346,115.5,-19.5,1,1
351,121.5,-6.5,1,3
351,115.5,-16.5,1,2
351,114.5,-15.5,1,3
351,120.5,-8.5,1,2
351,117.5,-11.5,1,1
351,114.5,-12.5,1,1
351,115.5,-13.5,1,1
351,114.5,-17.5,1,1
353,48.5,-22.5,1,21
353,44.5,-16.5,1,3
369,20.5,-4.5,1,52
369,19.5,-4.5,1,7
375,122.5,31.5,1,1
375,104.5,20.5,1,1
381,51.5,-30.5,1,12
381,52.5,-28.5,1,1
396,121.5,-6.5,1,3
408,45.5,-18.5,1,1
408,44.5,-16.5,1,3
410,129.5,9.5,1,1
411,51.5,-30.5,1,12
414,48.5,-22.5,1,21
417,131.5,35.5,1,2
424,122.5,-7.5,1,5
427,131.5,35.5,1,2
432,132.5,5.5,1,80
433,139.5,25.5,1,3
442,120.5,-7.5,1,4
450,123.5,13.5,1,1
457,44.5,35.5,1,1
460,20.5,-4.5,1,52
473,116.5,-12.5,1,1
473,121.5,-7.5,1,1
479,20.5,-4.5,1,52
496,129.5,6.5,1,1
501,122.5,-5.5,1,1
501,117.5,-11.5,1,1
507,30.5,-10.5,1,1
508,29.5,-11.5,1,3
531,19.5,-4.5,1,7
533,52.5,-5.5,1,51
539,45.5,-18.5,1,1
547,52.5,-4.5,1,67
547,56.5,-15.5,1,18
549,119.5,-30.5,1,2
555,51.5,-30.5,1,12
556,129.5,6.5,1,1
567,122.5,-8.5,1,3
580,29.5,-11.5,1,3
580,30.5,-10.5,1,1
583,19.5,-4.5,1,7
585,19.5,-4.5,1,7
585,20.5,-4.5,1,52
